log_key,annotation_index,class,note,annotated_at,range_index,signal,start_us,end_us
00_02_49,0,Normal,,2025-01-29T23:25:47.373454,,,,
00_14_08,0,Normal,,2025-01-29T23:26:42.929497,,,,
2018-05-24/19_06_07,0,Uncategorized,,2025-01-29T23:27:55.928522,,,,
2018-05-24/19_20_57,0,Normal,,2025-01-29T23:29:28.159694,,,,
2018-05-24/19_48_57,0,Uncategorized,,2025-01-29T23:30:14.514507,,,,
2018-05-24/19_52_02,0,Uncategorized,,2025-01-29T23:31:17.227031,,,,
2018-05-24/19_55_16,0,Normal,,2025-01-29T23:32:37.748053,,,,
2018-05-24/19_57_23,0,External Position,,2025-01-29T23:35:31.509571,0,Position.Y,1109627798,1114268039
2018-05-24/19_57_23,0,External Position,,2025-01-29T23:35:31.509571,1,Position.Y,1109753207,1110756504
2018-05-24/20_01_26,0,Normal,,2025-01-29T23:36:59.319996,,,,
2018-05-26/16_19_20,0,External Position,,2025-01-29T23:40:57.937572,0,Position.X,355712166,362742265
2018-05-26/16_19_20,0,External Position,,2025-01-29T23:40:57.937572,1,Position.Y,354394024,363840721
2018-05-26/16_27_25,0,Normal,,2025-01-29T23:41:26.686150,,,,
2018-05-26/16_38_09,0,Normal,,2025-01-29T23:42:17.251439,,,,
2018-05-26/16_45_09,0,Normal,,2025-01-29T23:43:38.977272,,,,
2018-05-26/16_48_10,0,External Position,,2025-01-29T23:44:40.992094,0,Velocity,778595432,869927364
2018-05-26/16_48_10,0,External Position,,2025-01-29T23:44:40.992094,1,Position.X,773752073,784822609
2018-05-26/16_48_10,0,External Position,,2025-01-29T23:44:40.992094,2,Position.Y,778318668,784407463
2018-05-26/16_50_01,0,External Position,,2025-01-29T23:46:59.909083,0,Velocity,876323982,906334859
2018-05-26/16_50_55,0,Normal,,2025-01-29T23:51:10.586051,,,,
2018-05-30/18_06_12,0,Normal,,2025-01-29T23:51:48.592899,,,,
2018-05-30/18_08_19,0,Normal,,2025-01-29T23:56:20.420990,,,,
2018-05-30/18_19_18,0,External Position,,2025-01-30T00:19:33.798897,0,Position.X,1722881903,1727144846
2018-05-30/18_19_18,0,External Position,,2025-01-30T00:19:33.798897,1,Position.X,1719471529,1740786293
2018-05-30/18_19_18,0,External Position,,2025-01-30T00:19:33.798897,2,Position.Y,1722881903,1739081106
2018-05-30/18_19_18,0,External Position,,2025-01-30T00:19:33.798897,3,Velocity,1729702603,1815814275
