channel,topic,field,dtype,logs_present,coverage,selected_core_60pct
actuator_controls_0.control[0],actuator_controls_0,control[0],float32,1389,1.0,True
actuator_controls_0.control[1],actuator_controls_0,control[1],float32,1389,1.0,True
actuator_controls_0.control[2],actuator_controls_0,control[2],float32,1389,1.0,True
actuator_controls_0.control[3],actuator_controls_0,control[3],float32,1379,0.992801,True
actuator_controls_0.control[7],actuator_controls_0,control[7],float32,185,0.133189,False
actuator_outputs.output[0],actuator_outputs,output[0],float32,1376,0.990641,True
actuator_outputs.output[1],actuator_outputs,output[1],float32,1376,0.990641,True
actuator_outputs.output[2],actuator_outputs,output[2],float32,1376,0.990641,True
actuator_outputs.output[3],actuator_outputs,output[3],float32,1376,0.990641,True
actuator_outputs.output[4],actuator_outputs,output[4],float32,1376,0.990641,True
actuator_outputs.output[5],actuator_outputs,output[5],float32,1376,0.990641,True
actuator_outputs.output[6],actuator_outputs,output[6],float32,1185,0.853132,True
actuator_outputs.output[7],actuator_outputs,output[7],float32,1185,0.853132,True
battery_status.current_a,battery_status,current_a,float32,1377,0.991361,True
battery_status.current_filtered_a,battery_status,current_filtered_a,float32,1384,0.9964,True
battery_status.discharged_mah,battery_status,discharged_mah,float32,1383,0.99568,True
battery_status.remaining,battery_status,remaining,float32,1387,0.99856,True
battery_status.voltage_filtered_v,battery_status,voltage_filtered_v,float32,1389,1.0,True
battery_status.voltage_v,battery_status,voltage_v,float32,1389,1.0,True
cpuload.load,cpuload,load,float32,1389,1.0,True
cpuload.ram_usage,cpuload,ram_usage,float32,1383,0.99568,True
distance_sensor.current_distance,distance_sensor,current_distance,float32,1312,0.944564,True
distance_sensor.signal_quality,distance_sensor,signal_quality,int8,191,0.137509,False
ekf2_innovations.hagl_innov,ekf2_innovations,hagl_innov,float32,1289,0.928006,True
ekf2_innovations.heading_innov,ekf2_innovations,heading_innov,float32,1266,0.911447,True
ekf2_innovations.mag_innov[0],ekf2_innovations,mag_innov[0],float32,39,0.028078,False
ekf2_innovations.mag_innov[1],ekf2_innovations,mag_innov[1],float32,39,0.028078,False
ekf2_innovations.mag_innov[2],ekf2_innovations,mag_innov[2],float32,39,0.028078,False
ekf2_innovations.output_tracking_error[0],ekf2_innovations,output_tracking_error[0],float32,1273,0.916487,True
ekf2_innovations.output_tracking_error[1],ekf2_innovations,output_tracking_error[1],float32,1273,0.916487,True
ekf2_innovations.output_tracking_error[2],ekf2_innovations,output_tracking_error[2],float32,1273,0.916487,True
ekf2_innovations.vel_pos_innov[0],ekf2_innovations,vel_pos_innov[0],float32,64,0.046076,False
ekf2_innovations.vel_pos_innov[1],ekf2_innovations,vel_pos_innov[1],float32,64,0.046076,False
ekf2_innovations.vel_pos_innov[2],ekf2_innovations,vel_pos_innov[2],float32,64,0.046076,False
ekf2_innovations.vel_pos_innov[3],ekf2_innovations,vel_pos_innov[3],float32,1287,0.926566,True
ekf2_innovations.vel_pos_innov[4],ekf2_innovations,vel_pos_innov[4],float32,1287,0.926566,True
ekf2_innovations.vel_pos_innov[5],ekf2_innovations,vel_pos_innov[5],float32,1290,0.928726,True
estimator_status.hagl_test_ratio,estimator_status,hagl_test_ratio,float32,1197,0.861771,True
estimator_status.hgt_test_ratio,estimator_status,hgt_test_ratio,float32,1274,0.917207,True
estimator_status.innovation_check_flags,estimator_status,innovation_check_flags,uint16,317,0.228222,False
estimator_status.mag_test_ratio,estimator_status,mag_test_ratio,float32,1268,0.912887,True
estimator_status.pos_horiz_accuracy,estimator_status,pos_horiz_accuracy,float32,1278,0.920086,True
estimator_status.pos_test_ratio,estimator_status,pos_test_ratio,float32,1271,0.915047,True
estimator_status.pos_vert_accuracy,estimator_status,pos_vert_accuracy,float32,1239,0.892009,True
estimator_status.vel_test_ratio,estimator_status,vel_test_ratio,float32,47,0.033837,False
estimator_status.vibe[0],estimator_status,vibe[0],float32,1275,0.917927,True
estimator_status.vibe[1],estimator_status,vibe[1],float32,1290,0.928726,True
estimator_status.vibe[2],estimator_status,vibe[2],float32,1290,0.928726,True
manual_control_setpoint.r,manual_control_setpoint,r,float32,1094,0.787617,True
manual_control_setpoint.x,manual_control_setpoint,x,float32,1213,0.87329,True
manual_control_setpoint.y,manual_control_setpoint,y,float32,1333,0.959683,True
manual_control_setpoint.z,manual_control_setpoint,z,float32,1342,0.966163,True
rate_ctrl_status.pitchspeed_integ,rate_ctrl_status,pitchspeed_integ,float32,1303,0.938085,True
rate_ctrl_status.rollspeed_integ,rate_ctrl_status,rollspeed_integ,float32,1303,0.938085,True
rate_ctrl_status.yawspeed_integ,rate_ctrl_status,yawspeed_integ,float32,1303,0.938085,True
sensor_combined.accelerometer_m_s2[0],sensor_combined,accelerometer_m_s2[0],float32,1389,1.0,True
sensor_combined.accelerometer_m_s2[1],sensor_combined,accelerometer_m_s2[1],float32,1389,1.0,True
sensor_combined.accelerometer_m_s2[2],sensor_combined,accelerometer_m_s2[2],float32,1389,1.0,True
sensor_combined.baro_alt_meter,sensor_combined,baro_alt_meter,float32,65,0.046796,False
sensor_combined.gyro_rad[0],sensor_combined,gyro_rad[0],float32,1389,1.0,True
sensor_combined.gyro_rad[1],sensor_combined,gyro_rad[1],float32,1389,1.0,True
sensor_combined.gyro_rad[2],sensor_combined,gyro_rad[2],float32,1389,1.0,True
sensor_combined.magnetometer_ga[0],sensor_combined,magnetometer_ga[0],float32,65,0.046796,False
sensor_combined.magnetometer_ga[1],sensor_combined,magnetometer_ga[1],float32,65,0.046796,False
sensor_combined.magnetometer_ga[2],sensor_combined,magnetometer_ga[2],float32,65,0.046796,False
sensor_preflight.accel_inconsistency_m_s_s,sensor_preflight,accel_inconsistency_m_s_s,float32,1259,0.906407,True
sensor_preflight.gyro_inconsistency_rad_s,sensor_preflight,gyro_inconsistency_rad_s,float32,1259,0.906407,True
system_power.brick_valid,system_power,brick_valid,uint8,1,0.00072,False
system_power.usb_valid,system_power,usb_valid,uint8,7,0.00504,False
system_power.voltage3v3_v,system_power,voltage3v3_v,float32,190,0.136789,False
system_power.voltage5v_v,system_power,voltage5v_v,float32,191,0.137509,False
vehicle_air_data.baro_alt_meter,vehicle_air_data,baro_alt_meter,float32,783,0.563715,False
vehicle_air_data.baro_pressure_pa,vehicle_air_data,baro_pressure_pa,float32,783,0.563715,False
vehicle_air_data.baro_temp_celcius,vehicle_air_data,baro_temp_celcius,float32,783,0.563715,False
vehicle_air_data.rho,vehicle_air_data,rho,float32,783,0.563715,False
