channel,topic,field,dtype,logs_present,coverage,selected_core_60pct
action_request.action,action_request,action,uint8,1,0.000718,False
action_request.mode,action_request,mode,uint8,1,0.000718,False
action_request.source,action_request,source,uint8,1,0.000718,False
actuator_armed.armed,actuator_armed,armed,int8,1,0.000718,False
actuator_armed.force_failsafe,actuator_armed,force_failsafe,int8,1,0.000718,False
actuator_armed.in_esc_calibration_mode,actuator_armed,in_esc_calibration_mode,int8,1,0.000718,False
actuator_armed.lockdown,actuator_armed,lockdown,int8,1,0.000718,False
actuator_armed.manual_lockdown,actuator_armed,manual_lockdown,int8,1,0.000718,False
actuator_armed.prearmed,actuator_armed,prearmed,int8,1,0.000718,False
actuator_armed.ready_to_arm,actuator_armed,ready_to_arm,int8,1,0.000718,False
actuator_armed.soft_stop,actuator_armed,soft_stop,int8,1,0.000718,False
actuator_controls_0.control[0],actuator_controls_0,control[0],float32,1393,1.0,True
actuator_controls_0.control[1],actuator_controls_0,control[1],float32,1393,1.0,True
actuator_controls_0.control[2],actuator_controls_0,control[2],float32,1393,1.0,True
actuator_controls_0.control[3],actuator_controls_0,control[3],float32,1393,1.0,True
actuator_controls_0.control[4],actuator_controls_0,control[4],float32,1393,1.0,True
actuator_controls_0.control[5],actuator_controls_0,control[5],float32,1393,1.0,True
actuator_controls_0.control[6],actuator_controls_0,control[6],float32,1393,1.0,True
actuator_controls_0.control[7],actuator_controls_0,control[7],float32,1393,1.0,True
actuator_controls_0.timestamp_sample,actuator_controls_0,timestamp_sample,uint64,1393,1.0,True
actuator_controls_3.control[0],actuator_controls_3,control[0],float32,1,0.000718,False
actuator_controls_3.control[1],actuator_controls_3,control[1],float32,1,0.000718,False
actuator_controls_3.control[2],actuator_controls_3,control[2],float32,1,0.000718,False
actuator_controls_3.control[3],actuator_controls_3,control[3],float32,1,0.000718,False
actuator_controls_3.control[4],actuator_controls_3,control[4],float32,1,0.000718,False
actuator_controls_3.control[5],actuator_controls_3,control[5],float32,1,0.000718,False
actuator_controls_3.control[6],actuator_controls_3,control[6],float32,1,0.000718,False
actuator_controls_3.control[7],actuator_controls_3,control[7],float32,1,0.000718,False
actuator_controls_3.timestamp_sample,actuator_controls_3,timestamp_sample,uint64,1,0.000718,False
actuator_outputs.noutputs,actuator_outputs,noutputs,uint32,1392,0.999282,True
actuator_outputs.output[0],actuator_outputs,output[0],float32,1392,0.999282,True
