log_key,relative_path,status,size_bytes,start_timestamp_us,end_timestamp_us,duration_s,aligned_rows,topic_count,numeric_channel_count,annotation_classes,anomaly_interval_count,parse_error
00_02_49,ulg_files/00_02_49.ulg,usable,7682509,570229405,640646891,70.417486,705,22,93,Normal,0,
00_14_08,ulg_files/00_14_08.ulg,usable,4715969,491974495,539065479,47.090984,471,22,94,Normal,0,
2018-05-24/19_06_07,ulg_files/2018-05-24/19_06_07.ulg,usable,1395086,23703121,48115670,24.412549,245,18,58,Uncategorized,0,
2018-05-24/19_20_57,ulg_files/2018-05-24/19_20_57.ulg,usable,12994270,323442018,570252898,246.81088,2469,18,83,Normal,0,
2018-05-24/19_48_57,ulg_files/2018-05-24/19_48_57.ulg,usable,1425947,530190381,604121638,73.931257,740,19,86,Uncategorized,0,
2018-05-24/19_52_02,ulg_files/2018-05-24/19_52_02.ulg,usable,2872470,715348694,824345317,108.996623,1090,18,82,Uncategorized,0,
2018-05-24/19_55_16,ulg_files/2018-05-24/19_55_16.ulg,usable,3937165,909084827,981944510,72.859683,729,19,86,Normal,0,
2018-05-24/19_57_23,ulg_files/2018-05-24/19_57_23.ulg,usable,1976091,1036783994,1132628503,95.844509,959,19,86,External Position,2,
2018-05-24/20_01_26,ulg_files/2018-05-24/20_01_26.ulg,usable,1503430,1279812831,1353140532,73.327701,734,19,79,Normal,0,
2018-05-26/16_18_10,ulg_files/2018-05-26/16_18_10.ulg,usable,11745918,259855835,460551654,200.695819,2007,19,86,Mechanical,1,
2018-05-26/16_19_20,ulg_files/2018-05-26/16_19_20.ulg,usable,9666678,335785377,503034085,167.248708,1673,19,86,External Position,2,
2018-05-26/16_27_25,ulg_files/2018-05-26/16_27_25.ulg,usable,13123611,814619282,1029282869,214.663587,2147,19,86,Normal,0,
2018-05-26/16_38_09,ulg_files/2018-05-26/16_38_09.ulg,usable,3905719,163527269,228135468,64.608199,647,19,86,Normal,0,
2018-05-26/16_45_09,ulg_files/2018-05-26/16_45_09.ulg,usable,3693511,583051885,644596392,61.544507,616,19,86,Normal,0,
2018-05-26/16_48_10,ulg_files/2018-05-26/16_48_10.ulg,usable,6435523,764443931,869854237,105.410306,1055,19,86,External Position,3,
2018-05-26/16_50_01,ulg_files/2018-05-26/16_50_01.ulg,usable,1983808,875855989,907300342,31.444353,315,18,81,External Position,1,
2018-05-26/16_50_55,ulg_files/2018-05-26/16_50_55.ulg,usable,4990134,929695533,1009275566,79.580033,796,18,81,Normal,0,
2018-05-30/18_06_12,ulg_files/2018-05-30/18_06_12.ulg,usable,3975642,696742715,764352904,67.610189,677,19,79,Normal,0,
2018-05-30/18_08_19,ulg_files/2018-05-30/18_08_19.ulg,usable,9007695,824071630,993703473,169.631843,1697,19,82,Normal,0,
2018-05-30/18_19_18,ulg_files/2018-05-30/18_19_18.ulg,usable,38113516,1482480509,2133085485,650.604976,6507,19,86,External Position,4,
2018-05-30/18_39_02,ulg_files/2018-05-30/18_39_02.ulg,usable,20242432,355931870,744528659,388.596789,3886,19,86,Uncategorized,0,
2018-05-31/14_33_03,ulg_files/2018-05-31/14_33_03.ulg,usable,101398053,835292428,2629584075,1794.291647,17943,19,90,Uncategorized,0,
2018-05-31/15_14_55,ulg_files/2018-05-31/15_14_55.ulg,usable,36802946,178378495,865802981,687.424486,6875,19,86,Uncategorized,0,
2018-05-31/15_27_43,ulg_files/2018-05-31/15_27_43.ulg,usable,91605467,2976842,1531423400,1528.446558,15285,18,89,Uncategorized,0,
2018-05-31/15_58_30,ulg_files/2018-05-31/15_58_30.ulg,usable,27075731,182639705,712347695,529.70799,5298,19,89,Normal,0,
2018-05-31/16_07_48,ulg_files/2018-05-31/16_07_48.ulg,usable,22773933,740426349,1128792562,388.366213,3884,19,88,External Position,1,
2018-06-02/14_23_25,ulg_files/2018-06-02/14_23_25.ulg,usable,7289701,401420791,515598142,114.177351,1142,19,81,Normal,0,
2018-06-02/14_25_48,ulg_files/2018-06-02/14_25_48.ulg,usable,8539282,543984525,677795724,133.811199,1339,19,82,Normal,0,
2018-06-02/14_29_29,ulg_files/2018-06-02/14_29_29.ulg,usable,6105782,765760844,895848545,130.087701,1301,19,84,Altitude,1,
2018-06-02/14_42_50,ulg_files/2018-06-02/14_42_50.ulg,usable,1925162,1566802595,1660324478,93.521883,936,19,88,External Position,1,
