method,seed,class_id,class,precision,recall,f1,support
direct_five_class_lightgbm,0,0,Normal,0.955342439213407,0.9714023048888597,0.9633054406928662,30457
direct_five_class_lightgbm,0,1,External Position,0.7097297297297297,0.7691857059168131,0.7382625808265392,1707
direct_five_class_lightgbm,0,2,Global Position,0.6836935166994106,0.5429017160686428,0.6052173913043478,641
direct_five_class_lightgbm,0,3,Altitude,0.6798561151079137,0.3309982486865149,0.4452296819787986,571
direct_five_class_lightgbm,0,4,Mechanical/Electrical,0.6622516556291391,0.43923865300146414,0.528169014084507,683
direct_five_class_lightgbm,1,0,Normal,0.9557313529221828,0.9718291361591752,0.9637130252169241,30457
direct_five_class_lightgbm,1,1,External Position,0.7169197396963124,0.7744581136496778,0.7445789918332864,1707
direct_five_class_lightgbm,1,2,Global Position,0.6924564796905223,0.5585023400936038,0.6183074265975821,641
direct_five_class_lightgbm,1,3,Altitude,0.7058823529411765,0.3362521891418564,0.4555160142348754,571
direct_five_class_lightgbm,1,4,Mechanical/Electrical,0.6535087719298246,0.4363103953147877,0.5232660228270413,683
direct_five_class_lightgbm,2,0,Normal,0.95629953097202,0.9706799750467873,0.9634360946359903,30457
direct_five_class_lightgbm,2,1,External Position,0.7065101387406617,0.7756297598125366,0.7394582518849483,1707
direct_five_class_lightgbm,2,2,Global Position,0.6691729323308271,0.5553822152886115,0.6069906223358909,641
direct_five_class_lightgbm,2,3,Altitude,0.6956521739130435,0.3362521891418564,0.45336481700118064,571
direct_five_class_lightgbm,2,4,Mechanical/Electrical,0.6515151515151515,0.4407027818448023,0.525764192139738,683
direct_five_class_lightgbm,3,0,Normal,0.9556674087697222,0.9724857996519684,0.9640032546786005,30457
direct_five_class_lightgbm,3,1,External Position,0.7194989106753813,0.7738722905682484,0.7456957380750776,1707
direct_five_class_lightgbm,3,2,Global Position,0.6987951807228916,0.5429017160686428,0.611062335381914,641
direct_five_class_lightgbm,3,3,Altitude,0.703971119133574,0.3415061295971979,0.45990566037735847,571
direct_five_class_lightgbm,3,4,Mechanical/Electrical,0.6615384615384615,0.4407027818448023,0.5289982425307557,683
direct_five_class_lightgbm,4,0,Normal,0.9557062146892655,0.9719604688577339,0.9637648131267093,30457
direct_five_class_lightgbm,4,1,External Position,0.7139023081052066,0.7791446983011131,0.7450980392156863,1707
direct_five_class_lightgbm,4,2,Global Position,0.7045908183632734,0.5507020280811232,0.6182136602451839,641
direct_five_class_lightgbm,4,3,Altitude,0.7105263157894737,0.3309982486865149,0.45161290322580644,571
direct_five_class_lightgbm,4,4,Mechanical/Electrical,0.6696035242290749,0.445095168374817,0.534740545294635,683
