feature_index,feature,descriptor,channel,topic
0,mean__actuator_controls_0.control[0],mean,actuator_controls_0.control[0],actuator_controls_0
1,mean__actuator_controls_0.control[1],mean,actuator_controls_0.control[1],actuator_controls_0
2,mean__actuator_controls_0.control[2],mean,actuator_controls_0.control[2],actuator_controls_0
3,mean__actuator_controls_0.control[3],mean,actuator_controls_0.control[3],actuator_controls_0
4,mean__actuator_outputs.output[0],mean,actuator_outputs.output[0],actuator_outputs
5,mean__actuator_outputs.output[1],mean,actuator_outputs.output[1],actuator_outputs
6,mean__actuator_outputs.output[2],mean,actuator_outputs.output[2],actuator_outputs
7,mean__actuator_outputs.output[3],mean,actuator_outputs.output[3],actuator_outputs
8,mean__actuator_outputs.output[4],mean,actuator_outputs.output[4],actuator_outputs
9,mean__actuator_outputs.output[5],mean,actuator_outputs.output[5],actuator_outputs
10,mean__actuator_outputs.output[6],mean,actuator_outputs.output[6],actuator_outputs
11,mean__actuator_outputs.output[7],mean,actuator_outputs.output[7],actuator_outputs
12,mean__battery_status.current_a,mean,battery_status.current_a,battery_status
13,mean__battery_status.current_filtered_a,mean,battery_status.current_filtered_a,battery_status
14,mean__battery_status.discharged_mah,mean,battery_status.discharged_mah,battery_status
15,mean__battery_status.remaining,mean,battery_status.remaining,battery_status
16,mean__battery_status.voltage_filtered_v,mean,battery_status.voltage_filtered_v,battery_status
17,mean__battery_status.voltage_v,mean,battery_status.voltage_v,battery_status
18,mean__cpuload.load,mean,cpuload.load,cpuload
19,mean__cpuload.ram_usage,mean,cpuload.ram_usage,cpuload
20,mean__distance_sensor.current_distance,mean,distance_sensor.current_distance,distance_sensor
21,mean__ekf2_innovations.hagl_innov,mean,ekf2_innovations.hagl_innov,ekf2_innovations
22,mean__ekf2_innovations.heading_innov,mean,ekf2_innovations.heading_innov,ekf2_innovations
23,mean__ekf2_innovations.output_tracking_error[0],mean,ekf2_innovations.output_tracking_error[0],ekf2_innovations
24,mean__ekf2_innovations.output_tracking_error[1],mean,ekf2_innovations.output_tracking_error[1],ekf2_innovations
25,mean__ekf2_innovations.output_tracking_error[2],mean,ekf2_innovations.output_tracking_error[2],ekf2_innovations
26,mean__ekf2_innovations.vel_pos_innov[3],mean,ekf2_innovations.vel_pos_innov[3],ekf2_innovations
27,mean__ekf2_innovations.vel_pos_innov[4],mean,ekf2_innovations.vel_pos_innov[4],ekf2_innovations
28,mean__ekf2_innovations.vel_pos_innov[5],mean,ekf2_innovations.vel_pos_innov[5],ekf2_innovations
29,mean__estimator_status.hagl_test_ratio,mean,estimator_status.hagl_test_ratio,estimator_status
30,mean__estimator_status.hgt_test_ratio,mean,estimator_status.hgt_test_ratio,estimator_status
31,mean__estimator_status.mag_test_ratio,mean,estimator_status.mag_test_ratio,estimator_status
32,mean__estimator_status.pos_horiz_accuracy,mean,estimator_status.pos_horiz_accuracy,estimator_status
33,mean__estimator_status.pos_test_ratio,mean,estimator_status.pos_test_ratio,estimator_status
34,mean__estimator_status.pos_vert_accuracy,mean,estimator_status.pos_vert_accuracy,estimator_status
35,mean__estimator_status.vibe[0],mean,estimator_status.vibe[0],estimator_status
36,mean__estimator_status.vibe[1],mean,estimator_status.vibe[1],estimator_status
37,mean__estimator_status.vibe[2],mean,estimator_status.vibe[2],estimator_status
38,mean__manual_control_setpoint.r,mean,manual_control_setpoint.r,manual_control_setpoint
39,mean__manual_control_setpoint.x,mean,manual_control_setpoint.x,manual_control_setpoint
40,mean__manual_control_setpoint.y,mean,manual_control_setpoint.y,manual_control_setpoint
41,mean__manual_control_setpoint.z,mean,manual_control_setpoint.z,manual_control_setpoint
42,mean__rate_ctrl_status.pitchspeed_integ,mean,rate_ctrl_status.pitchspeed_integ,rate_ctrl_status
43,mean__rate_ctrl_status.rollspeed_integ,mean,rate_ctrl_status.rollspeed_integ,rate_ctrl_status
44,mean__rate_ctrl_status.yawspeed_integ,mean,rate_ctrl_status.yawspeed_integ,rate_ctrl_status
45,mean__sensor_combined.accelerometer_m_s2[0],mean,sensor_combined.accelerometer_m_s2[0],sensor_combined
46,mean__sensor_combined.accelerometer_m_s2[1],mean,sensor_combined.accelerometer_m_s2[1],sensor_combined
47,mean__sensor_combined.accelerometer_m_s2[2],mean,sensor_combined.accelerometer_m_s2[2],sensor_combined
48,mean__sensor_combined.gyro_rad[0],mean,sensor_combined.gyro_rad[0],sensor_combined
49,mean__sensor_combined.gyro_rad[1],mean,sensor_combined.gyro_rad[1],sensor_combined
50,mean__sensor_combined.gyro_rad[2],mean,sensor_combined.gyro_rad[2],sensor_combined
51,mean__sensor_preflight.accel_inconsistency_m_s_s,mean,sensor_preflight.accel_inconsistency_m_s_s,sensor_preflight
52,mean__sensor_preflight.gyro_inconsistency_rad_s,mean,sensor_preflight.gyro_inconsistency_rad_s,sensor_preflight
53,mean__vehicle_attitude.pitchspeed,mean,vehicle_attitude.pitchspeed,vehicle_attitude
54,mean__vehicle_attitude.q[0],mean,vehicle_attitude.q[0],vehicle_attitude
55,mean__vehicle_attitude.q[1],mean,vehicle_attitude.q[1],vehicle_attitude
56,mean__vehicle_attitude.q[2],mean,vehicle_attitude.q[2],vehicle_attitude
57,mean__vehicle_attitude.q[3],mean,vehicle_attitude.q[3],vehicle_attitude
58,mean__vehicle_attitude.rollspeed,mean,vehicle_attitude.rollspeed,vehicle_attitude
59,mean__vehicle_attitude.yawspeed,mean,vehicle_attitude.yawspeed,vehicle_attitude
60,mean__vehicle_attitude_setpoint.pitch_body,mean,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint
61,mean__vehicle_attitude_setpoint.roll_body,mean,vehicle_attitude_setpoint.roll_body,vehicle_attitude_setpoint
62,mean__vehicle_attitude_setpoint.yaw_body,mean,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint
63,mean__vehicle_land_detected.ground_contact,mean,vehicle_land_detected.ground_contact,vehicle_land_detected
64,mean__vehicle_land_detected.landed,mean,vehicle_land_detected.landed,vehicle_land_detected
