method,seed,class_id,class,precision,recall,f1,support
stage2_lightgbm,0,1,External Position,0.7033747779751333,0.9061784897025171,0.792,437
stage2_lightgbm,0,2,Global Position,0.9111111111111111,0.9379084967320261,0.9243156199677939,306
stage2_lightgbm,0,3,Altitude,0.8790322580645161,0.6770186335403726,0.7649122807017544,161
stage2_lightgbm,0,4,Mechanical/Electrical,0.8536585365853658,0.6104651162790697,0.711864406779661,344
stage2_random_forest,0,1,External Position,0.7111111111111111,0.9519450800915332,0.8140900195694716,437
stage2_random_forest,0,2,Global Position,0.8819875776397516,0.9281045751633987,0.9044585987261147,306
stage2_random_forest,0,3,Altitude,0.927536231884058,0.7950310559006211,0.8561872909698997,161
stage2_random_forest,0,4,Mechanical/Electrical,0.9753694581280788,0.5755813953488372,0.7239488117001828,344
majority,0,1,External Position,0.3501602564102564,1.0,0.5186943620178042,437
majority,0,2,Global Position,0.0,0.0,0.0,306
majority,0,3,Altitude,0.0,0.0,0.0,161
majority,0,4,Mechanical/Electrical,0.0,0.0,0.0,344
stratified_random,0,1,External Position,0.34235976789168276,0.40503432494279173,0.3710691823899371,437
stratified_random,0,2,Global Position,0.2921686746987952,0.31699346405228757,0.30407523510971785,306
stratified_random,0,3,Altitude,0.1242603550295858,0.2608695652173913,0.1683366733466934,161
stratified_random,0,4,Mechanical/Electrical,0.18032786885245902,0.03197674418604651,0.05432098765432099,344
hs_aerots_cascade,0,0,Normal,0.9585272219637041,0.9857040315827252,0.9719256856384547,16718
hs_aerots_cascade,0,1,External Position,0.6412037037037037,0.6338672768878718,0.6375143843498274,437
hs_aerots_cascade,0,2,Global Position,0.7477477477477478,0.5424836601307189,0.6287878787878788,306
hs_aerots_cascade,0,3,Altitude,0.7671232876712328,0.34782608695652173,0.47863247863247865,161
hs_aerots_cascade,0,4,Mechanical/Electrical,0.02127659574468085,0.0029069767441860465,0.005115089514066497,344
direct_five_class_lightgbm,0,0,Normal,0.9654785790156969,0.9786457710252423,0.9720175855513308,16718
direct_five_class_lightgbm,0,1,External Position,0.576427255985267,0.7162471395881007,0.6387755102040816,437
direct_five_class_lightgbm,0,2,Global Position,0.7054545454545454,0.6339869281045751,0.6678141135972461,306
direct_five_class_lightgbm,0,3,Altitude,0.6829268292682927,0.34782608695652173,0.4609053497942387,161
direct_five_class_lightgbm,0,4,Mechanical/Electrical,0.4666666666666667,0.16279069767441862,0.2413793103448276,344
