method,seed,accuracy,macro_f1,balanced_accuracy,macro_precision,macro_recall,weighted_f1,macro_ovr_auprc,macro_ovr_auroc,anomaly_only_accuracy,anomaly_only_macro_f1,anomaly_only_balanced_accuracy,anomaly_only_macro_precision,anomaly_only_macro_recall,anomaly_only_weighted_f1,stage1_threshold,stage1_flagged_windows
stage2_lightgbm,0,0.8028846153846154,0.7982730768623023,0.7828926840634964,0.8367941709340315,0.7828926840634964,0.7988596256693357,0.9088387123367583,0.9599267370098864,,,,,,,,
stage2_random_forest,0,0.8221153846153846,0.8246711802414172,0.8126655266260976,0.8740010946907498,0.8126655266260976,0.8168319029111112,0.9473493571047293,0.9736596285278417,,,,,,,,
majority,0,0.3501602564102564,0.12967359050445104,0.25,0.0875400641025641,0.25,0.18162615080270866,,,,,,,,,,
stratified_random,0,0.2620192307692308,0.22445051962516735,0.2537185245996293,0.2347791666181307,0.2537185245996293,0.24118019135407062,,,,,,,,,,
hs_aerots_cascade,0,0.9450628965824335,0.5443951033845412,0.5025576064604047,0.6271757113662139,0.5025576064604047,0.9350148006916573,,,0.40064102564102566,0.49498567286967926,0.3817710001798246,0.7443314864066978,0.3817710001798246,0.5059883427868312,0.8016150772511553,774
stage2_lightgbm,1,0.7988782051282052,0.7888633425376019,0.780110850728101,0.8215697101648974,0.780110850728101,0.7927171229489377,0.9136429679649132,0.9619801945250968,,,,,,,,
stage2_random_forest,1,0.8277243589743589,0.833507210932672,0.8169910976115919,0.8843652636486203,0.8169910976115919,0.8244033594993505,0.9503725134083133,0.9751653214812865,,,,,,,,
majority,1,0.3501602564102564,0.12967359050445104,0.25,0.0875400641025641,0.25,0.18162615080270866,,,,,,,,,,
stratified_random,1,0.25240384615384615,0.21438415841401584,0.23090732975999548,0.2368368110350853,0.23090732975999548,0.23973058676659556,,,,,,,,,,
hs_aerots_cascade,1,0.9468996994322609,0.5866761102001683,0.5608696432461013,0.6648340400062371,0.5608696432461013,0.9396608227300322,,,0.47115384615384615,0.5637007882187699,0.4554835129641945,0.8377761802060868,0.4554835129641945,0.5692566001017875,0.7276584635265083,940
stage2_lightgbm,2,0.7972756410256411,0.7901678388651941,0.7793029146450059,0.8267755872305482,0.7793029146450059,0.791270557362514,0.9138029220547156,0.9620683082941143,,,,,,,,
stage2_random_forest,2,0.8125,0.8155576175181039,0.8008594673478637,0.8726418674237115,0.8008594673478637,0.8070987345358568,0.9441819524472339,0.9711788950256566,,,,,,,,
majority,2,0.3501602564102564,0.12967359050445104,0.25,0.0875400641025641,0.25,0.18162615080270866,,,,,,,,,,
stratified_random,2,0.2780448717948718,0.242732513404832,0.27005277436041386,0.2656506273520793,0.27005277436041386,0.259869503972403,,,,,,,,,,
hs_aerots_cascade,2,0.9453412000445286,0.5555622860778172,0.5033213944296031,0.6758480489466913,0.5033213944296031,0.9355855603964398,,,0.3926282051282051,0.5058322812532856,0.3825014260134367,0.8316873253671007,0.3825014260134367,0.5093468325460689,0.8115959416794033,748
stage2_lightgbm,3,0.8036858974358975,0.7947916644248815,0.7859429189783873,0.8243787163646851,0.7859429189783873,0.7981143955337681,0.9175614532248695,0.9641954395788148,,,,,,,,
stage2_random_forest,3,0.8173076923076923,0.8198476658051834,0.8092599374111838,0.8681860834249783,0.8092599374111838,0.8118562698074636,0.9497513839182776,0.9746921014385643,,,,,,,,
majority,3,0.3501602564102564,0.12967359050445104,0.25,0.0875400641025641,0.25,0.18162615080270866,,,,,,,,,,
stratified_random,3,0.25,0.21670903949672257,0.2410757204625593,0.24028456440075419,0.2410757204625593,0.23209060224376962,,,,,,,,,,
hs_aerots_cascade,3,0.9466770566625848,0.5752638309542195,0.5421187851545799,0.6672750160372636,0.5421187851545799,0.9389713699819985,,,0.453525641025641,0.5440729766047314,0.43177576939632933,0.831597922313923,0.43177576939632933,0.5575507187415074,0.7385339656144949,896
stage2_lightgbm,4,0.8068910256410257,0.7999771894153402,0.7899208576517722,0.8309855655359122,0.7899208576517722,0.8020048090517695,0.9202375556667428,0.9643541136726914,,,,,,,,
stage2_random_forest,4,0.8108974358974359,0.8111877536357085,0.8010839174156172,0.8647853124513079,0.8010839174156172,0.8034242384307816,0.9505215089722093,0.9745199924305414,,,,,,,,
majority,4,0.3501602564102564,0.12967359050445104,0.25,0.0875400641025641,0.25,0.18162615080270866,,,,,,,,,,
stratified_random,4,0.25240384615384615,0.22343166578455473,0.24889531784366845,0.24715019094617757,0.24889531784366845,0.23729941166589677,,,,,,,,,,
hs_aerots_cascade,4,0.9450628965824335,0.579769798756236,0.572421321711683,0.6324375196730545,0.572421321711683,0.9382331079204718,,,0.4879807692307692,0.566905483666599,0.47073062390656156,0.8041484325422518,0.47073062390656156,0.5737610251735763,0.6600899118417312,1021
direct_five_class_lightgbm,0,0.9451185572748525,0.5961783738983449,0.5678993246697716,0.6793907752780938,0.5678993246697716,0.9401606510098286,,,0.49599358974358976,0.5895950425265856,0.46521271308090406,0.9286735542102289,0.46521271308090406,0.6118141171793389,,
