log_key,split
00_02_49,train
00_14_08,test
2018-05-24/19_06_07,train
2018-05-24/19_20_57,train
2018-05-24/19_48_57,train
2018-05-24/19_52_02,train
2018-05-24/19_55_16,validation
2018-05-24/19_57_23,train
2018-05-24/20_01_26,train
2018-05-26/16_18_10,validation
2018-05-26/16_19_20,train
2018-05-26/16_27_25,train
2018-05-26/16_38_09,train
2018-05-26/16_45_09,test
2018-05-26/16_48_10,train
2018-05-26/16_50_01,test
2018-05-26/16_50_55,train
2018-05-30/18_06_12,train
2018-05-30/18_08_19,train
2018-05-30/18_19_18,train
2018-05-30/18_39_02,train
2018-05-31/14_33_03,validation
2018-05-31/15_14_55,train
2018-05-31/15_27_43,train
2018-05-31/15_58_30,train
2018-05-31/16_07_48,train
2018-06-02/14_23_25,train
2018-06-02/14_25_48,train
2018-06-02/14_29_29,test
2018-06-02/14_42_50,train
2018-06-02/14_56_43,train
2018-06-02/15_24_48,validation
2018-06-02/15_27_56,train
2018-06-02/15_37_07,train
2018-06-02/15_51_56,test
2018-06-02/16_13_18,train
2018-06-04/18_01_59,train
2018-06-04/18_05_54,test
2018-06-04/18_15_21,train
2018-06-04/18_17_58,train
2018-06-04/18_21_53,test
2018-06-04/18_25_07,test
2018-06-04/18_33_02,test
2018-06-04/18_36_56,train
2018-06-04/18_48_21,train
2018-06-04/19_00_07,train
2018-06-04/19_02_08,train
2018-06-04/19_09_21,train
2018-06-04/19_17_29,train
2018-06-12/18_52_10,train
2018-06-12/19_05_12,validation
2018-06-12/19_06_44,train
2018-06-12/19_24_37,train
2018-06-12/19_31_16,train
2018-06-12/19_37_35,train
2018-06-12/19_38_14,test
2018-06-12/19_44_57,train
2018-06-12/19_55_27,validation
2018-06-12/19_58_56,train
2018-06-14/log003,train
2018-07-03/18_57_00,train
2018-07-03/18_58_45,validation
2018-07-03/19_12_45,validation
2018-07-03/19_16_20,train
2018-07-04/19_31_44,train
2018-07-04/19_39_24,train
2018-07-09/18_55_04,train
2018-07-09/18_56_32,train
2018-07-09/19_05_45,train
2018-07-09/19_09_44,validation
2018-07-09/19_13_16,train
2018-07-09/19_16_25,test
2018-07-09/19_20_08,train
2018-07-09/19_29_38,train
2018-07-09/19_32_44,train
2018-07-09/19_36_34,validation
2018-07-09/19_41_46,train
2018-07-09/19_44_18,train
2018-07-09/19_50_38,test
2018-07-09/19_52_37,train
2018-07-09/19_56_32,validation
2018-07-09/20_03_46,train
2018-07-23/sess006/log001,train
2018-07-23/sess007/log001,train
2018-07-23/sess008/log001,test
2018-07-23/sess009/log001,validation
2018-07-23/sess009/log002,train
2018-07-23/sess010/log001,train
2018-07-23/sess011/log001,train
2018-07-23/sess012/log001,train
2018-07-25/sess004/log001,train
2018-07-25/sess006/log001,train
2018-07-25/sess007/log002,test
2018-07-25/sess008/log001,validation
2018-07-25/sess009/log001,train
2018-07-25/sess010/log001,test
2018-07-25/sess011/log001,train
2018-07-__/sess005/log001,test
2018-07-__/sess005/log003,train
2018-07-__/sess005/log004,train
2018-07-__/sess005/log005,test
2018-07-__/sess006/log001,train
2018-07-__/sess007/log001,train
2018-07-__/sess008/log001,validation
2018-07-__/sess009/log001,train
2018-07-__/sess010/log001,train
2018-07-__/sess011/log001,train
2018-07-__/sess012/log001,validation
2018-07-__/sess013/log001,test
2018-07-__/sess013/log002,validation
2018-07-__/sess013/log003,validation
2018-07-__/sess014/log003,train
2018-07-__/sess015/log002,train
2018-07-__/sess015/log005,train
2018-08-19/sess071/log001,validation
2018-08-19/sess072/log001,test
2018-08-19/sess073/log001,train
2018-08-19/sess076/log001,train
2018-08-19/sess078/log001,train
2018-08-21/sess003/log003,train
2018-08-21/sess004/log002,train
2018-08-21/sess005/log001,test
2018-08-21/sess005/log003,test
2018-08-26-29/sess002/log001,train
2018-08-26-29/sess003/log002,train
2018-08-26-29/sess004/log001,train
2018-08-26-29/sess005/log001,train
2018-08-26-29/sess006/log002,train
2018-08-26-29/sess012/log002,train
2018-08-31-09.01/2016-02-11/19_33_10,train
2018-08-31-09.01/2016-02-11/19_37_50,test
2018-08-31-09.01/2016-02-11/19_39_21,train
2018-08-31-09.01/2016-02-11/19_42_51,train
2018-08-31-09.01/2016-02-11/19_43_10,validation
2018-08-31-09.01/2016-02-11/19_46_53,test
2018-08-31-09.01/2016-02-11/19_49_04,validation
2018-08-31-09.01/2016-02-11/19_55_58,validation
2018-08-31-09.01/2018-08-31/14_23_58,train
2018-08-31-09.01/part2/2018-09-01/19_41_50,train
2018-08-31-09.01/part2/2018-09-01/19_43_56,train
