method,seed,class_id,class,precision,recall,f1,support
stage2_lightgbm,0,1,External Position,0.8972762645914397,0.9721753794266442,0.9332254148118171,1186
stage2_lightgbm,0,2,Global Position,0.9925373134328358,0.8769230769230769,0.9311551925320887,455
stage2_lightgbm,0,3,Altitude,0.8891891891891892,0.7946859903381642,0.8392857142857143,414
stage2_lightgbm,0,4,Mechanical/Electrical,0.9236111111111112,0.9193548387096774,0.9214780600461894,434
stage2_random_forest,0,1,External Position,0.8146611341632088,0.9932546374367622,0.8951367781155015,1186
stage2_random_forest,0,2,Global Position,0.9948453608247423,0.8483516483516483,0.9157769869513642,455
stage2_random_forest,0,3,Altitude,0.9494163424124513,0.5893719806763285,0.7272727272727273,414
stage2_random_forest,0,4,Mechanical/Electrical,0.9974874371859297,0.9147465437788018,0.9543269230769231,434
majority,0,1,External Position,0.4764965849738851,1.0,0.6454421768707483,1186
majority,0,2,Global Position,0.0,0.0,0.0,455
majority,0,3,Altitude,0.0,0.0,0.0,414
majority,0,4,Mechanical/Electrical,0.0,0.0,0.0,434
stratified_random,0,1,External Position,0.4529505582137161,0.47892074198988194,0.46557377049180326,1186
stratified_random,0,2,Global Position,0.162839248434238,0.17142857142857143,0.1670235546038544,455
stratified_random,0,3,Altitude,0.16310679611650486,0.2028985507246377,0.18083961248654468,414
stratified_random,0,4,Mechanical/Electrical,0.21991701244813278,0.12211981566820276,0.15703703703703703,434
hs_aerots_cascade,0,0,Normal,0.9619281547436291,0.9739896373056994,0.9679213222800062,28950
hs_aerots_cascade,0,1,External Position,0.6941287878787878,0.6180438448566611,0.6538804638715433,1186
hs_aerots_cascade,0,2,Global Position,0.5,0.6329670329670329,0.5586808923375364,455
hs_aerots_cascade,0,3,Altitude,0.631578947368421,0.11594202898550725,0.19591836734693877,414
hs_aerots_cascade,0,4,Mechanical/Electrical,0.5956937799043063,0.5737327188940092,0.5845070422535211,434
