method,seed,accuracy,macro_f1,balanced_accuracy,macro_precision,macro_recall,weighted_f1,macro_ovr_auprc,macro_ovr_auroc,anomaly_only_accuracy,anomaly_only_macro_f1,anomaly_only_balanced_accuracy,anomaly_only_macro_precision,anomaly_only_macro_recall,anomaly_only_weighted_f1,stage1_threshold,stage1_flagged_windows
stage2_lightgbm,0,0.916030534351145,0.9062860954189524,0.8907848213493907,0.925653469581144,0.8907848213493907,0.915173450519585,0.9739946100608,0.9908726780770332,,,,,,,,
majority,0,0.4764965849738851,0.161360544217687,0.25,0.1191241462434712,0.25,0.3075509930770219,,,,,,,,,,
stratified_random,0,0.3145841703495379,0.2426184936548098,0.2438419199528234,0.2497034038031479,0.2438419199528234,0.3098384422625697,,,,,,,,,,
hs_aerots_cascade,0,0.938802124749515,0.5921816176179091,0.582935052601782,0.6766659339790289,0.582935052601782,0.93469291569678,,,0.5295299316994777,0.6096495438419754,0.4851714064258027,0.9673601611005348,0.4851714064258027,0.6573384995612361,0.5959183039803535,2126.0
stage2_lightgbm,1,0.9152269987946968,0.9059283335111866,0.8898213349370965,0.9262880553156212,0.8898213349370965,0.9144007532316596,0.9739104765742204,0.9907842609797808,,,,,,,,
majority,1,0.4764965849738851,0.161360544217687,0.25,0.1191241462434712,0.25,0.3075509930770219,,,,,,,,,,
stratified_random,1,0.3374849337083166,0.2558424878070435,0.2599684426851658,0.2573874261575814,0.2599684426851658,0.3302405256759539,,,,,,,,,,
hs_aerots_cascade,1,0.938833932376984,0.5984547431877104,0.5878132974575545,0.693925083397133,0.5878132974575545,0.9350022744543484,,,0.5315387705905986,0.6183776485190131,0.4913037548098533,0.9662448492227008,0.4913037548098533,0.6609752466560114,0.6184399987705704,2140.0
stage2_lightgbm,2,0.9108075532342306,0.9010825067392394,0.8835875500216847,0.9237815321660796,0.8835875500216847,0.909866399098542,0.9716233687792084,0.990055585697613,,,,,,,,
majority,2,0.4764965849738851,0.161360544217687,0.25,0.1191241462434712,0.25,0.3075509930770219,,,,,,,,,,
stratified_random,2,0.3346725592607473,0.2598737233986432,0.2640612502773076,0.2617412019923615,0.2640612502773076,0.3286620153886014,,,,,,,,,,
hs_aerots_cascade,2,0.9396291230637108,0.5944742123287003,0.584465153393353,0.6823140727276661,0.584465153393353,0.9354505058349744,,,0.5315387705905986,0.6100478142355871,0.4869026852650072,0.9645258340631092,0.4869026852650072,0.656831363032824,0.6439219403331274,2121.0
stage2_lightgbm,3,0.9104057854560064,0.9007642084619932,0.8830368579212028,0.9239393370903684,0.8830368579212028,0.9093914045281968,0.9720164923927356,0.990117662544704,,,,,,,,
majority,3,0.4764965849738851,0.161360544217687,0.25,0.1191241462434712,0.25,0.3075509930770219,,,,,,,,,,
stratified_random,3,0.3238248292486942,0.2439931449238296,0.2471784826183621,0.2476486822544857,0.2471784826183621,0.317618358419004,,,,,,,,,,
hs_aerots_cascade,3,0.9394064696714272,0.5922725773620285,0.574931125898613,0.6866811695370784,0.574931125898613,0.9350869758941128,,,0.5190839694656488,0.6045441318313469,0.4747778970105717,0.9669363055741942,0.4747778970105717,0.6497402344387512,0.635191257582911,2063.0
stage2_lightgbm,4,0.9156287665729208,0.906633363325281,0.8909283417463234,0.9263545502617104,0.8909283417463234,0.9149202071928954,0.9716757641214012,0.99008416445077,,,,,,,,
majority,4,0.4764965849738851,0.161360544217687,0.25,0.1191241462434712,0.25,0.3075509930770219,,,,,,,,,,
stratified_random,4,0.3105664925672961,0.2390747685103331,0.2433549743540188,0.2406916150030687,0.2433549743540188,0.3069423490381355,,,,,,,,,,
hs_aerots_cascade,4,0.9400744298482776,0.6034668169657129,0.5897342190174034,0.6931268015218464,0.5897342190174034,0.9362202345701098,,,0.5363599839292889,0.6219610729509396,0.4934717461379027,0.9680768900712262,0.4934717461379027,0.6658268856906855,0.6150979846295946,2123.0
direct_five_class_lightgbm,0,0.9321225229810108,0.6037212340965865,0.6322516556819572,0.5977674255154236,0.6322516556819572,0.9322698074380568,,,0.5809562073121736,0.6721234184276064,0.5497359858373342,0.9593918063439694,0.5497359858373342,0.7024806273418043,,
direct_five_class_lightgbm,1,0.9337447119819332,0.6082138802281347,0.6341445939132087,0.6095097443356906,0.6341445939132087,0.9335130097061064,,,0.5845721173161912,0.6735331049137653,0.5517394643258804,0.9626362230822536,0.5517394643258804,0.7056573348439388,,
direct_five_class_lightgbm,2,0.9340309806291548,0.615665949725166,0.6369389168369624,0.6200402218932675,0.6369389168369624,0.9339871704284172,,,0.5833668139815187,0.6830618933153719,0.5551287410375675,0.9615326017459916,0.5551287410375675,0.709012196002918,,
direct_five_class_lightgbm,3,0.9330449441776136,0.6096459721547238,0.6353413500667824,0.608013461851163,0.6353413500667824,0.9330703738033442,,,0.5841703495379671,0.6775168841719335,0.5534167566681065,0.9618587352505998,0.5534167566681065,0.7067437994239822,,
direct_five_class_lightgbm,4,0.9337447119819332,0.6087646954448617,0.631588930935118,0.6137204046390596,0.631588930935118,0.9334083813406092,,,0.5805544395339494,0.6721375183520739,0.5484585298174295,0.9615144630710484,0.5484585298174295,0.7029351098660558,,
stage2_random_forest,0,0.8858979509843311,0.873128353854129,0.8364312025608851,0.939102568646583,0.8364312025608851,0.8813095787923462,0.9595778614676156,0.9837836805354195,,,,,,,,
stage2_random_forest,1,0.8858979509843311,0.8739086413962319,0.8369621725037527,0.9383070665099751,0.8369621725037527,0.8817790380518173,0.9605702842420345,0.9828780305408465,,,,,,,,
stage2_random_forest,2,0.8891120932101245,0.8784977400249229,0.8421317483474983,0.9398286578119791,0.8421317483474983,0.8855701095494921,0.9625553125460888,0.9822335213748334,,,,,,,,
stage2_random_forest,3,0.8850944154278827,0.8738698043701273,0.8380559786734324,0.9376583801031285,0.8380559786734324,0.8810304782965861,0.9650518900100256,0.9841747773894964,,,,,,,,
stage2_random_forest,4,0.8818802732020892,0.8709432931107756,0.8357782887998069,0.9308176616860108,0.8357782887998069,0.8782856482977556,0.9648131555807276,0.985305755281209,,,,,,,,
