scope,mode,module,mean_abs_shap,shap_share,rank,seed
all,producer_only,src/modules/ekf2,1.6407383659928299,0.2246090597441304,1,0
all,producer_only,src/modules/mavlink,1.501552346779617,0.20555517427830786,2,0
all,producer_only,src/modules/sensors,0.7625513209262949,0.10438954726109465,3,0
all,producer_only,src/modules/position_estimator_inav,0.5100429087661558,0.06982238030242303,4,0
all,producer_only,src/modules/load_mon,0.4929106889507371,0.0674770631794566,5,0
all,producer_only,src/modules/vtol_att_control,0.3387834175647668,0.0463777933479846,6,0
all,producer_only,src/examples/hwtest,0.23588655568476702,0.0322917160814831,7,0
all,producer_only,src/examples/uuv_example_app,0.23588655568476702,0.0322917160814831,7,0
all,producer_only,src/platforms/qurt/tests/muorb,0.12222571234017576,0.016732102384082,8,0
all,producer_only,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.10844864689729974,0.014846089489341623,9,0
all,producer_only,src/modules/simulator,0.09570799950849891,0.013101957158530648,10,0
all,producer_only,src/examples/px4_simple_app,0.09257158168866839,0.01267259689483584,11,0
all,producer_only,src/modules/attitude_estimator_q,0.09257158168866839,0.01267259689483584,11,0
all,producer_only,src/modules/fw_att_control,0.07487922121706031,0.01025059925490287,12,0
all,producer_only,src/modules/mc_att_control,0.07487922121706031,0.01025059925490287,12,0
all,producer_only,src/drivers/linux_pwm_out,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/drivers/mkblctrl,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/drivers/pwm_out_sim,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/drivers/px4fmu,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/drivers/px4io,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/drivers/snapdragon_pwm_out,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/drivers/tap_esc,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/modules/uavcan,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/platforms/qurt/fc_addon/uart_esc,0.06631895372828371,0.009078740492004434,13,0
all,producer_only,src/modules/gnd_pos_control,0.06448456801778814,0.008827622057656638,14,0
all,producer_only,src/modules/navigator,0.06448456801778814,0.008827622057656638,14,0
all,producer_only,src/drivers/telemetry,0.04212969316901604,0.00576734899733719,15,0
all,producer_only,src/modules/syslink,0.04212969316901604,0.00576734899733719,15,0
all,producer_only,src/platforms/posix/drivers/df_ltc2946_wrapper,0.04212969316901604,0.00576734899733719,15,0
all,producer_only,src/examples/fixedwing_control,0.038412293862211636,0.0052584552088448516,16,0
all,producer_only,src/modules/commander,0.015254491678525961,0.002088265322372154,17,0
all,producer_only,src/modules/land_detector,0.007073197495350799,0.0009682861519812988,18,0
all,producer_only,src/drivers/distance_sensor,0.0024515794154859045,0.0003356092347283846,19,0
all,producer_only,src/drivers/px4flow,0.0024515794154859045,0.0003356092347283846,19,0
all,producer_only,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.0024515794154859045,0.0003356092347283846,19,0
all,producer_only,src/platforms/posix/drivers/df_isl29501_wrapper,0.0024515794154859045,0.0003356092347283846,19,0
all,producer_only,src/platforms/posix/drivers/df_trone_wrapper,0.0024515794154859045,0.0003356092347283846,19,0
all,consumer_only,src/modules/commander,1.6302523932063553,0.24368640661951893,1,0
all,consumer_only,src/modules/simulator,0.6642065033947389,0.09928407204926055,2,0
all,consumer_only,src/modules/land_detector,0.2992144000765487,0.044725885554482876,3,0
all,consumer_only,src/modules/events,0.2769630958055815,0.04139981138155988,4,0
all,consumer_only,src/modules/vtol_att_control,0.2706816704249096,0.04046087825326432,5,0
all,consumer_only,src/modules/mc_att_control,0.2434440803636385,0.03638946546180552,6,0
all,consumer_only,src/modules/fw_pos_control_l1,0.2201109821225808,0.03290168719547185,7,0
all,consumer_only,src/modules/mc_pos_control,0.2201109821225808,0.03290168719547185,7,0
all,consumer_only,src/drivers/telemetry,0.19158335195132406,0.028637442152941082,8,0
all,consumer_only,src/modules/fw_att_control,0.18784655314042126,0.028078873996081624,9,0
all,consumer_only,src/modules/gnd_att_control,0.18480867345841928,0.027624778675299107,10,0
all,consumer_only,src/modules/position_estimator_inav,0.16628421738566784,0.024855785264363793,11,0
all,consumer_only,src/examples/rover_steering_control,0.1563348543520098,0.023368577187915775,12,0
all,consumer_only,src/drivers/mkblctrl,0.13479231753415258,0.020148447956093312,13,0
all,consumer_only,src/drivers/px4io,0.13479231753415258,0.020148447956093312,13,0
all,consumer_only,src/modules/sensors,0.13479231753415258,0.020148447956093312,13,0
all,consumer_only,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.13479231753415258,0.020148447956093312,13,0
all,consumer_only,src/platforms/posix/drivers/df_ltc2946_wrapper,0.13479231753415258,0.020148447956093312,13,0
all,consumer_only,src/platforms/qurt/fc_addon/uart_esc,0.13479231753415258,0.020148447956093312,13,0
all,consumer_only,src/modules/landing_target_estimator,0.13391433121218313,0.020017208564724578,14,0
all,consumer_only,src/modules/wind_estimator,0.13391433121218313,0.020017208564724578,14,0
all,consumer_only,src/modules/navigator,0.11638074829670324,0.01739632861163019,15,0
all,consumer_only,src/drivers/camera_trigger,0.11334286861470128,0.016942233290847673,16,0
all,consumer_only,src/examples/fixedwing_control,0.1047471999377793,0.015657372356982488,17,0
all,consumer_only,src/drivers/vmount,0.10373023382587757,0.015505358583841665,18,0
all,consumer_only,src/modules/ekf2,0.09113219367687049,0.013622232297903823,19,0
all,consumer_only,src/modules/gnd_pos_control,0.0831587712283957,0.01243038330996476,20,0
all,consumer_only,src/examples/uuv_example_app,0.04773273200640982,0.0071349798284284244,21,0
all,consumer_only,src/drivers/blinkm,0.03050775133021296,0.004560229033664984,22,0
all,consumer_only,src/modules/gpio_led,0.03050775133021296,0.004560229033664984,22,0
all,consumer_only,src/drivers/batt_smbus,0.02949078521831123,0.00440821526052416,23,0
all,consumer_only,src/examples/px4_simple_app,0.02716126940892795,0.004060004554551519,24,0
all,consumer_only,src/modules/attitude_estimator_q,0.02716126940892795,0.004060004554551519,24,0
all,consumer_only,src/modules/sdlog2,0.02716126940892795,0.004060004554551519,24,0
all,consumer_only,src/templates/module,0.02716126940892795,0.004060004554551519,24,0
all,consumer_only,src/modules/camera_feedback,0.020571462597481865,0.0030749752738769044,25,0
all,consumer_only,src/modules/replay,0.020571462597481865,0.0030749752738769044,25,0
all,consumer_only,src/modules/logger,0.0010169661119017307,0.00015201377314082404,26,0
all,bidirectional,src/modules/ekf2,1.074751444385238,0.14712821762776362,1,0
all,bidirectional,src/modules/commander,0.9053766220705745,0.12394163262863404,2,0
all,bidirectional,src/modules/mavlink,0.368744082365988,0.050479261863496085,3,0
all,bidirectional,src/modules/vtol_att_control,0.32256979643989087,0.04415822789416996,4,0
all,bidirectional,src/modules/sensors,0.2672079778372809,0.03657946562482246,5,0
all,bidirectional,src/modules/mc_att_control,0.23675033882163557,0.03240996376936324,6,0
all,bidirectional,src/modules/land_detector,0.21630016848868738,0.029610435444009948,7,0
all,bidirectional,src/modules/fw_att_control,0.21527478416994208,0.029470065344496615,8,0
all,bidirectional,src/modules/events,0.18368870947493143,0.025146086162135484,9,0
all,bidirectional,src/modules/position_estimator_inav,0.18257904926288868,0.024994179104905444,10,0
all,bidirectional,src/modules/fw_pos_control_l1,0.1824566125036624,0.024977418111234592,11,0
all,bidirectional,src/modules/mc_pos_control,0.1824566125036624,0.024977418111234592,11,0
all,bidirectional,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.16449862803616316,0.02251905784506018,12,0
all,bidirectional,src/modules/load_mon,0.16430356298357904,0.022492354393152204,13,0
all,bidirectional,src/drivers/telemetry,0.15117427427226146,0.02069501896559071,14,0
all,bidirectional,src/drivers/mkblctrl,0.14606688727471867,0.01999584265872516,15,0
all,bidirectional,src/drivers/px4io,0.14606688727471867,0.01999584265872516,15,0
all,bidirectional,src/platforms/qurt/fc_addon/uart_esc,0.14606688727471867,0.01999584265872516,15,0
all,bidirectional,src/modules/gnd_att_control,0.1378703355573404,0.0188737748065052,16,0
all,bidirectional,src/modules/navigator,0.12750258572555467,0.017454480548721056,17,0
all,bidirectional,src/examples/uuv_example_app,0.12483098279970513,0.017088751171251648,18,0
all,bidirectional,src/examples/rover_steering_control,0.12039200052580375,0.016481076202818436,19,0
all,bidirectional,src/examples/fixedwing_control,0.11119709283423666,0.015222338299297027,20,0
all,bidirectional,src/modules/landing_target_estimator,0.1095662709917862,0.014999086763137976,21,0
all,bidirectional,src/modules/wind_estimator,0.1095662709917862,0.014999086763137976,21,0
all,bidirectional,src/modules/simulator,0.10741764959080839,0.01470495099925114,22,0
all,bidirectional,src/platforms/posix/drivers/df_ltc2946_wrapper,0.1042086701013598,0.014265657397783422,23,0
all,bidirectional,src/modules/gnd_pos_control,0.1026073981252289,0.014046451093836386,24,0
all,bidirectional,src/drivers/camera_trigger,0.09273507432111923,0.01269497823680419,25,0
all,bidirectional,src/drivers/vmount,0.0871963107870018,0.011936748591341854,26,0
all,bidirectional,src/examples/hwtest,0.08577692933991528,0.011742442211448401,27,0
all,bidirectional,src/drivers/linux_pwm_out,0.06028995793480338,0.008253400447276758,28,0
all,bidirectional,src/drivers/pwm_out_sim,0.06028995793480338,0.008253400447276758,28,0
all,bidirectional,src/drivers/px4fmu,0.06028995793480338,0.008253400447276758,28,0
all,bidirectional,src/drivers/snapdragon_pwm_out,0.06028995793480338,0.008253400447276758,28,0
all,bidirectional,src/drivers/tap_esc,0.06028995793480338,0.008253400447276758,28,0
all,bidirectional,src/modules/uavcan,0.06028995793480338,0.008253400447276758,28,0
all,bidirectional,src/examples/px4_simple_app,0.03905405345978985,0.005346308959803244,29,0
all,bidirectional,src/modules/attitude_estimator_q,0.03905405345978985,0.005346308959803244,29,0
all,bidirectional,src/modules/sdlog2,0.022222856789122867,0.003042200433469455,30,0
all,bidirectional,src/platforms/qurt/tests/muorb,0.022222856789122867,0.003042200433469455,30,0
all,bidirectional,src/templates/module,0.022222856789122867,0.003042200433469455,30,0
all,bidirectional,src/drivers/blinkm,0.019385146491352388,0.0026537317689832797,31,0
all,bidirectional,src/modules/gpio_led,0.019385146491352388,0.0026537317689832797,31,0
all,bidirectional,src/drivers/batt_smbus,0.018431740761444517,0.0025232151863350204,32,0
all,bidirectional,src/modules/syslink,0.018431740761444517,0.0025232151863350204,32,0
all,bidirectional,src/modules/camera_feedback,0.01683119667066698,0.002304108526333789,33,0
all,bidirectional,src/modules/replay,0.01683119667066698,0.002304108526333789,33,0
all,bidirectional,src/drivers/distance_sensor,0.0021791817026541372,0.00029831931975856404,34,0
all,bidirectional,src/drivers/px4flow,0.0021791817026541372,0.00029831931975856404,34,0
all,bidirectional,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.0021791817026541372,0.00029831931975856404,34,0
all,bidirectional,src/platforms/posix/drivers/df_isl29501_wrapper,0.0021791817026541372,0.00029831931975856404,34,0
all,bidirectional,src/platforms/posix/drivers/df_trone_wrapper,0.0021791817026541372,0.00029831931975856404,34,0
all,bidirectional,src/modules/logger,0.0009534057299078726,0.00013051658264825962,35,0
all,producer_only,src/modules/ekf2,1.7230754108447386,0.22987011327308082,1,1
all,producer_only,src/modules/mavlink,1.531147204713506,0.20426557025307657,2,1
all,producer_only,src/modules/sensors,0.7806739909340844,0.1041472808421013,3,1
all,producer_only,src/modules/position_estimator_inav,0.5159992080331722,0.0688378440391389,4,1
all,producer_only,src/modules/load_mon,0.5073883775219034,0.06768910001288048,5,1
all,producer_only,src/modules/vtol_att_control,0.34426241385167033,0.04592697427499787,6,1
all,producer_only,src/examples/hwtest,0.24341798761382433,0.03247363408085747,7,1
all,producer_only,src/examples/uuv_example_app,0.24341798761382433,0.03247363408085747,7,1
all,producer_only,src/platforms/qurt/tests/muorb,0.1240074859995058,0.01654345171082297,8,1
all,producer_only,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.11071537665877443,0.014770192885027206,9,1
all,producer_only,src/modules/simulator,0.0950269393811507,0.012677247427511218,10,1
all,producer_only,src/examples/px4_simple_app,0.09188134326511166,0.012257603266289762,11,1
all,producer_only,src/modules/attitude_estimator_q,0.09188134326511166,0.012257603266289762,11,1
all,producer_only,src/modules/fw_att_control,0.07701975826824443,0.010274965591150181,12,1
all,producer_only,src/modules/mc_att_control,0.07701975826824443,0.010274965591150181,12,1
all,producer_only,src/drivers/linux_pwm_out,0.06743407107956538,0.008996168977842512,13,1
all,producer_only,src/drivers/mkblctrl,0.06743407107956538,0.008996168977842512,13,1
