scope,level,name,mean_abs_shap,std_abs_shap,seeds,scope_windows,topic,feature_count,mean_abs_shap_per_feature,shap_share,rank
all,topic,estimator_status,1.0878485030465863,0.06417754098571431,5,1393,estimator_status,162,0.006715114216336952,0.1507473041722578,1
all,topic,vehicle_local_position,1.0222596846286784,0.04188375654924622,5,1393,vehicle_local_position,234,0.004368631130891788,0.1416584121687727,2
all,topic,actuator_controls_0,0.9365734237353628,0.03299037790066309,5,1393,actuator_controls_0,72,0.013007964218546705,0.12978454113057822,3
all,topic,manual_control_setpoint,0.9180780236633442,0.0307912885382653,5,1393,manual_control_setpoint,72,0.012751083661990893,0.12722156320429912,4
all,topic,actuator_outputs,0.6455965346754995,0.036460719263993586,5,1393,actuator_outputs,144,0.0044833092685798576,0.0894627670238338,5
all,topic,cpuload,0.47873457656963286,0.027503391073075204,5,1393,cpuload,36,0.013298182682489801,0.06634007091043352,6
all,topic,ekf2_innovations,0.46220288019179173,0.028871047109236832,5,1393,ekf2_innovations,144,0.003209742223554109,0.06404921087305283,7
all,topic,vehicle_attitude,0.3531689588910411,0.03025139699258134,5,1393,vehicle_attitude,126,0.0028029282451669927,0.04893996574067764,8
all,topic,battery_status,0.2885689581348055,0.020383916464656492,5,1393,battery_status,108,0.0026719347975444952,0.039988097961059704,9
all,topic,vehicle_attitude_setpoint,0.25986067877457397,0.00408781035650877,5,1393,vehicle_attitude_setpoint,54,0.00481223479212174,0.03600988251207118,10
all,topic,sensor_combined,0.23635658791051214,0.016041654089353208,5,1393,sensor_combined,108,0.0021884869250973346,0.03275283125460819,11
all,topic,rate_ctrl_status,0.14556249216393735,0.012204947113969711,5,1393,rate_ctrl_status,54,0.0026956017067395806,0.020171148115620707,12
all,topic,sensor_preflight,0.12933205067056192,0.011251886586455769,5,1393,sensor_preflight,36,0.0035925569630711643,0.017922034113257528,13
all,topic,vehicle_rates_setpoint,0.10460673134642566,0.009251917062827046,5,1393,vehicle_rates_setpoint,54,0.0019371616916004752,0.014495752583730844,14
all,topic,vehicle_vision_position,0.09936549122383007,0.007549557279504356,5,1393,vehicle_vision_position,54,0.0018401016893301865,0.013769454007423547,15
all,topic,distance_sensor,0.01876474468002724,0.0008509513313284282,5,1393,distance_sensor,18,0.0010424858155570688,0.0026003020329326905,16
all,topic,vehicle_status,0.01644968713975114,0.000947458345406523,5,1393,vehicle_status,36,0.00045693575388197605,0.002279495705376127,17
all,topic,vehicle_land_detected,0.013041184197039488,0.0015131774991356867,5,1393,vehicle_land_detected,54,0.0002415034110562868,0.0018071664900138802,18
