seed,scope,level,rank,name,mean_abs_shap,scope_windows,topic,feature_count
0,all,topic,1,estimator_status,1.080571173046843,1393,estimator_status,162
0,all,topic,2,vehicle_local_position,1.0200858175323115,1393,vehicle_local_position,234
0,all,topic,3,actuator_controls_0,0.9435462227390681,1393,actuator_controls_0,72
0,all,topic,4,manual_control_setpoint,0.9147464835123527,1393,manual_control_setpoint,72
0,all,topic,5,actuator_outputs,0.6631895372828371,1393,actuator_outputs,144
0,all,topic,6,cpuload,0.4929106889507371,1393,cpuload,36
0,all,topic,7,ekf2_innovations,0.4651440318418326,1393,ekf2_innovations,144
0,all,topic,8,vehicle_attitude,0.37028632675467354,1393,vehicle_attitude,126
0,all,topic,9,battery_status,0.2949078521831123,1393,battery_status,108
0,all,topic,10,vehicle_attitude_setpoint,0.25793827207115255,1393,vehicle_attitude_setpoint,54
0,all,topic,11,sensor_combined,0.24445142468035153,1393,sensor_combined,108
0,all,topic,12,rate_ctrl_status,0.14975844243412062,1393,rate_ctrl_status,54
0,all,topic,13,sensor_preflight,0.14082267366092677,1393,sensor_preflight,36
0,all,topic,14,vehicle_rates_setpoint,0.1152368815866349,1393,vehicle_rates_setpoint,54
0,all,topic,15,vehicle_vision_position,0.10225345384799393,1393,vehicle_vision_position,54
0,all,topic,16,distance_sensor,0.019612635323887236,1393,distance_sensor,18
0,all,topic,17,vehicle_status,0.015254491678525961,1393,vehicle_status,36
0,all,topic,18,vehicle_land_detected,0.014146394990701599,1393,vehicle_land_detected,54
1,all,topic,1,estimator_status,1.1469367806871713,1393,estimator_status,162
1,all,topic,2,vehicle_local_position,1.0319984160663445,1393,vehicle_local_position,234
1,all,topic,3,actuator_controls_0,0.9736719504552973,1393,actuator_controls_0,72
1,all,topic,4,manual_control_setpoint,0.9534098395951863,1393,manual_control_setpoint,72
1,all,topic,5,actuator_outputs,0.6743407107956538,1393,actuator_outputs,144
1,all,topic,6,cpuload,0.5073883775219034,1393,cpuload,36
1,all,topic,7,ekf2_innovations,0.4818555211849826,1393,ekf2_innovations,144
1,all,topic,8,vehicle_attitude,0.36752537306044664,1393,vehicle_attitude,126
1,all,topic,9,battery_status,0.3029691390544633,1393,battery_status,108
1,all,topic,10,vehicle_attitude_setpoint,0.2605094031816195,1393,vehicle_attitude_setpoint,54
1,all,topic,11,sensor_combined,0.2480149719990116,1393,sensor_combined,108
1,all,topic,12,rate_ctrl_status,0.15403951653648887,1393,rate_ctrl_status,54
1,all,topic,13,sensor_preflight,0.13668027955777642,1393,sensor_preflight,36
1,all,topic,14,vehicle_rates_setpoint,0.1071512263273234,1393,vehicle_rates_setpoint,54
1,all,topic,15,vehicle_vision_position,0.09868773618893724,1393,vehicle_vision_position,54
1,all,topic,16,distance_sensor,0.01921412565978429,1393,distance_sensor,18
1,all,topic,17,vehicle_status,0.016927194214304157,1393,vehicle_status,36
1,all,topic,18,vehicle_land_detected,0.014544760769615675,1393,vehicle_land_detected,54
2,all,topic,1,estimator_status,0.9833621657757585,1393,estimator_status,162
2,all,topic,2,vehicle_local_position,0.9530750279092247,1393,vehicle_local_position,234
2,all,topic,3,actuator_controls_0,0.8843436711414697,1393,actuator_controls_0,72
2,all,topic,4,manual_control_setpoint,0.8748460047485298,1393,manual_control_setpoint,72
2,all,topic,5,actuator_outputs,0.5867325040320127,1393,actuator_outputs,144
2,all,topic,6,cpuload,0.4350866493207193,1393,cpuload,36
2,all,topic,7,ekf2_innovations,0.41333926704304086,1393,ekf2_innovations,144
2,all,topic,8,vehicle_attitude,0.2998361629310483,1393,vehicle_attitude,126
2,all,topic,9,vehicle_attitude_setpoint,0.25487524108671816,1393,vehicle_attitude_setpoint,54
2,all,topic,10,battery_status,0.25409054198730185,1393,battery_status,108
2,all,topic,11,sensor_combined,0.20821783086850107,1393,sensor_combined,108
