seed,scope,k,windows,consistency,hit_rate,weighted_consistency,random_consistency,random_hit_rate
0,all,1,3602,0.24347584675180456,0.24347584675180456,0.26709487713330926,0.1706555106677644,0.17065551066776438
0,correct_predictions,1,3284,0.2518270401948843,0.2518270401948843,0.2719473271605671,0.16265207834572362,0.1626520783457236
0,External Position,1,1707,0.029291154071470416,0.029291154071470416,0.05769183458381732,0.03448275862068966,0.03448275862068961
0,Global Position,1,641,0.0327613104524181,0.0327613104524181,0.2553407110292484,0.13793103448275865,0.13793103448275867
0,Altitude,1,571,0.3555166374781086,0.3555166374781086,0.28194508665451945,0.17241379310344832,0.17241379310344832
0,Mechanical/Electrical,1,683,0.8828696925329429,0.8828696925329429,0.7890655132505491,0.5402298850574712,0.5402298850574712
0,all,3,3602,0.33694243938552654,0.6066074403109384,0.26709487713330926,0.1706555106677644,0.3537462624804545
0,correct_predictions,3,3284,0.3527202598457166,0.6263702801461632,0.2719473271605671,0.16265207834572362,0.3388983456404851
0,External Position,3,1707,0.08631126733059949,0.2583479789103691,0.05769183458381732,0.03448275862068966,0.10105193641209488
0,Global Position,3,641,0.34789391575663026,0.9329173166926678,0.2553407110292484,0.13793103448275865,0.3629416481909524
0,Altitude,3,571,0.396964389959136,0.8598949211908932,0.28194508665451945,0.17241379310344832,0.43733194962026506
0,Mechanical/Electrical,3,683,0.9028794533918985,0.95900439238653,0.7890655132505491,0.5402298850574712,0.9067880560403793
0,all,5,3602,0.3406996113270405,0.7293170460855081,0.26709487713330926,0.1706555106677644,0.45752081189720134
0,correct_predictions,5,3284,0.35682095006090137,0.7496954933008526,0.2719473271605671,0.16265207834572362,0.44038522403440333
0,External Position,5,1707,0.09876977152899824,0.4850615114235501,0.05769183458381732,0.03448275862068966,0.16448889098542385
0,Global Position,5,641,0.3778471138845554,0.9547581903276131,0.2553407110292484,0.13793103448275865,0.5328969744050702
0,Altitude,5,571,0.404553415061296,0.8914185639229422,0.28194508665451945,0.17241379310344832,0.6213369919131216
0,Mechanical/Electrical,5,683,0.8571010248901904,0.9926793557833089,0.7890655132505491,0.5402298850574712,0.9821918661281965
0,all,10,3602,0.27756801776790674,0.8384230982787341,0.26709487713330926,0.1706555106677644,0.6147883193254209
0,correct_predictions,10,3284,0.2835261875761267,0.8526187576126675,0.2719473271605671,0.16265207834572362,0.5973197295559978
0,External Position,10,1707,0.07809021675454013,0.68306971294669,0.05769183458381732,0.03448275862068966,0.3098731072220388
0,Global Position,10,641,0.23369734789391575,0.9594383775351014,0.2553407110292484,0.13793103448275865,0.7928061264036552
0,Altitude,10,571,0.317338003502627,0.9737302977232924,0.28194508665451945,0.17241379310344832,0.8659721821741826
0,Mechanical/Electrical,10,683,0.7840409956076134,1.0,0.7890655132505491,0.5402298850574712,0.9997881246499923
1,all,1,3602,0.2501388117712382,0.2501388117712382,0.26563725076614664,0.1706555106677644,0.17065551066776438
1,correct_predictions,1,3284,0.25943970767356883,0.25943970767356883,0.27049361835414865,0.16220056841250508,0.16220056841250508
1,External Position,1,1707,0.03690685413005272,0.03690685413005272,0.056728807623401156,0.03448275862068966,0.03448275862068961
1,Global Position,1,641,0.029641185647425898,0.029641185647425898,0.25766285288479657,0.13793103448275865,0.13793103448275867
1,Altitude,1,571,0.38353765323992994,0.38353765323992994,0.2802485615075995,0.17241379310344832,0.17241379310344832
1,Mechanical/Electrical,1,683,0.8784773060029283,0.8784773060029283,0.7830241366420507,0.5402298850574712,0.5402298850574712
1,all,3,3602,0.325744956505645,0.572459744586341,0.26563725076614664,0.1706555106677644,0.3537462624804545
1,correct_predictions,3,3284,0.34094600081201787,0.5904384896467723,0.27049361835414865,0.16220056841250508,0.33820852211963437
1,External Position,3,1707,0.06424526459675844,0.19273579379027533,0.056728807623401156,0.03448275862068966,0.10105193641209488
1,Global Position,3,641,0.34737389495579823,0.9344773790951638,0.25766285288479657,0.13793103448275865,0.3629416481909524
1,Altitude,3,571,0.3998832457676591,0.840630472854641,0.2802485615075995,0.17241379310344832,0.43733194962026506
1,Mechanical/Electrical,3,683,0.8970229380185456,0.9575402635431918,0.7830241366420507,0.5402298850574712,0.9067880560403793
1,all,5,3602,0.3337590227651305,0.7118267629094948,0.26563725076614664,0.1706555106677644,0.45752081189720134
1,correct_predictions,5,3284,0.34969549330085264,0.730816077953715,0.27049361835414865,0.16220056841250508,0.4397279485026953
1,External Position,5,1707,0.09080257762155829,0.44932630345635616,0.056728807623401156,0.03448275862068966,0.16448889098542385
1,Global Position,5,641,0.37878315132605306,0.9563182527301092,0.25766285288479657,0.13793103448275865,0.5328969744050702
1,Altitude,5,571,0.39929947460595444,0.8879159369527145,0.2802485615075995,0.17241379310344832,0.6213369919131216
1,Mechanical/Electrical,5,683,0.8439238653001464,0.9912152269399708,0.7830241366420507,0.5402298850574712,0.9821918661281965
1,all,10,3602,0.27290394225430314,0.8281510272071072,0.26563725076614664,0.1706555106677644,0.6147883193254209
1,correct_predictions,10,3284,0.27904993909866016,0.8419610231425091,0.27049361835414865,0.16220056841250508,0.5968721932305493
1,External Position,10,1707,0.0757469244288225,0.6631517281780902,0.056728807623401156,0.03448275862068966,0.3098731072220388
1,Global Position,10,641,0.23338533541341655,0.9609984399375975,0.25766285288479657,0.13793103448275865,0.7928061264036552
1,Altitude,10,571,0.31138353765323995,0.9667250437828371,0.2802485615075995,0.17241379310344832,0.8659721821741826
1,Mechanical/Electrical,10,683,0.770571010248902,1.0,0.7830241366420507,0.5402298850574712,0.9997881246499923
2,all,1,3602,0.25652415324819544,0.25652415324819544,0.27312433408316433,0.1706555106677644,0.17065551066776438
2,correct_predictions,1,3278,0.2654057352043929,0.2654057352043929,0.27869390889809426,0.16208719923137882,0.16208719923137882
2,External Position,1,1707,0.04569420035149385,0.04569420035149385,0.06559164443578769,0.03448275862068966,0.03448275862068961
2,Global Position,1,641,0.0390015600624025,0.0390015600624025,0.2694050433377641,0.13793103448275865,0.13793103448275867
2,Altitude,1,571,0.38879159369527144,0.38879159369527144,0.27967361578791977,0.17241379310344832,0.17241379310344832
2,Mechanical/Electrical,1,683,0.87701317715959,0.87701317715959,0.7898193951995011,0.5402298850574712,0.5402298850574712
2,all,3,3602,0.3566537109013511,0.6451971127151582,0.27312433408316433,0.1706555106677644,0.3537462624804545
2,correct_predictions,3,3278,0.37553386211104334,0.6693105552165954,0.27869390889809426,0.16208719923137882,0.33777559701047294
2,External Position,3,1707,0.1156024214020699,0.3462214411247803,0.06559164443578769,0.03448275862068966,0.10105193641209488
2,Global Position,3,641,0.41341653666146644,0.9375975039001561,0.2694050433377641,0.13793103448275865,0.3629416481909524
2,Altitude,3,571,0.37419731465265615,0.8423817863397548,0.27967361578791977,0.17241379310344832,0.43733194962026506
2,Mechanical/Electrical,3,683,0.8911664226451927,0.9531478770131772,0.7898193951995011,0.5402298850574712,0.9067880560403793
2,all,5,3602,0.341976679622432,0.7559689061632426,0.27312433408316433,0.1706555106677644,0.45752081189720134
2,correct_predictions,5,3278,0.3586333129957291,0.7773032336790726,0.27869390889809426,0.16208719923137882,0.43902692149182987
2,External Position,5,1707,0.11013473930872876,0.5418863503222027,0.06559164443578769,0.03448275862068966,0.16448889098542385
