scope,k,seeds,windows,consistency_mean,consistency_std,hit_rate_mean,hit_rate_std,random_consistency,random_hit_rate
Altitude,1,5,571,0.3779334500875657,0.014621107856211431,0.3779334500875657,0.014621107856211431,0.17241379310344832,0.17241379310344832
Altitude,3,5,571,0.40070052539404555,0.01838925489830461,0.8490367775831874,0.007871175150348264,0.17241379310344832,0.43733194962026506
Altitude,5,5,571,0.4047635726795097,0.006029200314890358,0.887215411558669,0.004031826421443547,0.17241379310344832,0.6213369919131216
Altitude,10,5,571,0.3144658493870403,0.002857916099595284,0.9733800350262698,0.003993609194743051,0.17241379310344832,0.8659721821741826
External Position,1,5,1707,0.03632103104862332,0.007138873817782041,0.03632103104862332,0.007138873817782041,0.03448275862068966,0.03448275862068961
External Position,3,5,1707,0.09291154071470416,0.019921526194618146,0.2781487990626831,0.05944935401285857,0.03448275862068966,0.10105193641209488
External Position,5,5,1707,0.10301113063854717,0.011052480501784067,0.504042179261863,0.046883417912775865,0.03448275862068966,0.16448889098542385
External Position,10,5,1707,0.08093731693028705,0.005347477032355136,0.6967779730521382,0.034765527507254944,0.03448275862068966,0.3098731072220388
Global Position,1,5,641,0.03494539781591264,0.003757127793694945,0.03494539781591264,0.003757127793694945,0.13793103448275865,0.13793103448275867
Global Position,3,5,641,0.40624024960998445,0.0609461272640944,0.940405616224649,0.008783580817634504,0.13793103448275865,0.3629416481909524
Global Position,5,5,641,0.3787207488299532,0.0011962739165479242,0.9563182527301093,0.0024666752419410247,0.13793103448275865,0.5328969744050702
Global Position,10,5,641,0.23313572542901717,0.0039057681930199355,0.9609984399375975,0.0019106784265079497,0.13793103448275865,0.7928061264036552
Mechanical/Electrical,1,5,683,0.8787701317715959,0.002405809183770847,0.8787701317715959,0.002405809183770847,0.5402298850574712,0.5402298850574712
Mechanical/Electrical,3,5,683,0.8940946803318692,0.005774602033284115,0.9487554904831625,0.011667187006229273,0.5402298850574712,0.9067880560403793
Mechanical/Electrical,5,5,683,0.8470863836017569,0.013376401627178682,0.990922401171303,0.0028163080617380986,0.5402298850574712,0.9821918661281965
Mechanical/Electrical,10,5,683,0.7794143484626648,0.007326937265868818,1.0,0.0,0.5402298850574712,0.9997881246499923
all,1,5,3602,0.24997223764575235,0.005582235601406331,0.24997223764575235,0.005582235601406331,0.1706555106677644,0.17065551066776438
all,3,5,3602,0.3493799740884694,0.017182607268195906,0.613659078289839,0.028048635009705107,0.1706555106677644,0.3537462624804545
all,5,5,3602,0.34099944475291505,0.0051393509415673675,0.7375902276513049,0.021825166038998024,0.1706555106677644,0.45752081189720134
all,10,5,3602,0.2774847307051638,0.002796841903362992,0.8451415880066631,0.016959367561935477,0.1706555106677644,0.6147883193254209
correct_predictions,1,5,3284,0.25876725525006355,0.005410763097926037,0.25876725525006355,0.005410763097926037,0.16265207834572362,0.1626520783457236
correct_predictions,3,5,3284,0.3673903889492592,0.019538428890975783,0.6359877077423,0.03052051863918588,0.16265207834572362,0.3388983456404851
correct_predictions,5,5,3284,0.35769021212130314,0.005625954820238813,0.7586986645073852,0.023517000673238236,0.16265207834572362,0.44038522403440333
correct_predictions,10,5,3284,0.2838912510007769,0.003012465554043171,0.858839239151075,0.01718866224386332,0.16265207834572362,0.5973197295559978
