k,metric,estimate,ci_low,ci_high,bootstrap_unit,bootstrap_repetitions,seeds
10,shap_advantage,0.040381871820885484,0.010212939863960364,0.07130367489017155,flight_log,1000,5
10,median_drop,0.040892466620496656,0.010734255926294579,0.07168433104381738,flight_log,1000,5
10,donor_drop,0.05160165411350957,0.02769234819821737,0.0752358636051859,flight_log,1000,5
25,shap_advantage,0.052987388618557896,0.017838575176980252,0.08925959952043686,flight_log,1000,5
25,median_drop,0.054088649226287575,0.01841146456268553,0.09086944334643739,flight_log,1000,5
25,donor_drop,0.11722110962005734,0.08703979347551019,0.15110342390135517,flight_log,1000,5
50,shap_advantage,0.10728498134956455,0.06322385524279538,0.15472434512754657,flight_log,1000,5
50,median_drop,0.10867699498426561,0.06230272319720827,0.15763883409163512,flight_log,1000,5
50,donor_drop,0.2852929329121988,0.2489742877351194,0.31876220405755845,flight_log,1000,5
100,shap_advantage,0.26460705865765033,0.20519287662675148,0.32995067361144087,flight_log,1000,5
100,median_drop,0.26829156185679726,0.20623523494684154,0.3355336739495681,flight_log,1000,5
100,donor_drop,0.49546207266854553,0.4604290218296364,0.5282770340571168,flight_log,1000,5
