seed,k,condition,macro_f1,macro_f1_drop
0,10,baseline,0.8981823801062768,0.0
0,10,shap_median,0.8564367649402926,0.041745615165984185
0,10,shap_training_row_donor,0.8507250576757329,0.0474573224305439
0,10,random_median_mean20,0.8968101919392563,0.0013721881670205605
0,25,baseline,0.8981823801062768,0.0
0,25,shap_median,0.8356221769081512,0.06256020319812561
0,25,shap_training_row_donor,0.7838054162045491,0.11437696390172769
0,25,random_median_mean20,0.8960168721711538,0.0021655079351230455
0,50,baseline,0.8981823801062768,0.0
0,50,shap_median,0.7720560323216338,0.12612634778464304
0,50,shap_training_row_donor,0.6182545938289964,0.27992778627728043
0,50,random_median_mean20,0.8964369277154038,0.0017454523908729813
0,100,baseline,0.8981823801062768,0.0
0,100,shap_median,0.5827043094538655,0.3154780706524113
0,100,shap_training_row_donor,0.3941797222977243,0.5040026578085526
0,100,random_median_mean20,0.8931986799918995,0.004983700114377321
1,10,baseline,0.8974865065008713,0.0
1,10,shap_median,0.8598046710113483,0.037681835489522975
1,10,shap_training_row_donor,0.848286824606493,0.04919968189437829
1,10,random_median_mean20,0.8971133370398482,0.0003731694610230596
1,25,baseline,0.8974865065008713,0.0
1,25,shap_median,0.8506761782254424,0.04681032827542886
1,25,shap_training_row_donor,0.7878210898742108,0.1096654166266604
1,25,random_median_mean20,0.895837679845356,0.0016488266555152453
1,50,baseline,0.8974865065008713,0.0
1,50,shap_median,0.7929525928539314,0.10453391364693987
1,50,shap_training_row_donor,0.611740602376849,0.28574590412402223
1,50,random_median_mean20,0.8943100247371663,0.003176481763704997
1,100,baseline,0.8974865065008713,0.0
1,100,shap_median,0.6645160653815828,0.23297044111928844
1,100,shap_training_row_donor,0.41259406818920613,0.4848924383116651
1,100,random_median_mean20,0.894515069668534,0.0029714368323372486
2,10,baseline,0.8950090147506912,0.0
2,10,shap_median,0.8476587784249645,0.04735023632572666
2,10,shap_training_row_donor,0.8367683297372062,0.058240685013485005
2,10,random_median_mean20,0.895144231676365,-0.00013521692567386445
2,25,baseline,0.8950090147506912,0.0
2,25,shap_median,0.832251552750987,0.06275746199970422
2,25,shap_training_row_donor,0.7554582538393577,0.13955076091133345
2,25,random_median_mean20,0.8943891998827838,0.0006198148679074089
2,50,baseline,0.8950090147506912,0.0
2,50,shap_median,0.7693378912853798,0.1256711234653114
2,50,shap_training_row_donor,0.5542091291458746,0.34079988560481655
2,50,random_median_mean20,0.8943140583498875,0.0006949564008036369
2,100,baseline,0.8950090147506912,0.0
2,100,shap_median,0.6330173809925972,0.261991633758094
2,100,shap_training_row_donor,0.3878975925346305,0.5071114222160606
2,100,random_median_mean20,0.8920008964296475,0.00300811832104364
3,10,baseline,0.9003248921142609,0.0
3,10,shap_median,0.8616051448711175,0.03871974724314342
3,10,shap_training_row_donor,0.8480102504435288,0.052314641670732076
3,10,random_median_mean20,0.9004736064887957,-0.0001487143745347863
3,25,baseline,0.9003248921142609,0.0
3,25,shap_median,0.851276516839658,0.04904837527460293
3,25,shap_training_row_donor,0.7956824974859176,0.10464239462834335
3,25,random_median_mean20,0.9005320913437702,-0.0002071992295092917
3,50,baseline,0.9003248921142609,0.0
3,50,shap_median,0.8132231814248653,0.08710171068939565
3,50,shap_training_row_donor,0.6354043265663583,0.26492056554790266
3,50,random_median_mean20,0.9007438167677954,-0.000418924653534436
3,100,baseline,0.9003248921142609,0.0
3,100,shap_median,0.6105863589012605,0.28973853321300047
3,100,shap_training_row_donor,0.4102124703048016,0.4901124218094593
3,100,random_median_mean20,0.8981835640386322,0.0021413280756287234
4,10,baseline,0.8989105074816398,0.0
4,10,shap_median,0.8599456086035338,0.03896489887810606
4,10,shap_training_row_donor,0.8481145679232313,0.050795939558408554
4,10,random_median_mean20,0.8978189598114193,0.0010915476702204607
4,25,baseline,0.8989105074816398,0.0
4,25,shap_median,0.8496436300980635,0.04926687738357627
4,25,shap_training_row_donor,0.781040495449418,0.1178700120322218
4,25,random_median_mean20,0.8976311546720288,0.0012793528096110007
4,50,baseline,0.8989105074816398,0.0
4,50,shap_median,0.7989586281466017,0.09995187933503813
4,50,shap_training_row_donor,0.6438399844746678,0.25507052300697197
4,50,random_median_mean20,0.8971484052099807,0.0017621022716590717
4,100,baseline,0.8989105074816398,0.0
4,100,shap_median,0.6576313769404478,0.241279130541192
4,100,shap_training_row_donor,0.4077190842846499,0.4911914231969899
4,100,random_median_mean20,0.8935925748292923,0.005317932652347479
