method,seed,class_id,class,precision,recall,f1,support
direct_five_class_lightgbm,0,0,Normal,0.9654785790156969,0.9786457710252423,0.9720175855513308,16718
direct_five_class_lightgbm,0,1,External Position,0.576427255985267,0.7162471395881007,0.6387755102040816,437
direct_five_class_lightgbm,0,2,Global Position,0.7054545454545454,0.6339869281045751,0.6678141135972461,306
direct_five_class_lightgbm,0,3,Altitude,0.6829268292682927,0.34782608695652173,0.4609053497942387,161
direct_five_class_lightgbm,0,4,Mechanical/Electrical,0.4666666666666667,0.16279069767441862,0.2413793103448276,344
direct_five_class_lightgbm,1,0,Normal,0.9660426386346188,0.9784663237229334,0.9722147930224956,16718
direct_five_class_lightgbm,1,1,External Position,0.5915221579961464,0.7025171624713958,0.6422594142259415,437
direct_five_class_lightgbm,1,2,Global Position,0.6912280701754386,0.6437908496732027,0.6666666666666666,306
direct_five_class_lightgbm,1,3,Altitude,0.6777777777777778,0.37888198757763975,0.4860557768924303,161
direct_five_class_lightgbm,1,4,Mechanical/Electrical,0.4460431654676259,0.18023255813953487,0.2567287784679089,344
direct_five_class_lightgbm,2,0,Normal,0.9661117014995867,0.9788252183275511,0.9724269075350606,16718
direct_five_class_lightgbm,2,1,External Position,0.5947955390334573,0.7322654462242563,0.6564102564102564,437
direct_five_class_lightgbm,2,2,Global Position,0.6950354609929078,0.6405228758169934,0.6666666666666666,306
direct_five_class_lightgbm,2,3,Altitude,0.691358024691358,0.34782608695652173,0.4628099173553719,161
direct_five_class_lightgbm,2,4,Mechanical/Electrical,0.4330708661417323,0.15988372093023256,0.23354564755838642,344
direct_five_class_lightgbm,3,0,Normal,0.9652389088552407,0.9799617179088408,0.9725445964797721,16718
direct_five_class_lightgbm,3,1,External Position,0.5847619047619048,0.7025171624713958,0.6382536382536382,437
direct_five_class_lightgbm,3,2,Global Position,0.7283018867924528,0.630718954248366,0.6760070052539404,306
direct_five_class_lightgbm,3,3,Altitude,0.759493670886076,0.37267080745341613,0.5,161
direct_five_class_lightgbm,3,4,Mechanical/Electrical,0.47580645161290325,0.17151162790697674,0.25213675213675213,344
direct_five_class_lightgbm,4,0,Normal,0.9664715274081959,0.9776289029788252,0.9720181985786077,16718
direct_five_class_lightgbm,4,1,External Position,0.5737704918032787,0.7208237986270023,0.6389452332657201,437
direct_five_class_lightgbm,4,2,Global Position,0.7021276595744681,0.6470588235294118,0.673469387755102,306
direct_five_class_lightgbm,4,3,Altitude,0.7349397590361446,0.37888198757763975,0.5,161
direct_five_class_lightgbm,4,4,Mechanical/Electrical,0.41134751773049644,0.1686046511627907,0.23917525773195877,344
