mode,mutation_id,runs,top1,top3,top5,mrr,exam
bidirectional,commander_nav_state_override,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5077519379844961,0.2839506172839506
bidirectional,ekf2_innovation_bias,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6790123456790124,0.17901234567901234
bidirectional,inav_local_z_freeze,3,0.0,0.0,0.0,0.06868022328548644,0.2839506172839506
bidirectional,land_detector_state_inversion,3,0.0,0.0,0.0,0.0353247984826932,0.5802469135802469
consumer_only,commander_nav_state_override,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5095238095238095,0.23456790123456786
consumer_only,ekf2_innovation_bias,3,0.0,0.0,0.0,0.0349349349349349,0.5740740740740741
consumer_only,inav_local_z_freeze,3,0.0,0.0,0.0,0.05179487179487177,0.3950617283950617
consumer_only,land_detector_state_inversion,3,0.0,0.0,0.3333333333333333,0.1312312312312312,0.2962962962962963
producer_only,commander_nav_state_override,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.0679012345679012
producer_only,ekf2_innovation_bias,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6759259259259259,0.23456790123456786
producer_only,inav_local_z_freeze,3,0.0,0.6666666666666666,0.6666666666666666,0.38095238095238093,0.0679012345679012
producer_only,land_detector_state_inversion,3,0.0,0.0,0.0,0.0588779956427015,0.5370370370370371
random_mapping,commander_nav_state_override,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4583333333333333,0.08024691358024687
random_mapping,ekf2_innovation_bias,3,0.0,0.0,0.0,0.035789049919484665,0.5679012345679012
random_mapping,inav_local_z_freeze,3,0.0,0.0,0.0,0.050012597631645235,0.691358024691358
random_mapping,land_detector_state_inversion,3,0.0,0.0,0.0,0.05527065527065523,0.4506172839506173
topic_only,commander_nav_state_override,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.48148148148148145,0.2407407407407407
topic_only,ekf2_innovation_bias,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5476190476190476,0.18518518518518515
topic_only,inav_local_z_freeze,3,0.0,0.6666666666666666,0.6666666666666666,0.3666666666666667,0.25925925925925924
topic_only,land_detector_state_inversion,3,0.0,0.0,0.0,0.09490740740740737,0.7407407407407408
