mode,source_log,runs,top1,top3,top5,mrr,exam
bidirectional,2019-01-18__08_39_38,4,0.25,0.25,0.25,0.2780179008567931,0.4537037037037037
bidirectional,2019-01-25__17_38_05,4,0.25,0.25,0.25,0.2887432887432887,0.35185185185185186
bidirectional,2019-03-06__08_02_26,4,0.25,0.5,0.5,0.4013157894736842,0.18981481481481477
consumer_only,2019-01-18__08_39_38,4,0.0,0.0,0.25,0.07389961389961389,0.4722222222222222
consumer_only,2019-01-25__17_38_05,4,0.25,0.25,0.25,0.288487525987526,0.32870370370370366
consumer_only,2019-03-06__08_02_26,4,0.0,0.25,0.25,0.1832264957264957,0.324074074074074
producer_only,2019-01-18__08_39_38,4,0.25,0.5,0.5,0.41360294117647056,0.20833333333333331
producer_only,2019-01-25__17_38_05,4,0.25,0.5,0.5,0.4131944444444444,0.21759259259259256
producer_only,2019-03-06__08_02_26,4,0.25,0.5,0.5,0.41626984126984123,0.2546296296296296
random_mapping,2019-01-18__08_39_38,4,0.25,0.25,0.25,0.28171296296296294,0.4351851851851852
random_mapping,2019-01-25__17_38_05,4,0.0,0.0,0.25,0.11506410256410254,0.32870370370370366
random_mapping,2019-03-06__08_02_26,4,0.0,0.0,0.0,0.052777161589273376,0.5787037037037037
topic_only,2019-01-18__08_39_38,4,0.0,0.5,0.5,0.2934027777777778,0.4027777777777778
topic_only,2019-01-25__17_38_05,4,0.25,0.5,0.5,0.45238095238095233,0.2222222222222222
topic_only,2019-03-06__08_02_26,4,0.25,0.5,0.5,0.3722222222222222,0.4444444444444444
