mode,metric,estimate,ci_low,ci_high,source_logs,mutation_types,repetitions
bidirectional,top1,0.25,0.0,0.5833333333333334,3,4,5000
bidirectional,top3,0.3333333333333333,0.0,0.75,3,4,5000
bidirectional,top5,0.3333333333333333,0.0,0.75,3,4,5000
bidirectional,mrr,0.32269232635792205,0.04550004550004547,0.6790123456790124,3,4,5000
bidirectional,exam,0.3317901234567901,0.10648148148148147,0.5771604938271604,3,4,5000
consumer_only,top1,0.08333333333333333,0.0,0.3333333333333333,3,4,5000
consumer_only,top3,0.16666666666666666,0.0,0.5,3,4,5000
consumer_only,top5,0.25,0.0,0.5833333333333334,3,4,5000
consumer_only,mrr,0.18187121187121183,0.03492867867867863,0.5095238095238095,3,4,5000
consumer_only,exam,0.37499999999999994,0.16666666666666666,0.5648148148148149,3,4,5000
producer_only,top1,0.25,0.0,0.5833333333333334,3,4,5000
producer_only,top3,0.5,0.16666666666666666,0.8333333333333334,3,4,5000
producer_only,top5,0.5,0.16666666666666666,0.8333333333333334,3,4,5000
producer_only,mrr,0.4143557422969188,0.14325163398692806,0.6904761904761904,3,4,5000
producer_only,exam,0.22685185185185183,0.04629629629629627,0.46141975308641975,3,4,5000
random_mapping,top1,0.08333333333333333,0.0,0.3333333333333333,3,4,5000
random_mapping,top3,0.08333333333333333,0.0,0.3333333333333333,3,4,5000
random_mapping,top5,0.16666666666666666,0.0,0.5,3,4,5000
random_mapping,mrr,0.1498514090387796,0.03055555555555552,0.410042735042735,3,4,5000
random_mapping,exam,0.4475308641975308,0.16203703703703695,0.7391975308641975,3,4,5000
topic_only,top1,0.16666666666666666,0.0,0.5,3,4,5000
topic_only,top3,0.5,0.16666666666666666,0.8333333333333334,3,4,5000
topic_only,top5,0.5,0.16666666666666666,0.8333333333333334,3,4,5000
topic_only,mrr,0.37266865079365075,0.14718171296296298,0.625,3,4,5000
topic_only,exam,0.35648148148148145,0.1481481481481481,0.6576388888888856,3,4,5000
