topic,source_file,line,module,reference_role,parser_role,role_agreement,statement
battery_status,src/drivers/batt_smbus/batt_smbus.cpp,308,src/drivers/batt_smbus,subscriber,subscriber,True,int sub = orb_subscribe(ORB_ID(battery_status));
vehicle_status,src/drivers/blinkm/blinkm.cpp,436,src/drivers/blinkm,subscriber,subscriber,True,vehicle_status_sub_fd = orb_subscribe(ORB_ID(vehicle_status));
battery_status,src/drivers/blinkm/blinkm.cpp,439,src/drivers/blinkm,subscriber,subscriber,True,battery_status_sub_fd = orb_subscribe(ORB_ID(battery_status));
vehicle_local_position,src/drivers/camera_trigger/camera_trigger.cpp,354,src/drivers/camera_trigger,subscriber,subscriber,True,_lpos_sub = orb_subscribe(ORB_ID(vehicle_local_position));
distance_sensor,src/drivers/distance_sensor/hc_sr04/hc_sr04.cpp,273,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_LOW);"
distance_sensor,src/drivers/distance_sensor/hc_sr04/hc_sr04.cpp,592,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/leddar_one/leddar_one.cpp,419,src/drivers/distance_sensor,publisher,publisher,True,"_topic = orb_advertise(ORB_ID(distance_sensor), &report);"
distance_sensor,src/drivers/distance_sensor/leddar_one/leddar_one.cpp,422,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _topic, &report);"
distance_sensor,src/drivers/distance_sensor/ll40ls/LidarLiteI2C.cpp,123,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_LOW);"
distance_sensor,src/drivers/distance_sensor/ll40ls/LidarLiteI2C.cpp,466,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/ll40ls/LidarLitePWM.cpp,110,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_LOW);"
distance_sensor,src/drivers/distance_sensor/ll40ls/LidarLitePWM.cpp,194,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &_range);"
distance_sensor,src/drivers/distance_sensor/mb12xx/mb12xx.cpp,266,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_LOW);"
distance_sensor,src/drivers/distance_sensor/mb12xx/mb12xx.cpp,566,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/sf0x/sf0x.cpp,331,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_HIGH);"
distance_sensor,src/drivers/distance_sensor/sf0x/sf0x.cpp,623,src/drivers/distance_sensor,publisher,publisher,True,"/* publish it */ orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/sf1xx/sf1xx.cpp,295,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_HIGH);"
distance_sensor,src/drivers/distance_sensor/sf1xx/sf1xx.cpp,562,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/srf02/srf02.cpp,266,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_LOW);"
distance_sensor,src/drivers/distance_sensor/srf02/srf02.cpp,569,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/teraranger/teraranger.cpp,365,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_LOW);"
distance_sensor,src/drivers/distance_sensor/teraranger/teraranger.cpp,647,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/tfmini/tfmini.cpp,329,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_HIGH);"
distance_sensor,src/drivers/distance_sensor/tfmini/tfmini.cpp,587,src/drivers/distance_sensor,publisher,publisher,True,"/* publish it */ orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/ulanding/ulanding.cpp,288,src/drivers/distance_sensor,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_HIGH);"
distance_sensor,src/drivers/distance_sensor/ulanding/ulanding.cpp,476,src/drivers/distance_sensor,publisher,publisher,True,"// publish radar data orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &report);"
distance_sensor,src/drivers/distance_sensor/vl53lxx/vl53lxx.cpp,696,src/drivers/distance_sensor,publisher,publisher,True,"orb_publish_auto(ORB_ID(distance_sensor), &_distance_sensor_topic, &report, &_orb_class_instance, ORB_PRIO_DEFAULT);"
actuator_outputs,src/drivers/linux_pwm_out/linux_pwm_out.cpp,390,src/drivers/linux_pwm_out,publisher,publisher,True,"orb_publish(ORB_ID(actuator_outputs), _outputs_pub, &_outputs);"
actuator_outputs,src/drivers/linux_pwm_out/linux_pwm_out.cpp,393,src/drivers/linux_pwm_out,publisher,publisher,True,"_outputs_pub = orb_advertise(ORB_ID(actuator_outputs), &_outputs);"
actuator_controls_0,src/drivers/mkblctrl/mkblctrl.cpp,469,src/drivers/mkblctrl,subscriber,subscriber,True,/* * Subscribe to the appropriate PWM output topic based on whether we are the * primary PWM output or not. */ _t_actuators = orb_subscribe(ORB_ID(actuator_controls_0));
actuator_outputs,src/drivers/mkblctrl/mkblctrl.cpp,484,src/drivers/mkblctrl,publisher,publisher,True,"_t_outputs = orb_advertise_multi(ORB_ID(actuator_outputs), &outputs, &dummy, ORB_PRIO_HIGH);"
actuator_outputs,src/drivers/pwm_out_sim/PWMSim.cpp,165,src/drivers/pwm_out_sim,publisher,publisher,True,"/* advertise the mixed control outputs, insist on the first group output */ _outputs_pub = orb_advertise(ORB_ID(actuator_outputs), &_actuator_outputs);"
actuator_outputs,src/drivers/pwm_out_sim/PWMSim.cpp,293,src/drivers/pwm_out_sim,publisher,publisher,True,"orb_publish(ORB_ID(actuator_outputs), _outputs_pub, &_actuator_outputs);"
distance_sensor,src/drivers/px4flow/px4flow.cpp,256,src/drivers/px4flow,publisher,publisher,True,"_distance_sensor_topic = orb_advertise_multi(ORB_ID(distance_sensor), &ds_report, &_orb_class_instance, ORB_PRIO_HIGH);"
distance_sensor,src/drivers/px4flow/px4flow.cpp,603,src/drivers/px4flow,publisher,publisher,True,"orb_publish(ORB_ID(distance_sensor), _distance_sensor_topic, &distance_report);"
actuator_outputs,src/drivers/px4fmu/fmu.cpp,1383,src/drivers/px4fmu,publisher,publisher,True,"orb_publish_auto(ORB_ID(actuator_outputs), &_outputs_pub, &actuator_outputs, &_class_instance, ORB_PRIO_DEFAULT);"
actuator_controls_0,src/drivers/px4io/px4io.cpp,880,src/drivers/px4io,subscriber,subscriber,True,/* * Subscribe to the appropriate PWM output topic based on whether we are the * primary PWM output or not. */ _t_actuator_controls_0 = orb_subscribe(ORB_ID(actuator_controls_0));
actuator_outputs,src/drivers/px4io/px4io.cpp,1905,src/drivers/px4io,publisher,publisher,True,"orb_publish_auto(ORB_ID(actuator_outputs), &_to_outputs, &outputs, &instance, ORB_PRIO_DEFAULT);"
actuator_outputs,src/drivers/snapdragon_pwm_out/snapdragon_pwm_out.cpp,459,src/drivers/snapdragon_pwm_out,publisher,publisher,True,"orb_publish(ORB_ID(actuator_outputs), _outputs_pub, &_outputs);"
actuator_outputs,src/drivers/snapdragon_pwm_out/snapdragon_pwm_out.cpp,462,src/drivers/snapdragon_pwm_out,publisher,publisher,True,"_outputs_pub = orb_advertise(ORB_ID(actuator_outputs), &_outputs);"
actuator_outputs,src/drivers/tap_esc/tap_esc.cpp,333,src/drivers/tap_esc,publisher,publisher,True,"/* advertise the mixed control outputs, insist on the first group output */ _outputs_pub = orb_advertise(ORB_ID(actuator_outputs), &_outputs);"
actuator_outputs,src/drivers/tap_esc/tap_esc.cpp,580,src/drivers/tap_esc,publisher,publisher,True,"/* and publish for anyone that cares to see */ orb_publish(ORB_ID(actuator_outputs), _outputs_pub, &_outputs);"
