protocol,task,metric,seed,point
fixed_chronological,stage1,auprc,0,0.7523668851991087
fixed_chronological,stage1,auprc,1,0.7498944768615421
fixed_chronological,stage1,auprc,2,0.7579348969122915
fixed_chronological,stage1,auprc,3,0.7476694337927768
fixed_chronological,stage1,auprc,4,0.7532960370019751
fixed_chronological,stage2_anomaly_only,macro_f1,0,0.8981823801062768
fixed_chronological,stage2_anomaly_only,macro_f1,1,0.8974865065008713
fixed_chronological,stage2_anomaly_only,macro_f1,2,0.8950090147506912
fixed_chronological,stage2_anomaly_only,macro_f1,3,0.9003248921142609
fixed_chronological,stage2_anomaly_only,macro_f1,4,0.8989105074816398
fixed_chronological,cascade_five_class,macro_f1,0,0.6855034634538795
fixed_chronological,cascade_five_class,macro_f1,1,0.6905110215073331
fixed_chronological,cascade_five_class,macro_f1,2,0.7020804462420818
fixed_chronological,cascade_five_class,macro_f1,3,0.684417828304775
fixed_chronological,cascade_five_class,macro_f1,4,0.6885347644843969
fixed_chronological,direct_five_class,macro_f1,0,0.6560368217774117
fixed_chronological,direct_five_class,macro_f1,1,0.6610762961419419
fixed_chronological,direct_five_class,macro_f1,2,0.6578027955995497
fixed_chronological,direct_five_class,macro_f1,3,0.6619330462087413
fixed_chronological,direct_five_class,macro_f1,4,0.6626859922216042
purged_14_windows,stage1,auprc,0,0.5936413141323651
purged_14_windows,stage1,auprc,1,0.6104369075068556
purged_14_windows,stage1,auprc,2,0.5997895542694726
purged_14_windows,stage1,auprc,3,0.6012835328156755
purged_14_windows,stage1,auprc,4,0.5980390361498485
purged_14_windows,stage2_anomaly_only,macro_f1,0,0.7982730768623023
purged_14_windows,stage2_anomaly_only,macro_f1,1,0.7888633425376019
purged_14_windows,stage2_anomaly_only,macro_f1,2,0.7901678388651941
purged_14_windows,stage2_anomaly_only,macro_f1,3,0.7947916644248815
purged_14_windows,stage2_anomaly_only,macro_f1,4,0.7999771894153402
purged_14_windows,cascade_five_class,macro_f1,0,0.5443951033845412
purged_14_windows,cascade_five_class,macro_f1,1,0.5866761102001683
purged_14_windows,cascade_five_class,macro_f1,2,0.5555622860778172
purged_14_windows,cascade_five_class,macro_f1,3,0.5752638309542195
purged_14_windows,cascade_five_class,macro_f1,4,0.579769798756236
purged_14_windows,direct_five_class,macro_f1,0,0.5961783738983449
purged_14_windows,direct_five_class,macro_f1,1,0.6047850858550886
purged_14_windows,direct_five_class,macro_f1,2,0.5983718791051484
purged_14_windows,direct_five_class,macro_f1,3,0.6077883984248207
purged_14_windows,direct_five_class,macro_f1,4,0.6047216154662778
leave_log_out,stage1,auprc,0,0.6312783991079385
leave_log_out,stage1,auprc,1,0.6312185430495757
leave_log_out,stage1,auprc,2,0.6297316367356065
leave_log_out,stage1,auprc,3,0.6256472989128359
leave_log_out,stage1,auprc,4,0.6301304897973667
leave_log_out,stage2_anomaly_only,macro_f1,0,0.9062860954189523
leave_log_out,stage2_anomaly_only,macro_f1,1,0.9059283335111866
leave_log_out,stage2_anomaly_only,macro_f1,2,0.9010825067392394
leave_log_out,stage2_anomaly_only,macro_f1,3,0.9007642084619932
leave_log_out,stage2_anomaly_only,macro_f1,4,0.906633363325281
leave_log_out,cascade_five_class,macro_f1,0,0.5921816176179091
leave_log_out,cascade_five_class,macro_f1,1,0.5984547431877104
leave_log_out,cascade_five_class,macro_f1,2,0.5944742123287003
leave_log_out,cascade_five_class,macro_f1,3,0.5922725773620285
leave_log_out,cascade_five_class,macro_f1,4,0.6034668169657129
leave_log_out,direct_five_class,macro_f1,0,0.6037212340965865
leave_log_out,direct_five_class,macro_f1,1,0.6082138802281347
leave_log_out,direct_five_class,macro_f1,2,0.615665949725166
leave_log_out,direct_five_class,macro_f1,3,0.6096459721547238
leave_log_out,direct_five_class,macro_f1,4,0.6087646954448617
alfa_zero_shot,stage1,auprc,0,0.3207789762867632
alfa_zero_shot,stage1,auprc,1,0.3240782382207989
alfa_zero_shot,stage1,auprc,2,0.32716595266405213
alfa_zero_shot,stage1,auprc,3,0.31205171429033746
alfa_zero_shot,stage1,auprc,4,0.3065510667129213
uncategorized_screening,flight_level,auprc,0,0.2806321156590708
uncategorized_screening,flight_level,auprc,1,0.2747416941984474
uncategorized_screening,flight_level,auprc,2,0.2853450905413842
uncategorized_screening,flight_level,auprc,3,0.27455930146839336
uncategorized_screening,flight_level,auprc,4,0.27675411950960027
