source_commit,topic,role,module,source_file,exclusion_reason
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_controls_0,publisher,src/examples/hwtest,src/examples/hwtest/hwtest.c,examples
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_controls_0,publisher,src/examples/uuv_example_app,src/examples/uuv_example_app/uuv_example_app.cpp,examples
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_controls_0,subscriber,src/platforms/posix/drivers/df_bebop_bus_wrapper,src/platforms/posix/drivers/df_bebop_bus_wrapper/df_bebop_bus_wrapper.cpp,posix_platform
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_controls_0,subscriber,src/platforms/posix/drivers/df_ltc2946_wrapper,src/platforms/posix/drivers/df_ltc2946_wrapper/df_ltc2946_wrapper.cpp,posix_platform
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_controls_0,subscriber,src/platforms/qurt/fc_addon/uart_esc,src/platforms/qurt/fc_addon/uart_esc/uart_esc_main.cpp,qurt_platform
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_outputs,publisher,src/drivers/linux_pwm_out,src/drivers/linux_pwm_out/linux_pwm_out.cpp,linux_specific
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_outputs,publisher,src/drivers/pwm_out_sim,src/drivers/pwm_out_sim/PWMSim.cpp,simulation_or_replay
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_outputs,publisher,src/drivers/snapdragon_pwm_out,src/drivers/snapdragon_pwm_out/snapdragon_pwm_out.cpp,snapdragon_specific
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_outputs,publisher,src/platforms/posix/drivers/df_bebop_bus_wrapper,src/platforms/posix/drivers/df_bebop_bus_wrapper/df_bebop_bus_wrapper.cpp,posix_platform
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_outputs,publisher,src/platforms/qurt/fc_addon/uart_esc,src/platforms/qurt/fc_addon/uart_esc/uart_esc_main.cpp,qurt_platform
82aa24adfca29321cfd1209e287eab6c2b16780e,actuator_outputs,subscriber,src/modules/simulator,src/modules/simulator/simulator_mavlink.cpp,simulation_or_replay
82aa24adfca29321cfd1209e287eab6c2b16780e,battery_status,publisher,src/modules/simulator,src/modules/simulator/simulator_mavlink.cpp,simulation_or_replay
82aa24adfca29321cfd1209e287eab6c2b16780e,battery_status,publisher,src/platforms/posix/drivers/df_bebop_bus_wrapper,src/platforms/posix/drivers/df_bebop_bus_wrapper/df_bebop_bus_wrapper.cpp,posix_platform
82aa24adfca29321cfd1209e287eab6c2b16780e,battery_status,publisher,src/platforms/posix/drivers/df_ltc2946_wrapper,src/platforms/posix/drivers/df_ltc2946_wrapper/df_ltc2946_wrapper.cpp,posix_platform
82aa24adfca29321cfd1209e287eab6c2b16780e,distance_sensor,publisher,src/modules/simulator,src/modules/simulator/simulator_mavlink.cpp,simulation_or_replay
82aa24adfca29321cfd1209e287eab6c2b16780e,distance_sensor,publisher,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper/df_bebop_rangefinder_wrapper.cpp,posix_platform
