scope,mode,module,mean_abs_shap,shap_share,rank,seed
all,producer_only,src/modules/mavlink,1.8726778195079574,0.256360436838355,1,0
all,producer_only,src/modules/ekf2,1.6740471393045386,0.22916886794380406,2,0
all,producer_only,src/modules/sensors,0.9163743031432326,0.12544716139317955,3,0
all,producer_only,src/modules/vtol_att_control,0.5938761201806395,0.08129873703389011,4,0
all,producer_only,src/modules/position_estimator_inav,0.5100429087661558,0.06982238030242303,5,0
all,producer_only,src/modules/load_mon,0.4929106889507371,0.0674770631794566,6,0
all,producer_only,src/drivers/mkblctrl,0.13263790745656742,0.018157480984008868,7,0
all,producer_only,src/drivers/px4fmu,0.13263790745656742,0.018157480984008868,7,0
all,producer_only,src/drivers/px4io,0.13263790745656742,0.018157480984008868,7,0
all,producer_only,src/drivers/tap_esc,0.13263790745656742,0.018157480984008868,7,0
all,producer_only,src/modules/uavcan,0.13263790745656742,0.018157480984008868,7,0
all,producer_only,src/modules/attitude_estimator_q,0.12342877558489117,0.016896795859781117,8,0
all,producer_only,src/modules/fw_att_control,0.0748792212170603,0.010250599254902869,9,0
all,producer_only,src/modules/mc_att_control,0.0748792212170603,0.010250599254902869,9,0
all,producer_only,src/drivers/telemetry,0.07372696304577807,0.010092860745340082,10,0
all,producer_only,src/modules/syslink,0.07372696304577807,0.010092860745340082,10,0
all,producer_only,src/modules/gnd_pos_control,0.06448456801778812,0.008827622057656637,11,0
all,producer_only,src/modules/navigator,0.06448456801778812,0.008827622057656637,11,0
all,producer_only,src/modules/commander,0.0152544916785259,0.0020882653223721456,12,0
all,producer_only,src/modules/land_detector,0.00707319749535075,0.0009682861519812921,13,0
all,producer_only,src/drivers/distance_sensor,0.0049031588309718,0.000671218469456768,14,0
all,producer_only,src/drivers/px4flow,0.0049031588309718,0.000671218469456768,14,0
all,consumer_only,src/modules/commander,1.6681903155926003,0.27679670805668755,1,0
all,consumer_only,src/modules/land_detector,0.4064404404972762,0.06743917339598723,2,0
all,consumer_only,src/modules/vtol_att_control,0.30793587171024833,0.05109467114469159,3,0
all,consumer_only,src/modules/mc_att_control,0.2809525231769527,0.046617422969498064,4,0
all,consumer_only,src/modules/events,0.2772173373335569,0.045997657265448515,5,0
all,consumer_only,src/modules/fw_pos_control_l1,0.24472251133233738,0.04060590982395994,6,0
all,consumer_only,src/modules/mc_pos_control,0.24472251133233738,0.04060590982395994,6,0
all,consumer_only,src/drivers/mkblctrl,0.235886555684767,0.03913979207173359,7,0
all,consumer_only,src/drivers/px4io,0.235886555684767,0.03913979207173359,7,0
all,consumer_only,src/modules/sensors,0.235886555684767,0.03913979207173359,7,0
all,consumer_only,src/modules/fw_att_control,0.22535499595373545,0.037392328945371804,8,0
all,consumer_only,src/modules/gnd_att_control,0.22206287474375808,0.03684607933288581,9,0
all,consumer_only,src/drivers/telemetry,0.21129578892590112,0.03505953622572964,10,0
all,consumer_only,src/modules/position_estimator_inav,0.18574241283226947,0.030819558139093227,11,0
all,consumer_only,src/modules/landing_target_estimator,0.13979189195432082,0.023195156538375353,12,0
all,consumer_only,src/modules/wind_estimator,0.13979189195432082,0.023195156538375353,12,0
all,consumer_only,src/drivers/vmount,0.12808752150765873,0.02125309322627587,13,0
all,consumer_only,src/modules/navigator,0.11663498982467865,0.019352816597684067,14,0
all,consumer_only,src/drivers/camera_trigger,0.11334286861470128,0.01880656698519808,15,0
all,consumer_only,src/modules/ekf2,0.10496706990930985,0.01741680138871442,16,0
all,consumer_only,src/modules/gnd_pos_control,0.1016384981680392,0.016864503673098597,17,0
all,consumer_only,src/modules/attitude_estimator_q,0.040741904113391916,0.006760154901475992,18,0
all,consumer_only,src/modules/sdlog2,0.040741904113391916,0.006760154901475992,18,0
all,consumer_only,src/drivers/blinkm,0.030761992858188387,0.0051042247858782905,19,0
all,consumer_only,src/modules/gpio_led,0.030761992858188387,0.0051042247858782905,19,0
all,consumer_only,src/drivers/batt_smbus,0.02949078521831123,0.004893297958953562,20,0
all,consumer_only,src/modules/camera_feedback,0.026449023339619536,0.004388589553177273,21,0
all,consumer_only,src/modules/logger,0.0012712076398771583,0.0002109268269247285,22,0
all,bidirectional,src/modules/ekf2,1.1028850548782936,0.15097957134205864,1,0
all,bidirectional,src/modules/commander,0.9402929017968247,0.12872150059638923,2,0
all,bidirectional,src/modules/mavlink,0.4828546956953492,0.06610044687261524,3,0
all,bidirectional,src/modules/vtol_att_control,0.42216246461587287,0.05779197719878899,4,0
all,bidirectional,src/modules/sensors,0.36843466334459773,0.05043690391240413,5,0
all,bidirectional,src/modules/land_detector,0.29720479024473584,0.040685882570879885,6,0
all,bidirectional,src/drivers/mkblctrl,0.28989561124641205,0.0396852917049976,7,0
all,bidirectional,src/drivers/px4io,0.28989561124641205,0.0396852917049976,7,0
all,bidirectional,src/modules/mc_att_control,0.26933572789184645,0.036870744203438076,8,0
all,bidirectional,src/modules/fw_att_control,0.2420983291608212,0.03314207749724472,9,0
all,bidirectional,src/modules/position_estimator_inav,0.21625448712837428,0.02960418188914683,10,0
all,bidirectional,src/modules/fw_pos_control_l1,0.20042063828458598,0.027436605403677167,11,0
all,bidirectional,src/modules/mc_pos_control,0.20042063828458598,0.027436605403677167,11,0
all,bidirectional,src/modules/events,0.18816220481908966,0.025758485801131624,12,0
all,bidirectional,src/drivers/telemetry,0.17329689688645078,0.02372349783061715,13,0
all,bidirectional,src/modules/gnd_att_control,0.16447386384131774,0.022515667747872937,14,0
all,bidirectional,src/modules/load_mon,0.16430356298357904,0.022492354393152204,15,0
all,bidirectional,src/drivers/px4fmu,0.13263790745656742,0.018157480984008868,16,0
all,bidirectional,src/drivers/tap_esc,0.13263790745656742,0.018157480984008868,16,0
all,bidirectional,src/modules/uavcan,0.13263790745656742,0.018157480984008868,16,0
all,bidirectional,src/modules/navigator,0.13232864300515562,0.01811514419279118,17,0
all,bidirectional,src/modules/gnd_pos_control,0.12000709580998892,0.016428384629254885,18,0
all,bidirectional,src/modules/landing_target_estimator,0.11451662295374708,0.015676765741471445,19,0
all,bidirectional,src/modules/wind_estimator,0.11451662295374708,0.015676765741471445,19,0
all,bidirectional,src/drivers/vmount,0.10494031986102356,0.014365816672404063,20,0
all,bidirectional,src/drivers/camera_trigger,0.09273507432111923,0.01269497823680419,21,0
all,bidirectional,src/modules/attitude_estimator_q,0.056703180729820925,0.0077623881858335415,22,0
all,bidirectional,src/modules/sdlog2,0.034921632097193074,0.004780600681166286,23,0
all,bidirectional,src/drivers/blinkm,0.02385864183551063,0.003266131407979421,24,0
all,bidirectional,src/modules/gpio_led,0.02385864183551063,0.003266131407979421,24,0
all,bidirectional,src/drivers/batt_smbus,0.022685219398700943,0.003105495613950794,25,0
all,bidirectional,src/modules/syslink,0.022685219398700943,0.003105495613950794,25,0
all,bidirectional,src/modules/camera_feedback,0.02178154863262785,0.0029817875046672555,26,0
all,bidirectional,src/drivers/distance_sensor,0.003922527064777441,0.0005369747755654145,27,0
all,bidirectional,src/drivers/px4flow,0.003922527064777441,0.0005369747755654145,27,0
all,bidirectional,src/modules/logger,0.0011734224368096847,0.00016063579402862658,28,0
all,producer_only,src/modules/mavlink,1.907257457456603,0.2544412653254341,1,1
all,producer_only,src/modules/ekf2,1.7561042909739155,0.23427639309623421,2,1
all,producer_only,src/modules/sensors,0.9371424561179971,0.1250212504833128,3,1
all,producer_only,src/modules/vtol_att_control,0.6055389391867152,0.08078306014121045,4,1
all,producer_only,src/modules/position_estimator_inav,0.5159992080331722,0.0688378440391389,5,1
all,producer_only,src/modules/load_mon,0.5073883775219034,0.06768910001288048,6,1
all,producer_only,src/drivers/mkblctrl,0.13486814215913076,0.017992337955685025,7,1
all,producer_only,src/drivers/px4fmu,0.13486814215913076,0.017992337955685025,7,1
all,producer_only,src/drivers/px4io,0.13486814215913076,0.017992337955685025,7,1
all,producer_only,src/drivers/tap_esc,0.13486814215913076,0.017992337955685025,7,1
all,producer_only,src/modules/uavcan,0.13486814215913076,0.017992337955685025,7,1
all,producer_only,src/modules/attitude_estimator_q,0.12250845768681552,0.01634347102171968,8,1
all,producer_only,src/modules/fw_att_control,0.0770197582682444,0.010274965591150178,9,1
all,producer_only,src/modules/mc_att_control,0.0770197582682444,0.010274965591150178,9,1
all,producer_only,src/drivers/telemetry,0.07574228476361583,0.010104541837573214,10,1
all,producer_only,src/modules/syslink,0.07574228476361583,0.010104541837573214,10,1
all,producer_only,src/modules/gnd_pos_control,0.06512735079540488,0.008688436623430157,11,1
all,producer_only,src/modules/navigator,0.06512735079540488,0.008688436623430157,11,1
all,producer_only,src/modules/commander,0.0169271942143041,0.0022582041545877144,12,1
all,producer_only,src/modules/land_detector,0.0072723803848078,0.0009701855718555853,13,1
all,producer_only,src/drivers/distance_sensor,0.00480353141494605,0.0006408241354469344,14,1
all,producer_only,src/drivers/px4flow,0.00480353141494605,0.0006408241354469344,14,1
all,consumer_only,src/modules/commander,1.7432080535280834,0.28181578488949716,1,1
all,consumer_only,src/modules/land_detector,0.41604380407262803,0.067259734691933,2,1
all,consumer_only,src/modules/vtol_att_control,0.31405790341967893,0.05077218085003578,3,1
all,consumer_only,src/modules/events,0.2854017021842567,0.04613947517456157,4,1
all,consumer_only,src/modules/mc_att_control,0.2825967163655194,0.045686007053810596,5,1
all,consumer_only,src/modules/fw_pos_control_l1,0.25034115214213276,0.04047141024749722,6,1
all,consumer_only,src/modules/mc_pos_control,0.25034115214213276,0.04047141024749722,6,1
all,consumer_only,src/drivers/mkblctrl,0.2434179876138243,0.03935217663592939,7,1
all,consumer_only,src/drivers/px4io,0.2434179876138243,0.03935217663592939,7,1
all,consumer_only,src/modules/sensors,0.2434179876138243,0.03935217663592939,7,1
all,consumer_only,src/modules/fw_att_control,0.23109892616894567,0.03736061517935854,8,1
all,consumer_only,src/modules/gnd_att_control,0.22761050368399904,0.036796659248434685,9,1
all,consumer_only,src/drivers/telemetry,0.2139616451253057,0.03459011609956669,10,1
all,consumer_only,src/modules/position_estimator_inav,0.18011418511598482,0.02911816541087114,11,1
all,consumer_only,src/modules/landing_target_estimator,0.14091830303549874,0.022781561899550565,12,1
all,consumer_only,src/modules/wind_estimator,0.14091830303549874,0.022781561899550565,12,1
all,consumer_only,src/drivers/vmount,0.13218623898314785,0.021369892489443067,13,1
all,consumer_only,src/modules/navigator,0.1181549131589849,0.019101517758054153,14,1
all,consumer_only,src/drivers/camera_trigger,0.11466649067403828,0.018537561827130292,15,1
all,consumer_only,src/modules/gnd_pos_control,0.10593442662168738,0.017125892417022795,16,1
all,consumer_only,src/modules/ekf2,0.10377518207580926,0.01677681807949123,17,1
all,consumer_only,src/modules/attitude_estimator_q,0.041335828666501935,0.0066825580435630715,18,1
all,consumer_only,src/modules/sdlog2,0.041335828666501935,0.0066825580435630715,18,1
all,consumer_only,src/drivers/blinkm,0.03170751342330501,0.005125996156453055,19,1
all,consumer_only,src/modules/gpio_led,0.03170751342330501,0.005125996156453055,19,1
all,consumer_only,src/drivers/batt_smbus,0.03029691390544633,0.004897951540960642,20,1
all,consumer_only,src/modules/camera_feedback,0.02625181236146047,0.004244000072420271,21,1
all,consumer_only,src/modules/logger,0.0014105995178586748,0.00022804461549241254,22,1
all,bidirectional,src/modules/ekf2,1.1520306749934643,0.15368881715106394,1,1
all,bidirectional,src/modules/commander,0.9808849557365872,0.13085680084801998,2,1
all,bidirectional,src/modules/mavlink,0.4900530333280755,0.06537644584325858,3,1
all,bidirectional,src/modules/vtol_att_control,0.4300089777443347,0.05736615577032262,4,1
all,bidirectional,src/modules/sensors,0.376028448643863,0.05016478184276886,5,1
all,bidirectional,src/modules/land_detector,0.30393933060662126,0.04054759757754089,6,1
all,bidirectional,src/drivers/mkblctrl,0.29714680056834697,0.039641427342923335,7,1
all,bidirectional,src/drivers/px4io,0.29714680056834697,0.039641427342923335,7,1
all,bidirectional,src/modules/mc_att_control,0.2739233655006361,0.03654326134507673,8,1
all,bidirectional,src/modules/fw_att_control,0.24875164344876255,0.033185180460789734,9,1
all,bidirectional,src/modules/position_estimator_inav,0.21439443147834394,0.028601692032087983,10,1
all,bidirectional,src/modules/fw_pos_control_l1,0.20502897558998076,0.027352275789268608,11,1
