mode,module,rank_before,mean_abs_shap_before,rank_after,mean_abs_shap_after,rank_change_after_minus_before
producer_only,src/drivers/distance_sensor,19,0.0023455930850034,14.0,0.0046911861700068,-5.0
producer_only,src/drivers/linux_pwm_out,14,0.0645596534675499,,,
producer_only,src/drivers/mkblctrl,14,0.0645596534675499,7.0,0.1291193069350999,-7.0
producer_only,src/drivers/pwm_out_sim,14,0.0645596534675499,,,
producer_only,src/drivers/px4flow,19,0.0023455930850034,14.0,0.0046911861700068,-5.0
producer_only,src/drivers/px4fmu,14,0.0645596534675499,7.0,0.1291193069350999,-7.0
producer_only,src/drivers/px4io,14,0.0645596534675499,7.0,0.1291193069350999,-7.0
producer_only,src/drivers/snapdragon_pwm_out,14,0.0645596534675499,,,
producer_only,src/drivers/tap_esc,14,0.0645596534675499,7.0,0.1291193069350999,-7.0
producer_only,src/drivers/telemetry,15,0.0412241368764007,10.0,0.07214223953370136,-5.0
producer_only,src/examples/fixedwing_control,16,0.0348689104488085,,,
producer_only,src/examples/hwtest,7,0.2341433559338407,,,
producer_only,src/examples/px4_simple_app,11,0.0882922397227602,,,
producer_only,src/examples/uuv_example_app,7,0.2341433559338407,,,
producer_only,src/modules/attitude_estimator_q,11,0.0882922397227602,8.0,0.1177229862970137,-3.0
producer_only,src/modules/commander,17,0.0164496871397511,12.0,0.0164496871397511,-5.0
producer_only,src/modules/ekf2,1,1.6406892160461417,2.0,1.6724655557053985,1.0
producer_only,src/modules/fw_att_control,12,0.0727812460819686,9.0,0.07278124608196865,-3.0
producer_only,src/modules/gnd_pos_control,13,0.0649651696936434,11.0,0.06496516969364348,-2.0
producer_only,src/modules/land_detector,18,0.0065205920985197,13.0,0.00652059209851971,-5.0
producer_only,src/modules/load_mon,5,0.4787345765696328,6.0,0.47873457656963286,1.0
producer_only,src/modules/mavlink,2,1.4922115976169033,1.0,1.8561665967036205,-1.0
producer_only,src/modules/mc_att_control,12,0.0727812460819686,9.0,0.07278124608196865,-3.0
producer_only,src/modules/navigator,13,0.0649651696936434,11.0,0.06496516969364348,-2.0
producer_only,src/modules/position_estimator_inav,4,0.5111298423143392,5.0,0.5111298423143392,1.0
producer_only,src/modules/sensors,3,0.7477734933338909,3.0,0.8968698899464475,0.0
producer_only,src/modules/simulator,10,0.0932524755733192,,,
producer_only,src/modules/syslink,15,0.0412241368764007,10.0,0.07214223953370136,-5.0
