mode,k,top_k_overlap,top_k_jaccard,spearman_common_modules,common_modules
producer_only,1,0,0.0,0.8202633085289068,22
producer_only,3,3,1.0,0.8202633085289068,22
producer_only,5,4,0.6666666666666666,0.8202633085289068,22
producer_only,10,6,0.42857142857142855,0.8202633085289068,22
consumer_only,1,1,1.0,0.9643444871091608,28
consumer_only,3,2,0.5,0.9643444871091608,28
consumer_only,5,4,0.6666666666666666,0.9643444871091608,28
consumer_only,10,7,0.5384615384615384,0.9643444871091608,28
bidirectional,1,1,1.0,0.959278350515464,36
bidirectional,3,3,1.0,0.959278350515464,36
bidirectional,5,5,1.0,0.959278350515464,36
bidirectional,10,8,0.6666666666666666,0.959278350515464,36
