seed,scope,predicted_class,windows,flight_logs
0,matching_commit_false_positive,1,158,32
0,matching_commit_false_positive,2,270,36
0,matching_commit_false_positive,3,94,18
0,matching_commit_false_positive,4,131,23
1,matching_commit_false_positive,1,141,30
1,matching_commit_false_positive,2,225,30
1,matching_commit_false_positive,3,92,16
1,matching_commit_false_positive,4,103,15
2,matching_commit_false_positive,1,98,24
2,matching_commit_false_positive,2,163,21
2,matching_commit_false_positive,3,79,14
2,matching_commit_false_positive,4,82,12
3,matching_commit_false_positive,1,115,24
3,matching_commit_false_positive,2,198,26
3,matching_commit_false_positive,3,86,16
3,matching_commit_false_positive,4,78,14
4,matching_commit_false_positive,1,132,29
4,matching_commit_false_positive,2,226,29
4,matching_commit_false_positive,3,91,17
4,matching_commit_false_positive,4,99,14
