seed,scope,windows,flight_logs,tp,tp_flight_logs,fn,fn_flight_logs,fp,fp_flight_logs,tn,tn_flight_logs,recall,precision
0,all_test,34059,1369,2620,219,982,132,1434,217,29023,1179,0.7273736812881733,0.646275283670449
0,matching_commit,14419,561,994,82,399,55,653,88,12373,488,0.7135678391959799,0.6035215543412265
1,all_test,34059,1369,2505,209,1097,142,1174,186,29283,1180,0.6954469739033871,0.6808915466159282
1,matching_commit,14419,561,937,77,456,59,561,77,12465,491,0.6726489590811199,0.6255006675567423
2,all_test,34059,1369,2430,202,1172,144,898,147,29559,1188,0.6746252082176568,0.7301682692307693
2,matching_commit,14419,561,908,73,485,60,422,61,12604,495,0.6518305814788227,0.6827067669172933
3,all_test,34059,1369,2410,204,1192,143,1008,166,29449,1184,0.6690727373681288,0.7050906963136337
3,matching_commit,14419,561,911,74,482,59,477,67,12549,492,0.6539842067480258,0.6563400576368876
4,all_test,34059,1369,2479,205,1123,143,1134,186,29323,1179,0.6882287617990006,0.6861334071408801
4,matching_commit,14419,561,936,77,457,59,548,78,12478,489,0.6719310839913855,0.6307277628032345
