pair_id,source_log,event_maximum,calibration_windows,median,mad,scale,floor_active,calibration_first_s,calibration_last_s
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,24.13831385587069,13,0.7795781487921928,0.10598641495213301,0.1571354588080324,False,15.2,24.8
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,4.241554231885524,13,3.038695454597473,1.7266205452215353,2.559887620345448,False,15.2,24.8
normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,23.293083634226086,13,1.8521366466904299,0.24170562366159798,0.35835275764068514,False,15.2,24.8
normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,24.903730257080106,13,0.9131639600275161,0.25150439884750786,0.37288042173131514,False,15.2,24.8
normal:commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,7.462911471948996,13,0.15273034572601318,0.02006158725488022,0.05,True,15.2,24.8
normal:ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.0,13,4.496907663459885,0.0,0.22484538317299424,True,15.2,24.8
normal:inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,4.506993514715318,13,1.0404396057128906,0.2084145593419473,0.308995425680371,False,15.2,24.8
normal:land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,33.55651899332288,13,0.49819572792174016,0.05814390510558143,0.08620415370953502,False,15.2,24.8
normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,7.449325630050423,13,0.27880191682730765,0.10402626608738852,0.1542293421011622,False,15.2,24.8
normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,30.691756916624588,13,2.1432883941622114,0.5346454720946259,0.7926653769274923,False,15.2,24.8
normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,8.37390283481314,13,0.021396647028111268,0.004099513968233239,0.05,True,15.2,24.8
normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,7.537924164185225,13,1.513632752333737,0.4473479474697575,0.6632380669186624,False,15.2,24.8
