run_id,source_log,condition,mutation_id,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,top1,top3,top5,mrr
commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,commander_nav_state_override,False,False,False,,,0,0,0,0.0
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,ekf2_innovation_bias,False,False,False,,,0,0,0,0.0
inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,inav_local_z_freeze,False,False,False,,,0,0,0,0.0
land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,land_detector_state_inversion,False,False,False,,,0,0,0,0.0
commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,True,True,False,32.0,2.0,1,1,1,1.0
ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,ekf2_innovation_bias,False,False,False,,,0,0,0,0.0
inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,inav_local_z_freeze,True,True,False,44.0,14.0,0,1,1,0.5
land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,land_detector_state_inversion,True,True,False,32.0,2.0,0,1,1,0.5
commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,commander_nav_state_override,False,False,False,,,0,0,0,0.0
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,ekf2_innovation_bias,False,False,False,,,0,0,0,0.0
inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,inav_local_z_freeze,False,False,False,,,0,0,0,0.0
land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,land_detector_state_inversion,True,True,False,40.0,10.0,0,0,0,0.0
commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,commander_nav_state_override,True,True,False,32.0,2.0,1,1,1,1.0
ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,ekf2_innovation_bias,True,True,False,32.8,2.799999999999997,0,0,0,0.0
inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,inav_local_z_freeze,True,True,False,44.0,14.0,0,1,1,0.5
land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,True,True,False,32.0,2.0,0,1,1,0.5
commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,False,False,False,,,0,0,0,0.0
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,False,False,False,,,0,0,0,0.0
inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,False,False,False,,,0,0,0,0.0
land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,False,False,False,,,0,0,0,0.0
commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,True,True,False,32.0,2.0,1,1,1,1.0
ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,True,True,False,96.0,66.0,1,1,1,1.0
inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,True,True,False,44.0,14.0,0,1,1,0.5
land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,True,True,False,32.0,2.0,0,1,1,0.5
