run_id,condition,mutation_id,detected,any_alarm,first_alarm_s,delay_s,median,mad,scale,effective_raw_threshold,raw_sustained_maximum,normalized_sustained_maximum,floor_active
commander_nav_state_override__2018-12-19__07_49_17__fault,fault,commander_nav_state_override,False,False,,,8.424239158630371,2.145977020263672,3.1816255302429197,106.07391653257287,65.4560375213623,17.92536482392933,False
commander_nav_state_override__2018-12-20__07_47_50__fault,fault,commander_nav_state_override,False,False,,,17.440619468688965,3.2218027114868164,4.776644700050354,164.0442374797176,75.37318229675293,12.128296422686255,False
commander_nav_state_override__2018-12-25__08_44_40__fault,fault,commander_nav_state_override,False,False,,,14.271702766418457,2.59865403175354,3.8527644674777983,132.5198132592556,79.52595233917236,16.936994234550866,False
ekf2_innovation_bias__2018-12-19__07_49_17__fault,fault,ekf2_innovation_bias,True,True,38.422598,8.422598,42.20096479216179,7.098462386518328,10.524180334252073,365.20654935774735,738.084282875061,66.12232933885335,False
ekf2_innovation_bias__2018-12-20__07_47_50__fault,fault,ekf2_innovation_bias,False,False,,,208.0933427810669,71.23500347137451,105.61301614665985,3449.5423615858986,879.5560073852539,6.357764308821162,False
ekf2_innovation_bias__2018-12-25__08_44_40__fault,fault,ekf2_innovation_bias,False,False,,,226.67608506357743,0.12599982830192857,11.333804253178872,574.5304501427493,117.53620147705078,0.0,True
inav_local_z_freeze__2018-12-19__07_49_17__fault,fault,inav_local_z_freeze,False,False,,,23.916730880737305,15.35010576248169,22.758066803455353,722.4017851046925,41.621408462524414,0.7779517361773018,False
inav_local_z_freeze__2018-12-20__07_47_50__fault,fault,inav_local_z_freeze,False,False,,,29.061460494995117,0.0,1.4530730247497559,73.65882455271904,52.31889486312866,16.005688614403173,True
inav_local_z_freeze__2018-12-25__08_44_40__fault,fault,inav_local_z_freeze,False,False,,,13.614152669906616,2.6943165063858032,3.9945936523675916,136.21525002906432,79.52595233917236,16.50025144114468,False
land_detector_state_inversion__2018-12-19__07_49_17__fault,fault,land_detector_state_inversion,False,False,,,12.976584434509277,4.3733930587768555,6.483992548942566,211.98170759585958,171.76484525203705,24.489272561459615,False
land_detector_state_inversion__2018-12-20__07_47_50__fault,fault,land_detector_state_inversion,True,True,32.018301,2.018301000000001,6.332235336303711,0.1310276985168457,0.31661176681518555,16.049606720338414,171.76484525203705,522.5093545316672,True
land_detector_state_inversion__2018-12-25__08_44_40__fault,fault,land_detector_state_inversion,True,True,32.024175,2.0241749999999996,14.89969253540039,2.5880050659179688,3.8369763107299804,132.66323675917195,171.76484525203705,40.882491840767514,False
commander_nav_state_override__2018-12-19__07_49_17__baseline,normal,commander_nav_state_override,False,False,,,18.682689666748047,4.578857421875,6.788614013671874,227.0371807751564,122.51686096191406,15.295341742224558,False
commander_nav_state_override__2018-12-20__07_47_50__baseline,normal,commander_nav_state_override,False,False,,,4.082896709442139,1.8939471244812012,2.8079660067558287,90.26430681893707,44.35056686401367,14.34051197831081,False
commander_nav_state_override__2018-12-25__08_44_40__baseline,normal,commander_nav_state_override,False,False,,,14.271702766418457,2.59865403175354,3.8527644674777983,132.5198132592556,79.52595233917236,16.936994234550866,False
ekf2_innovation_bias__2018-12-19__07_49_17__baseline,normal,ekf2_innovation_bias,False,False,,,167.40867137908936,39.038790464401245,57.878910742521285,1943.8141304875642,807.107971906662,11.052372830119824,False
ekf2_innovation_bias__2018-12-20__07_47_50__baseline,normal,ekf2_innovation_bias,False,False,,,186.7775583267212,70.0595474243164,103.8702850112915,3374.7390967537945,797.7896881103516,5.882453578684305,False
ekf2_innovation_bias__2018-12-25__08_44_40__baseline,normal,ekf2_innovation_bias,True,True,139.220496,109.220496,22.71669864654541,0.33954858779907227,1.1358349323272705,57.577468286944736,157.9737663269043,119.08162342148056,True
inav_local_z_freeze__2018-12-19__07_49_17__baseline,normal,inav_local_z_freeze,False,False,,,26.042180061340332,14.991888999938965,22.22697463130951,708.2270824374732,122.13750839233398,4.32336518689463,False
inav_local_z_freeze__2018-12-20__07_47_50__baseline,normal,inav_local_z_freeze,False,False,,,29.061460494995117,0.0,1.4530730247497559,73.65882455271904,51.22225761413574,15.250986524202453,True
inav_local_z_freeze__2018-12-25__08_44_40__baseline,normal,inav_local_z_freeze,False,False,,,10.732401013374329,6.087778210639954,9.025739975094794,287.748218321645,21.332021355628967,1.1743768789598124,False
land_detector_state_inversion__2018-12-19__07_49_17__baseline,normal,land_detector_state_inversion,False,False,,,26.042180061340332,7.332167625427246,10.870671721458434,359.6821940567675,125.06570816040039,9.109237279568482,False
land_detector_state_inversion__2018-12-20__07_47_50__baseline,normal,land_detector_state_inversion,True,True,35.218195,5.2181950000000015,4.918689727783203,0.0,0.24593448638916016,12.466851201454226,14.491291046142578,38.92337938816741,True
land_detector_state_inversion__2018-12-25__08_44_40__baseline,normal,land_detector_state_inversion,False,False,,,14.89969253540039,4.114704132080078,6.100460346221923,202.1335385611511,79.52595233917236,10.593669352149083,False
