dataset,run_id,source_log,status,post30_event_maximum,effective_raw_threshold,detection_windows,observation_end_s,calibration_windows,median,mad,scale,floor_active,calibration_first_s,calibration_last_s
development,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,ok,24.13831385587069,5.602341453510599,47,67.2,13,0.7795781487921928,0.10598641495213301,0.1571354588080324,False,15.2,24.8
development,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,ok,4.241554231885524,81.60614403211653,47,67.2,13,3.038695454597473,1.7266205452215353,2.559887620345448,False,15.2,24.8
development,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,ok,23.293083634226086,12.850612374600423,49,68.8,13,1.8521366466904299,0.24170562366159798,0.35835275764068514,False,15.2,24.8
development,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,ok,24.903730257080106,12.357519222773501,49,68.8,13,0.9131639600275161,0.25150439884750786,0.37288042173131514,False,15.2,24.8
development,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,ok,1309.120750427246,1.5345878458312294,47,67.2,13,0.0,0.0,0.05,True,15.2,24.8
development,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,ok,5.809617258486546,91.51501102647111,47,67.2,13,3.066833894475054,1.9437622398138505,2.8818218967480145,False,15.2,24.8
development,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,ok,145.59609989695178,9.275439182547345,49,68.8,13,0.45747896846688096,0.1937859959593229,0.2873071176092921,False,15.2,24.8
development,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,ok,1428.477897433821,3.7698000036465618,47,67.2,13,0.08106469392804645,0.08106469392804645,0.12018651521772167,False,15.2,24.8
development,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,ok,7.462911471948996,1.6873181915572426,79,92.8,13,0.15273034572601318,0.02006158725488022,0.05,True,15.2,24.8
development,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,ok,0.0,11.397807507630736,79,92.8,13,4.496907663459885,0.0,0.22484538317299424,True,15.2,24.8
