dataset,method,mutation_id,detected,top1,top3,top5,mrr,delay_s
development,channel_gate_fixed_rank,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,2.0237676666666666
development,channel_gate_fixed_rank,ekf2_innovation_bias,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.8215259999999964
development,channel_gate_fixed_rank,inav_local_z_freeze,1.0,0.0,1.0,1.0,0.5,14.290152333333332
development,channel_gate_fixed_rank,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,1.2181636666666655
development,channel_gate_new_rank,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,2.0237676666666666
development,channel_gate_new_rank,ekf2_innovation_bias,1.0,1.0,1.0,1.0,1.0,2.8215259999999964
development,channel_gate_new_rank,inav_local_z_freeze,1.0,0.0,1.0,1.0,0.5,14.290152333333332
development,channel_gate_new_rank,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,1.2181636666666655
development,original_primary,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,2.0237676666666666
development,original_primary,ekf2_innovation_bias,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,66.020044
development,original_primary,inav_local_z_freeze,1.0,0.0,1.0,1.0,0.5,46.556819
development,original_primary,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,1.2181636666666655
transfer,channel_gate_fixed_rank,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,2.0237649999999974
transfer,channel_gate_fixed_rank,ekf2_innovation_bias,1.0,1.0,1.0,1.0,1.0,1.488732666666665
transfer,channel_gate_fixed_rank,inav_local_z_freeze,1.0,0.0,0.0,0.0,0.047619047619047616,15.087687666666662
transfer,channel_gate_fixed_rank,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,1.2228663333333323
transfer,channel_gate_new_rank,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,2.0237649999999974
transfer,channel_gate_new_rank,ekf2_innovation_bias,1.0,1.0,1.0,1.0,1.0,1.488732666666665
transfer,channel_gate_new_rank,inav_local_z_freeze,1.0,0.0,1.0,1.0,0.5,15.087687666666662
transfer,channel_gate_new_rank,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,1.2228663333333323
transfer,original_primary,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,2.0237649999999974
transfer,original_primary,ekf2_innovation_bias,1.0,1.0,1.0,1.0,1.0,2.022065999999999
transfer,original_primary,inav_local_z_freeze,1.0,0.0,0.0,0.0,0.047619047619047616,24.95435433333333
transfer,original_primary,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,0.9561996666666653
