dataset,method,fault_runs,detected,normal_alarms,normal_runs,pre_onset,clean_fault_only,top1,top3,top5,mrr,delay_median_s,delay_max_s,experiment,label
development,channel_gate_fixed_rank,12,12,0,12,0,12,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5833333333333334,2.422220499999998,14.826176999999994,p15_channel_gate,通道校准，原缓存
development,channel_gate_new_rank,12,12,0,12,0,12,0.5,1.0,1.0,0.75,2.422220499999998,14.826176999999994,p15_channel_gate,通道校准，原缓存
development,original_primary,12,10,0,12,0,10,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5833333333333334,2.0249205000000003,66.020044,p15_channel_gate,通道校准，原缓存
transfer,channel_gate_fixed_rank,12,12,8,12,5,4,0.5,0.75,0.75,0.636904761904762,2.023170999999998,15.623047,p15_channel_gate,通道校准，原缓存
transfer,channel_gate_new_rank,12,12,8,12,5,4,0.5,1.0,1.0,0.75,2.023170999999998,15.623047,p15_channel_gate,通道校准，原缓存
transfer,original_primary,12,12,11,12,10,1,0.5,0.75,0.75,0.636904761904762,2.023170999999998,54.818601,p15_channel_gate,通道校准，原缓存
development,channel_gate_fixed_rank,12,12,0,12,0,12,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5833333333333334,11.6229845,14.026572000000002,p15_joint_support,共同采样支持＋通道校准
development,channel_gate_new_rank,12,12,0,12,0,12,0.5,1.0,1.0,0.75,11.6229845,14.026572000000002,p15_joint_support,共同采样支持＋通道校准
development,original_primary,12,10,0,12,0,10,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5833333333333334,12.024589,66.020044,p15_joint_support,共同采样支持＋通道校准
transfer,channel_gate_fixed_rank,12,12,9,12,7,2,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,11.621163500000002,14.821414999999996,p15_joint_support,共同采样支持＋通道校准
transfer,channel_gate_new_rank,12,12,9,12,7,2,0.5,1.0,1.0,0.75,11.621163500000002,14.821414999999996,p15_joint_support,共同采样支持＋通道校准
transfer,original_primary,12,10,3,12,3,7,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,11.623171,107.623047,p15_joint_support,共同采样支持＋通道校准
development,channel_gate_fixed_rank,12,12,1,12,0,11,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5833333333333334,11.6229845,14.026572000000002,p15_reference_bank,双健康参考＋通道证据
development,channel_gate_new_rank,12,12,1,12,0,11,0.5,1.0,1.0,0.75,11.6229845,14.026572000000002,p15_reference_bank,双健康参考＋通道证据
development,original_primary,12,10,1,12,0,9,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5833333333333334,12.024589,66.020044,p15_reference_bank,双健康参考＋通道证据
transfer,channel_gate_fixed_rank,12,12,10,12,3,2,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,11.621163500000002,14.818600999999994,p15_reference_bank,双健康参考＋通道证据
transfer,channel_gate_new_rank,12,12,10,12,3,2,0.5,1.0,1.0,0.75,11.621163500000002,14.818600999999994,p15_reference_bank,双健康参考＋通道证据
transfer,original_primary,12,10,3,12,3,7,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,11.623171,107.623047,p15_reference_bank,双健康参考＋通道证据
