channel,center,scale
actuator_controls_0.control[0],0.35153368186549117,8.548400810110046
actuator_controls_0.control[1],0.3434895304656621,8.23136332991305
actuator_controls_0.control[2],0.651921411728887,4.800308928296118
actuator_controls_0.control[3],0.1992517344378743,16.77348080950744
actuator_outputs.output[0],0.0,1.0
actuator_outputs.output[1],0.0,1.0
actuator_outputs.output[2],0.0,1.0
actuator_outputs.output[3],0.0,1.0
actuator_outputs.output[4],0.0,1.0
actuator_outputs.output[5],0.0,1.0
actuator_outputs.output[6],0.0,1.0
actuator_outputs.output[7],0.0,1.0
battery_status.current_a,0.0,1.0
battery_status.current_filtered_a,0.0,1.0
battery_status.discharged_mah,0.0,1.0
battery_status.remaining,0.0,1.0
battery_status.voltage_filtered_v,0.0,1.0
battery_status.voltage_v,0.0,1.0
cpuload.load,0.0,1.0
cpuload.ram_usage,0.0,1.0
distance_sensor.current_distance,0.0,1.0
ekf2_innovations.hagl_innov,0.0,2.329515665769577
ekf2_innovations.heading_innov,0.0,1.2837567925453186
ekf2_innovations.output_tracking_error[0],0.0,5.051252245903015
ekf2_innovations.output_tracking_error[1],0.0,1.0285492973196455
ekf2_innovations.output_tracking_error[2],0.0,1.854071170091629
ekf2_innovations.vel_pos_innov[3],0.0,1.0
ekf2_innovations.vel_pos_innov[4],0.0,1.0
ekf2_innovations.vel_pos_innov[5],0.0,6.115916967391968
estimator_status.hagl_test_ratio,0.0,8.739500641822815
estimator_status.hgt_test_ratio,0.0,6.3828325271606445
estimator_status.mag_test_ratio,0.0,1.3901335000991821
estimator_status.pos_horiz_accuracy,0.0,1.0
estimator_status.pos_test_ratio,0.0,1.0924833344296805
estimator_status.pos_vert_accuracy,0.0,20.22556781768799
estimator_status.vibe[0],0.0,26.47158145904541
estimator_status.vibe[1],0.0,3.8667590992772216
estimator_status.vibe[2],0.0,6.674671173095703
manual_control_setpoint.r,0.0,1.0
manual_control_setpoint.x,0.0,1.0
manual_control_setpoint.y,0.0,1.0
manual_control_setpoint.z,0.0,1.0
rate_ctrl_status.pitchspeed_integ,0.0,1.0
rate_ctrl_status.rollspeed_integ,0.0,1.0
rate_ctrl_status.yawspeed_integ,0.0,1.0
sensor_combined.accelerometer_m_s2[0],0.0,1.0
sensor_combined.accelerometer_m_s2[1],0.0,1.0
sensor_combined.accelerometer_m_s2[2],0.0,1.0
sensor_combined.gyro_rad[0],0.0,1.0
sensor_combined.gyro_rad[1],0.0,1.0
sensor_combined.gyro_rad[2],0.0,1.0
sensor_preflight.accel_inconsistency_m_s_s,0.0,1.0
sensor_preflight.gyro_inconsistency_rad_s,0.0,1.0
vehicle_attitude.pitchspeed,0.0,1.0
vehicle_attitude.q[0],0.0,1.0
vehicle_attitude.q[1],0.0,1.0
vehicle_attitude.q[2],0.0,1.0
vehicle_attitude.q[3],0.0,1.0
vehicle_attitude.rollspeed,0.0,1.0
vehicle_attitude.yawspeed,0.0,1.0
vehicle_attitude_setpoint.pitch_body,0.0,1.0
vehicle_attitude_setpoint.roll_body,0.0,1.0
vehicle_attitude_setpoint.yaw_body,0.0,1.0
vehicle_land_detected.ground_contact,0.0,1.0
vehicle_land_detected.landed,0.0,1.0
vehicle_land_detected.maybe_landed,0.0,1.0
vehicle_local_position.ax,0.0,1.0
vehicle_local_position.ay,0.0,1.0
vehicle_local_position.az,0.0,1.0
vehicle_local_position.dist_bottom,0.0,1.0
vehicle_local_position.dist_bottom_rate,0.0,1.0
vehicle_local_position.eph,0.0,1.0
vehicle_local_position.epv,0.0,1.0
vehicle_local_position.vx,0.0,2.532491981983185
vehicle_local_position.vy,0.0,2.232024669647217
vehicle_local_position.vz,0.0,5.377557737327087
vehicle_local_position.x,0.0,1.0
vehicle_local_position.y,0.0,1.0
vehicle_local_position.z,0.0,1.0
vehicle_rates_setpoint.pitch,0.0,1.0
vehicle_rates_setpoint.roll,0.0,1.0
vehicle_rates_setpoint.yaw,0.0,1.0
vehicle_status.arming_state,0.0,1.0
vehicle_status.nav_state,0.0,4.572563171386719
vehicle_vision_position.x,0.0,1.0
vehicle_vision_position.y,0.0,1.0
vehicle_vision_position.z,0.0,1.0
