dataset,method,mutation_id,detected,top1,top3,top5,mrr,delay_s
development,channel_gate_fixed_rank,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,11.890434333333333
development,channel_gate_fixed_rank,ekf2_innovation_bias,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.8215259999999964
development,channel_gate_fixed_rank,inav_local_z_freeze,1.0,0.0,1.0,1.0,0.5,14.023485666666666
development,channel_gate_fixed_rank,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,11.618163666666668
development,channel_gate_new_rank,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,11.890434333333333
development,channel_gate_new_rank,ekf2_innovation_bias,1.0,1.0,1.0,1.0,1.0,2.8215259999999964
development,channel_gate_new_rank,inav_local_z_freeze,1.0,0.0,1.0,1.0,0.5,14.023485666666666
development,channel_gate_new_rank,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,11.618163666666668
development,original_primary,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,11.890434333333333
development,original_primary,ekf2_innovation_bias,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,66.020044
development,original_primary,inav_local_z_freeze,1.0,0.0,1.0,1.0,0.5,46.556819
development,original_primary,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,11.618163666666668
transfer,channel_gate_fixed_rank,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,7.890431666666665
transfer,channel_gate_fixed_rank,ekf2_innovation_bias,1.0,1.0,1.0,1.0,1.0,2.0220659999999975
transfer,channel_gate_fixed_rank,inav_local_z_freeze,1.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,13.221020999999995
transfer,channel_gate_fixed_rank,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,11.622866333333334
transfer,channel_gate_new_rank,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,7.890431666666665
transfer,channel_gate_new_rank,ekf2_innovation_bias,1.0,1.0,1.0,1.0,1.0,2.0220659999999975
transfer,channel_gate_new_rank,inav_local_z_freeze,1.0,0.0,1.0,1.0,0.5,13.221020999999995
transfer,channel_gate_new_rank,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,11.622866333333334
transfer,original_primary,commander_nav_state_override,1.0,1.0,1.0,1.0,1.0,11.623764999999999
transfer,original_primary,ekf2_innovation_bias,1.0,1.0,1.0,1.0,1.0,2.022065999999999
transfer,original_primary,inav_local_z_freeze,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,107.62304699999999
transfer,original_primary,land_detector_state_inversion,1.0,0.0,1.0,1.0,0.5,11.622866333333334
