dataset,group,run_id,source,file
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,cache/development_normal_commander_nav_state_override__2019-01-18__08_39_38__baseline.npz
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,cache/development_reference_commander_nav_state_override__2019-01-18__08_39_38__fault.npz
development,normal,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,cache/development_normal_commander_nav_state_override__2019-01-25__17_38_05__baseline.npz
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,cache/development_reference_commander_nav_state_override__2019-01-25__17_38_05__fault.npz
development,normal,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,cache/development_normal_commander_nav_state_override__2019-03-06__08_02_26__baseline.npz
development,reference,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,cache/development_reference_commander_nav_state_override__2019-03-06__08_02_26__fault.npz
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,cache/development_normal_ekf2_innovation_bias__2019-01-18__08_39_38__baseline.npz
development,reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,cache/development_reference_ekf2_innovation_bias__2019-01-18__08_39_38__fault.npz
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,cache/development_normal_ekf2_innovation_bias__2019-01-25__17_38_05__baseline.npz
development,reference,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,cache/development_reference_ekf2_innovation_bias__2019-01-25__17_38_05__fault.npz
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,cache/development_normal_ekf2_innovation_bias__2019-03-06__08_02_26__baseline.npz
development,reference,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,cache/development_reference_ekf2_innovation_bias__2019-03-06__08_02_26__fault.npz
