dataset,run_id,matched_prefix_samples,max_offset_deviation_us,origin_us,anchor_limit
development,commander_nav_state_override__2019-01-18__08_39_38__baseline,256,0,30180,256
development,commander_nav_state_override__2019-01-25__17_38_05__baseline,256,0,20972,256
development,commander_nav_state_override__2019-03-06__08_02_26__baseline,256,0,18443,256
development,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,256,0,24030,256
development,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,256,0,20079,256
development,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,256,0,16492,256
development,inav_local_z_freeze__2019-01-18__08_39_38__baseline,256,0,28545,256
development,inav_local_z_freeze__2019-01-25__17_38_05__baseline,256,0,22564,256
development,inav_local_z_freeze__2019-03-06__08_02_26__baseline,256,0,18462,256
development,land_detector_state_inversion__2019-01-18__08_39_38__baseline,256,0,28546,256
development,land_detector_state_inversion__2019-01-25__17_38_05__baseline,256,0,24201,256
development,land_detector_state_inversion__2019-03-06__08_02_26__baseline,256,0,21697,256
transfer,commander_nav_state_override__2018-12-19__07_49_17__baseline,256,0,21862,256
transfer,commander_nav_state_override__2018-12-20__07_47_50__baseline,256,0,31495,256
transfer,commander_nav_state_override__2018-12-25__08_44_40__baseline,256,0,27624,256
transfer,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,256,0,16114,256
transfer,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,256,0,21943,256
transfer,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,256,0,24283,256
transfer,inav_local_z_freeze__2018-12-19__07_49_17__baseline,256,0,19576,256
transfer,inav_local_z_freeze__2018-12-20__07_47_50__baseline,256,0,30937,256
transfer,inav_local_z_freeze__2018-12-25__08_44_40__baseline,256,0,26934,256
transfer,land_detector_state_inversion__2018-12-19__07_49_17__baseline,256,0,24497,256
transfer,land_detector_state_inversion__2018-12-20__07_47_50__baseline,256,0,36410,256
transfer,land_detector_state_inversion__2018-12-25__08_44_40__baseline,256,0,33338,256
