run_id	condition	mutation_id	ground_truth_module	replay_log	replay_mode	output_ulog	exit_code
commander_nav_state_override__2018-12-19__07_49_17__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/commander_nav_state_override__2018-12-19__07_49_17__baseline.ulg	124
commander_nav_state_override__2018-12-20__07_47_50__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/commander_nav_state_override__2018-12-20__07_47_50__baseline.ulg	124
commander_nav_state_override__2018-12-25__08_44_40__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/commander_nav_state_override__2018-12-25__08_44_40__baseline.ulg	124
commander_nav_state_override__2019-01-18__08_39_38__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/commander_nav_state_override__2019-01-18__08_39_38__baseline.ulg	124
commander_nav_state_override__2019-01-25__17_38_05__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/commander_nav_state_override__2019-01-25__17_38_05__baseline.ulg	124
commander_nav_state_override__2019-03-06__08_02_26__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/commander_nav_state_override__2019-03-06__08_02_26__baseline.ulg	124
ekf2_innovation_bias__2018-12-19__07_49_17__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/ekf2_innovation_bias__2018-12-19__07_49_17__baseline.ulg	124
ekf2_innovation_bias__2018-12-20__07_47_50__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/ekf2_innovation_bias__2018-12-20__07_47_50__baseline.ulg	124
ekf2_innovation_bias__2018-12-25__08_44_40__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/ekf2_innovation_bias__2018-12-25__08_44_40__baseline.ulg	124
ekf2_innovation_bias__2019-01-18__08_39_38__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/ekf2_innovation_bias__2019-01-18__08_39_38__baseline.ulg	124
ekf2_innovation_bias__2019-01-25__17_38_05__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/ekf2_innovation_bias__2019-01-25__17_38_05__baseline.ulg	124
ekf2_innovation_bias__2019-03-06__08_02_26__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/ekf2_innovation_bias__2019-03-06__08_02_26__baseline.ulg	124
inav_local_z_freeze__2018-12-19__07_49_17__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/inav_local_z_freeze__2018-12-19__07_49_17__baseline.ulg	124
inav_local_z_freeze__2018-12-20__07_47_50__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/inav_local_z_freeze__2018-12-20__07_47_50__baseline.ulg	124
inav_local_z_freeze__2018-12-25__08_44_40__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/inav_local_z_freeze__2018-12-25__08_44_40__baseline.ulg	124
inav_local_z_freeze__2019-01-18__08_39_38__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/inav_local_z_freeze__2019-01-18__08_39_38__baseline.ulg	124
inav_local_z_freeze__2019-01-25__17_38_05__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/inav_local_z_freeze__2019-01-25__17_38_05__baseline.ulg	124
inav_local_z_freeze__2019-03-06__08_02_26__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p15-bank-normals-20260907/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/inav_local_z_freeze__2019-03-06__08_02_26__baseline.ulg	124
land_detector_state_inversion__2018-12-19__07_49_17__baseline	baseline	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/land_detector_state_inversion__2018-12-19__07_49_17__baseline.ulg	124
land_detector_state_inversion__2018-12-20__07_47_50__baseline	baseline	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p15-bank-normals-20260907/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p15_reference_bank/healthy_repeats/logs/land_detector_state_inversion__2018-12-20__07_47_50__baseline.ulg	124
