dataset,source_log,run_id,condition,mutation_id,method,detected,any_alarm,pre_onset_alarm,normal_post30_alarm,first_alarm_s,delay_s,observation_end_s,rank,top1,top3,top5,mrr
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,67.227835,,0,0,0,0.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,False,False,False,,,67.227835,,0,0,0,0.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,False,False,False,,,67.227835,,0,0,0,0.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,42.421462,12.421461999999998,67.221462,1.0,1,1,1,1.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,42.421462,12.421461999999998,67.221462,1.0,1,1,1,1.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,42.421462,12.421461999999998,67.221462,1.0,1,1,1,1.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,92.818673,,0,0,0,0.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,False,False,False,,,92.818673,,0,0,0,0.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,False,False,False,,,92.818673,,0,0,0,0.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,41.627716,11.627716,92.827716,1.0,1,1,1,1.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,41.627716,11.627716,92.827716,1.0,1,1,1,1.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,41.627716,11.627716,92.827716,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,96.016821,,0,0,0,0.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,77.61682099999999,47.61682099999999,96.016821,,0,0,0,0.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__baseline,normal,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,77.61682099999999,47.61682099999999,96.016821,,0,0,0,0.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,41.622125000000004,11.622125000000004,96.022125,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,41.622125000000004,11.622125000000004,96.022125,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,41.622125000000004,11.622125000000004,96.022125,1.0,1,1,1,1.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,normal,ekf2_innovation_bias,original_primary,False,False,False,False,,,67.222318,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,normal,ekf2_innovation_bias,channel_gate_fixed_rank,False,False,False,False,,,67.222318,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,normal,ekf2_innovation_bias,channel_gate_new_rank,False,False,False,False,,,67.222318,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,ekf2_innovation_bias,original_primary,False,False,False,False,,,67.22780900000001,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,False,True,32.827808999999995,2.827808999999995,67.22780900000001,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,False,True,32.827808999999995,2.827808999999995,67.22780900000001,1.0,1,1,1,1.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,normal,ekf2_innovation_bias,original_primary,False,False,False,False,,,92.818071,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,normal,ekf2_innovation_bias,channel_gate_fixed_rank,False,False,False,False,,,92.818071,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,normal,ekf2_innovation_bias,channel_gate_new_rank,False,False,False,False,,,92.818071,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,ekf2_innovation_bias,original_primary,False,False,False,False,,,92.81672499999999,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,False,True,32.816725,2.816724999999998,92.81672499999999,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,False,True,32.816725,2.816724999999998,92.81672499999999,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,normal,ekf2_innovation_bias,original_primary,True,True,False,True,96.015492,66.015492,96.015492,,0,0,0,0.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,normal,ekf2_innovation_bias,channel_gate_fixed_rank,False,False,False,False,,,96.015492,,0,0,0,0.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,normal,ekf2_innovation_bias,channel_gate_new_rank,False,False,False,False,,,96.015492,,0,0,0,0.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,ekf2_innovation_bias,original_primary,True,True,False,True,96.020044,66.020044,96.020044,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,False,True,32.820043999999996,2.8200439999999958,96.020044,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,False,True,32.820043999999996,2.8200439999999958,96.020044,1.0,1,1,1,1.0
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__baseline,normal,inav_local_z_freeze,original_primary,False,False,False,False,,,67.226969,,0,0,0,0.0
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__baseline,normal,inav_local_z_freeze,channel_gate_fixed_rank,False,False,False,False,,,67.226969,,0,0,0,0.0
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__baseline,normal,inav_local_z_freeze,channel_gate_new_rank,False,False,False,False,,,67.226969,,0,0,0,0.0
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,inav_local_z_freeze,original_primary,True,True,False,True,62.417708,32.417708,67.217708,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,44.017708,14.017707999999999,67.217708,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,inav_local_z_freeze,channel_gate_new_rank,True,True,False,True,44.017708,14.017707999999999,67.217708,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__baseline,normal,inav_local_z_freeze,original_primary,False,False,False,False,,,92.821529,,0,0,0,0.0
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__baseline,normal,inav_local_z_freeze,channel_gate_fixed_rank,False,False,False,False,,,92.821529,,0,0,0,0.0
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__baseline,normal,inav_local_z_freeze,channel_gate_new_rank,False,False,False,False,,,92.821529,,0,0,0,0.0
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,inav_local_z_freeze,original_primary,True,True,False,True,81.626572,51.626571999999996,92.826572,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,44.026572,14.026572000000002,92.826572,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,inav_local_z_freeze,channel_gate_new_rank,True,True,False,True,44.026572,14.026572000000002,92.826572,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__baseline,normal,inav_local_z_freeze,original_primary,False,False,False,False,,,96.017512,,0,0,0,0.0
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__baseline,normal,inav_local_z_freeze,channel_gate_fixed_rank,False,False,False,False,,,96.017512,,0,0,0,0.0
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__baseline,normal,inav_local_z_freeze,channel_gate_new_rank,False,False,False,False,,,96.017512,,0,0,0,0.0
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,inav_local_z_freeze,original_primary,True,True,False,True,85.626177,55.626177,96.026177,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,44.026177,14.026176999999997,96.026177,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,inav_local_z_freeze,channel_gate_new_rank,True,True,False,True,44.026177,14.026176999999997,96.026177,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__baseline,normal,land_detector_state_inversion,original_primary,False,False,False,False,,,67.224557,,0,0,0,0.0
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__baseline,normal,land_detector_state_inversion,channel_gate_fixed_rank,False,False,False,False,,,67.224557,,0,0,0,0.0
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__baseline,normal,land_detector_state_inversion,channel_gate_new_rank,False,False,False,False,,,67.224557,,0,0,0,0.0
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,land_detector_state_inversion,original_primary,True,True,False,True,41.616906,11.616906,67.21690600000001,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,land_detector_state_inversion,channel_gate_fixed_rank,True,True,False,True,41.616906,11.616906,67.21690600000001,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,land_detector_state_inversion,channel_gate_new_rank,True,True,False,True,41.616906,11.616906,67.21690600000001,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__baseline,normal,land_detector_state_inversion,original_primary,False,False,False,False,,,92.82028799999999,,0,0,0,0.0
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__baseline,normal,land_detector_state_inversion,channel_gate_fixed_rank,False,False,False,False,,,92.82028799999999,,0,0,0,0.0
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__baseline,normal,land_detector_state_inversion,channel_gate_new_rank,False,False,False,False,,,92.82028799999999,,0,0,0,0.0
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,land_detector_state_inversion,original_primary,True,True,False,True,41.623844,11.623843999999998,92.823844,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,land_detector_state_inversion,channel_gate_fixed_rank,True,True,False,True,41.623844,11.623843999999998,92.823844,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,land_detector_state_inversion,channel_gate_new_rank,True,True,False,True,41.623844,11.623843999999998,92.823844,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__baseline,normal,land_detector_state_inversion,original_primary,False,False,False,False,,,96.01795,,0,0,0,0.0
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__baseline,normal,land_detector_state_inversion,channel_gate_fixed_rank,False,False,False,False,,,96.01795,,0,0,0,0.0
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__baseline,normal,land_detector_state_inversion,channel_gate_new_rank,False,False,False,False,,,96.01795,,0,0,0,0.0
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,land_detector_state_inversion,original_primary,True,True,False,True,41.613741000000005,11.613741000000005,96.013741,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,land_detector_state_inversion,channel_gate_fixed_rank,True,True,False,True,41.613741000000005,11.613741000000005,96.013741,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,land_detector_state_inversion,channel_gate_new_rank,True,True,False,True,41.613741000000005,11.613741000000005,96.013741,2.0,0,1,1,0.5
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,86.42034000000001,,0,0,0,0.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,False,False,False,,,86.42034000000001,,0,0,0,0.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,False,False,False,,,86.42034000000001,,0,0,0,0.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,41.624026,11.624026,86.42402600000001,1.0,1,1,1,1.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,41.624026,11.624026,86.42402600000001,1.0,1,1,1,1.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,41.624026,11.624026,86.42402600000001,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,121.629615,,0,0,0,0.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,True,True,True,True,14.429615,2.829614999999997,121.629615,,0,0,0,0.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__baseline,normal,commander_nav_state_override,channel_gate_new_rank,True,True,True,True,14.429615,2.829614999999997,121.629615,,0,0,0,0.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,41.622316,11.622315999999998,121.622316,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,True,True,12.822316,0.4223159999999986,121.622316,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,True,True,12.822316,0.4223159999999986,121.622316,1.0,1,1,1,1.0
transfer,2018-12-25__08_44_40,commander_nav_state_override__2018-12-25__08_44_40__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,140.825018,,0,0,0,0.0
transfer,2018-12-25__08_44_40,commander_nav_state_override__2018-12-25__08_44_40__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,114.42501800000001,84.42501800000001,140.825018,,0,0,0,0.0
