log_key,status,path,rows,positive_rows
00_02_49,ok,D:\UAV\data\processed\p2\aligned_npz\00_02_49.npz,705,0
00_14_08,ok,D:\UAV\data\processed\p2\aligned_npz\00_14_08.npz,471,0
2018-05-24/19_06_07,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-24__19_06_07.npz,245,0
2018-05-24/19_20_57,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-24__19_20_57.npz,2469,0
2018-05-24/19_48_57,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-24__19_48_57.npz,740,0
2018-05-24/19_52_02,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-24__19_52_02.npz,1090,0
2018-05-24/19_55_16,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-24__19_55_16.npz,729,0
2018-05-24/19_57_23,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-24__19_57_23.npz,959,46
2018-05-24/20_01_26,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-24__20_01_26.npz,734,0
2018-05-26/16_18_10,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-26__16_18_10.npz,2007,46
2018-05-26/16_19_20,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-26__16_19_20.npz,1673,94
2018-05-26/16_27_25,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-26__16_27_25.npz,2147,0
2018-05-26/16_38_09,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-26__16_38_09.npz,647,0
2018-05-26/16_45_09,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-26__16_45_09.npz,616,0
2018-05-26/16_48_10,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-26__16_48_10.npz,1055,961
2018-05-26/16_50_01,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-26__16_50_01.npz,315,300
2018-05-26/16_50_55,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-26__16_50_55.npz,796,0
2018-05-30/18_06_12,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-30__18_06_12.npz,677,0
2018-05-30/18_08_19,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-30__18_08_19.npz,1697,0
2018-05-30/18_19_18,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-30__18_19_18.npz,6507,964
2018-05-30/18_39_02,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-30__18_39_02.npz,3886,0
2018-05-31/14_33_03,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-31__14_33_03.npz,17943,0
2018-05-31/15_14_55,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-31__15_14_55.npz,6875,0
2018-05-31/15_27_43,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-31__15_27_43.npz,15285,0
2018-05-31/15_58_30,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-31__15_58_30.npz,5298,0
2018-05-31/16_07_48,ok,D:\UAV\data\processed\p2\aligned_npz\2018-05-31__16_07_48.npz,3884,288
2018-06-02/14_23_25,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__14_23_25.npz,1142,0
2018-06-02/14_25_48,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__14_25_48.npz,1339,0
2018-06-02/14_29_29,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__14_29_29.npz,1301,67
2018-06-02/14_42_50,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__14_42_50.npz,936,22
2018-06-02/14_56_43,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__14_56_43.npz,1116,62
2018-06-02/15_24_48,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__15_24_48.npz,1811,0
2018-06-02/15_27_56,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__15_27_56.npz,297,0
2018-06-02/15_37_07,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__15_37_07.npz,497,0
2018-06-02/15_51_56,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__15_51_56.npz,177,0
2018-06-02/16_13_18,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-02__16_13_18.npz,154,0
2018-06-04/18_01_59,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_01_59.npz,510,49
2018-06-04/18_05_54,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_05_54.npz,1151,29
2018-06-04/18_15_21,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_15_21.npz,381,0
2018-06-04/18_17_58,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_17_58.npz,1260,23
2018-06-04/18_21_53,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_21_53.npz,570,34
2018-06-04/18_25_07,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_25_07.npz,1355,0
2018-06-04/18_33_02,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_33_02.npz,1850,0
2018-06-04/18_36_56,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_36_56.npz,1272,0
2018-06-04/18_48_21,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__18_48_21.npz,1077,0
2018-06-04/19_00_07,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__19_00_07.npz,624,67
2018-06-04/19_02_08,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__19_02_08.npz,1415,0
2018-06-04/19_09_21,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__19_09_21.npz,1302,0
2018-06-04/19_17_29,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-04__19_17_29.npz,1123,0
2018-06-12/18_52_10,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__18_52_10.npz,481,0
