method,seed,accuracy,macro_f1,balanced_accuracy,macro_precision,macro_recall,weighted_f1,macro_ovr_auprc,macro_ovr_auroc,anomaly_only_accuracy,anomaly_only_macro_f1,anomaly_only_balanced_accuracy,anomaly_only_macro_precision,anomaly_only_macro_recall,anomaly_only_weighted_f1,stage1_threshold,stage1_flagged_windows
stage2_lightgbm,0,0.9117157134925041,0.8981823801062768,0.8866618861212897,0.9126733022987462,0.8866618861212897,0.9105921250052692,0.9588738024123366,0.983609515787917,,,,,,,,
stage2_random_forest,0,0.8789561354802887,0.8684984007650431,0.8332583145643531,0.9219269906889315,0.8332583145643531,0.8768389860389096,0.9540839477241859,0.9791320429934396,,,,,,,,
majority,0,0.47390338700721824,0.16076473912224523,0.25,0.11847584675180456,0.25,0.3047478175254554,,,,,,,,,,
stratified_random,0,0.3028872848417546,0.22864921605954086,0.2393971144451478,0.24156991536917843,0.2393971144451478,0.29499254185728796,,,,,,,,,,
hs_aerots_cascade,0,0.9247482310108929,0.6855034634538795,0.6979085566932831,0.684458789784169,0.6979085566932831,0.9262283097731039,,,0.6865630205441421,0.7511587239449588,0.6341563889749204,0.9473445778393104,0.6341563889749204,0.7877766588706504,0.3374776883274057,4054
stage2_lightgbm,1,0.9117157134925041,0.8974865065008713,0.8862512126071194,0.9120765766954745,0.8862512126071194,0.9104425488509483,0.9582101346256511,0.9835444264473168,,,,,,,,
stage2_random_forest,1,0.8847862298722932,0.8751965645009308,0.8420626686249088,0.9235331780422207,0.8420626686249088,0.8830738545273099,0.9535099665371132,0.9794483286111325,,,,,,,,
majority,1,0.47390338700721824,0.16076473912224523,0.25,0.11847584675180456,0.25,0.3047478175254554,,,,,,,,,,
stratified_random,1,0.3084397556912826,0.2294705152004326,0.24025845029691215,0.23736538932064902,0.24025845029691215,0.30081215643691694,,,,,,,,,,
hs_aerots_cascade,1,0.9298276520156199,0.6905110215073331,0.6797167916961683,0.714915511302323,0.6797167916961683,0.9294760118078552,,,0.6624097723486951,0.7358678319546439,0.6092825263769492,0.957192783924433,0.6092825263769492,0.77357217725358,0.4322581929212498,3679
stage2_lightgbm,2,0.9100499722376457,0.8950090147506912,0.8827934413703453,0.9109285783618497,0.8827934413703453,0.908704890368814,0.9575543335193677,0.9834247618905658,,,,,,,,
stage2_random_forest,2,0.8784008883953359,0.8683951557727887,0.832114806583891,0.9229543171818587,0.832114806583891,0.8764382981229264,0.9533816139711632,0.9791906169317038,,,,,,,,
majority,2,0.47390338700721824,0.16076473912224523,0.25,0.11847584675180456,0.25,0.3047478175254554,,,,,,,,,,
stratified_random,2,0.31038312048861744,0.23202953244628316,0.2423053847632857,0.24501524759929294,0.2423053847632857,0.30327017047301613,,,,,,,,,,
hs_aerots_cascade,2,0.9362576705129334,0.7020804462420818,0.667454144152485,0.7609589149123586,0.667454144152485,0.9342844012131089,,,0.6465852304275402,0.7229439538579385,0.5916887278972092,0.9609460488777926,0.5916887278972092,0.7638717181979083,0.5130316340219526,3328
stage2_lightgbm,3,0.9142143253747917,0.9003248921142609,0.8881280763523883,0.9162363543995597,0.8881280763523883,0.9129520667815973,0.9592216991505562,0.9839267682978382,,,,,,,,
stage2_random_forest,3,0.883953359244864,0.8737485947532173,0.8402583379181681,0.9231768940344338,0.8402583379181681,0.8819934809167356,0.9540093271729517,0.9789963202126879,,,,,,,,
majority,3,0.47390338700721824,0.16076473912224523,0.25,0.11847584675180456,0.25,0.3047478175254554,,,,,,,,,,
stratified_random,3,0.31260410882842865,0.23811631923999904,0.25045063994438066,0.24811260552130635,0.25045063994438066,0.3039679112777516,,,,,,,,,,
hs_aerots_cascade,3,0.9322352388502305,0.684417828304775,0.6571998636480734,0.7360310711260736,0.6571998636480734,0.9304168574733337,,,0.6390893947806774,0.7114615650773561,0.579773789569285,0.9587488133505214,0.579773789569285,0.755383476779377,0.5045549101773533,3418
stage2_lightgbm,4,0.9131038312048861,0.8989105074816398,0.8879096099914693,0.913077699837324,0.8879096099914693,0.911879899661689,0.9587763911329236,0.9836555380222005,,,,,,,,
stage2_random_forest,4,0.885341476957246,0.8759412496349828,0.8433497689262586,0.9239809799678141,0.8433497689262586,0.8835806300556277,0.9538462556933481,0.9787380160957716,,,,,,,,
majority,4,0.47390338700721824,0.16076473912224523,0.25,0.11847584675180456,0.25,0.3047478175254554,,,,,,,,,,
stratified_random,4,0.3203775680177679,0.25051450465346736,0.26072460330000913,0.2647230521323527,0.26072460330000913,0.31546400866556124,,,,,,,,,,
hs_aerots_cascade,4,0.9302387034264071,0.6885347644843969,0.6750525560794423,0.7164322525752245,0.6750525560794423,0.9295764143929315,,,0.6551915602443087,0.72985169084954,0.6031239001096452,0.9545268024156914,0.6031239001096452,0.7682534795337138,0.4400677782481817,3613
direct_five_class_lightgbm,0,0.9317948266243871,0.6560368217774117,0.610745325712459,0.73817469127592,0.610745325712459,0.9278756852963747,,,0.5968906163242643,0.662561038355025,0.5205810809183588,0.9716017215786755,0.5205810809183588,0.7229809846473984,,
