scope,k,seeds,windows,consistency_mean,consistency_std,hit_rate_mean,hit_rate_std,weighted_consistency_mean,weighted_consistency_std,random_consistency,random_hit_rate,consistency_lift_mean,hit_rate_lift_mean
Altitude,1,5,571,0.2287215411558669,0.008895569246374992,0.2287215411558669,0.008895569246374992,0.21536437804785108,0.0015439335468475255,0.16091954022988508,0.16091954022988508,0.0678020009259818,0.0678020009259818
Altitude,3,5,571,0.21272621132516054,0.007562033818896111,0.5506129597197899,0.02628720957773559,0.21536437804785108,0.0015439335468475255,0.16091954022988508,0.41321760460399076,0.05180667109527546,0.1373953551157991
Altitude,5,5,571,0.26185639229422064,0.008962893226794793,0.8493870402802102,0.01751313485113838,0.21536437804785108,0.0015439335468475255,0.16091954022988508,0.5934941236714394,0.10093685206433559,0.2558929166087708
Altitude,10,5,571,0.24647985989492122,0.0022550498918136336,0.9915936952714535,0.0053119968084424166,0.21536437804785108,0.0015439335468475255,0.16091954022988508,0.8446979253764334,0.0855603196650361,0.14689576989502018
External Position,1,5,1707,0.03632103104862332,0.007138873817782041,0.03632103104862332,0.007138873817782041,0.060403671273571526,0.004263945173246675,0.03448275862068966,0.03448275862068961,0.0018382724279336544,0.001838272427933703
External Position,3,5,1707,0.09291154071470416,0.019921526194618146,0.2781487990626831,0.05944935401285857,0.060403671273571526,0.004263945173246675,0.03448275862068966,0.10105193641209488,0.058428782094014496,0.17709686265058822
External Position,5,5,1707,0.10301113063854717,0.011052480501784067,0.504042179261863,0.046883417912775865,0.060403671273571526,0.004263945173246675,0.03448275862068966,0.16448889098542385,0.0685283720178575,0.33955328827643905
External Position,10,5,1707,0.08093731693028705,0.005347477032355136,0.6967779730521382,0.034765527507254944,0.060403671273571526,0.004263945173246675,0.03448275862068966,0.3098731072220388,0.046454558309597396,0.3869048658300994
Global Position,1,5,641,0.8452418096723869,0.041852145050893914,0.8452418096723869,0.041852145050893914,0.5042910076229289,0.01126241367301528,0.19540229885057478,0.1954022988505747,0.6498395108218121,0.6498395108218122
Global Position,3,5,641,0.7127405096203848,0.06149957796437036,0.9581903276131045,0.003000839947218645,0.5042910076229289,0.01126241367301528,0.19540229885057478,0.483560545308741,0.51733821076981,0.47462978230436353
Global Position,5,5,641,0.5788455538221529,0.005071522689118022,0.9890795631825273,0.0015600624024960652,0.5042910076229289,0.01126241367301528,0.19540229885057478,0.6724476092018435,0.3834432549715781,0.3166319539806838
Global Position,10,5,641,0.43201248049922,0.003161581065162438,1.0,0.0,0.5042910076229289,0.01126241367301528,0.19540229885057478,0.9008424868902108,0.23661018164864517,0.09915751310978915
Mechanical/Electrical,1,5,683,0.8787701317715959,0.002405809183770847,0.8787701317715959,0.002405809183770847,0.7728459314674805,0.004037021767527769,0.49425287356321845,0.49425287356321845,0.38451725820837745,0.38451725820837745
Mechanical/Electrical,3,5,683,0.8940946803318692,0.005774602033284115,0.9487554904831625,0.011667187006229273,0.7728459314674805,0.004037021767527769,0.49425287356321845,0.875050709939148,0.3998418067686507,0.0737047805440145
Mechanical/Electrical,5,5,683,0.8463836017569546,0.01396781985993787,0.990922401171303,0.0028163080617380986,0.7728459314674805,0.004037021767527769,0.49425287356321845,0.9706086007315265,0.35213072819373614,0.02031380043977653
Mechanical/Electrical,10,5,683,0.7676720351390922,0.00816269885361905,1.0,0.0,0.7728459314674805,0.004037021767527769,0.49425287356321845,0.9993798022546388,0.27341916157587376,0.0006201977453611507
all,1,5,3602,0.37051637978900615,0.010948720709684024,0.37051637978900615,0.010948720709684024,0.29905231366127044,0.0037891588718986526,0.17034278529807834,0.1703427852980783,0.2001735944909278,0.2001735944909278
all,3,5,3602,0.37412548584119937,0.017470858326778135,0.5695169350360911,0.03119258334658855,0.29905231366127044,0.0037891588718986526,0.17034278529807834,0.3653705863730332,0.20378270054312103,0.20414634866305786
all,5,5,3602,0.3538256524153248,0.006065245287584768,0.737423653525819,0.024366428559727548,0.29905231366127044,0.0037891588718986526,0.17034278529807834,0.4757446622227997,0.18348286711724646,0.2616789913030193
all,10,5,3602,0.2998722931704608,0.0028062371143953795,0.8549694614103276,0.016681224882378984,0.29905231366127044,0.0037891588718986526,0.17034278529807834,0.6305642277774868,0.12952950787238252,0.22440523363284087
correct_predictions,1,5,3284,0.39311876812248076,0.012139610028210922,0.39311876812248076,0.012139610028210922,0.30670944243467735,0.00408841845932211,0.16318058997297943,0.16318058997297938,0.2301646424301647,0.23016464243016474
correct_predictions,3,5,3284,0.39454195525129104,0.019852826386511344,0.5849143004930826,0.03410401094025705,0.30670944243467735,0.00408841845932211,0.16318058997297943,0.3515840352591724,0.23158782955897497,0.233719921178119
correct_predictions,5,5,3284,0.3695968543769572,0.006344143764764723,0.7468299218182156,0.025323333866023905,0.30670944243467735,0.00408841845932211,0.16318058997297943,0.45956266022771664,0.20664272868464115,0.2876895478193257
correct_predictions,10,5,3284,0.3058045033087621,0.002860395457625544,0.858839239151075,0.01718866224386332,0.30670944243467735,0.00408841845932211,0.16318058997297943,0.6137353028512805,0.14285037761644598,0.2455137257310449
