scope,level,name,mean_abs_shap,std_abs_shap,seeds,scope_windows,channel,topic,subsystem,feature_count,mean_abs_shap_per_feature,shap_share,rank
Altitude,channel,ekf2_innovations.vel_pos_innov[5],0.5206378136940623,0.029198728261000634,5,571,ekf2_innovations.vel_pos_innov[5],ekf2_innovations,Shared,18,0.02892432298300346,0.07265763611607534,1
Altitude,channel,actuator_controls_0.control[1],0.46862644952849364,0.02304212197449672,5,571,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,18,0.02603480275158298,0.06539918758996964,2
Altitude,channel,estimator_status.pos_vert_accuracy,0.467595725905457,0.013315565913918826,5,571,estimator_status.pos_vert_accuracy,estimator_status,Altitude,18,0.025977540328080945,0.06525534490323223,3
Altitude,channel,estimator_status.mag_test_ratio,0.4665497570150564,0.01458370844811226,5,571,estimator_status.mag_test_ratio,estimator_status,Shared,18,0.025919430945280913,0.06510937466244578,4
Altitude,channel,estimator_status.pos_horiz_accuracy,0.45749226712030044,0.02904637886979513,5,571,estimator_status.pos_horiz_accuracy,estimator_status,Global Position,18,0.025416237062238913,0.06384535620741108,5
Altitude,channel,estimator_status.hgt_test_ratio,0.4073589067197352,0.030748928315850986,5,571,estimator_status.hgt_test_ratio,estimator_status,Altitude,18,0.022631050373318622,0.056848992590609354,6
Altitude,channel,vehicle_local_position.eph,0.3814998175183151,0.013117757222238999,5,571,vehicle_local_position.eph,vehicle_local_position,Global Position,18,0.02119443430657306,0.05324022610444327,7
Altitude,channel,ekf2_innovations.vel_pos_innov[3],0.34290956945425716,0.02720623756481231,5,571,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,18,0.01905053163634762,0.04785476210678785,8
Altitude,channel,ekf2_innovations.output_tracking_error[0],0.20278652390647772,0.01726314632103797,5,571,ekf2_innovations.output_tracking_error[0],ekf2_innovations,Shared,18,0.011265917994804317,0.028299883480800484,9
Altitude,channel,vehicle_rates_setpoint.pitch,0.2025790628068393,0.01166720946453092,5,571,vehicle_rates_setpoint.pitch,vehicle_rates_setpoint,Mechanical/Electrical,18,0.011254392378157738,0.028270931236669735,10
Altitude,channel,ekf2_innovations.vel_pos_innov[4],0.19710054868662513,0.009559649382703409,5,571,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,18,0.010950030482590285,0.02750637692475952,11
Altitude,channel,sensor_preflight.gyro_inconsistency_rad_s,0.1721913924439608,0.012935670091045782,5,571,sensor_preflight.gyro_inconsistency_rad_s,sensor_preflight,Mechanical/Electrical,18,0.009566188469108934,0.0240301783801385,12
Altitude,channel,estimator_status.vibe[1],0.13388842259299555,0.017570523399503605,5,571,estimator_status.vibe[1],estimator_status,Mechanical/Electrical,18,0.007438245699610864,0.018684805507871886,13
Altitude,channel,manual_control_setpoint.y,0.1308926892477782,0.00342289169493391,5,571,manual_control_setpoint.y,manual_control_setpoint,Global Position,18,0.007271816069321011,0.018266735791127305,14
Altitude,channel,vehicle_local_position.ay,0.12205289528600205,0.019140221486349175,5,571,vehicle_local_position.ay,vehicle_local_position,Shared,18,0.006780716404777892,0.017033097902901945,15
Altitude,channel,estimator_status.hagl_test_ratio,0.1220503130637725,0.0034611274988287483,5,571,estimator_status.hagl_test_ratio,estimator_status,Altitude,18,0.006780572947987361,0.017032737540749618,16
Altitude,channel,actuator_controls_0.control[3],0.11719799059495524,0.014947696516770088,5,571,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,18,0.006510999477497514,0.016355571436052596,17
Altitude,channel,vehicle_local_position.dist_bottom_rate,0.1059190586385856,0.007443962814350949,5,571,vehicle_local_position.dist_bottom_rate,vehicle_local_position,Altitude,18,0.0058843921465880885,0.014781539523062437,18
Altitude,channel,actuator_controls_0.control[2],0.1055152768155961,0.008572686448944836,5,571,actuator_controls_0.control[2],actuator_controls_0,Mechanical/Electrical,18,0.005861959823088672,0.014725189730570614,19
Altitude,channel,actuator_outputs.output[2],0.09564655106065394,0.0032798240473085618,5,571,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,18,0.005313697281147441,0.013347959214515023,20
Altitude,channel,manual_control_setpoint.z,0.09157565288360807,0.0034504820706281487,5,571,manual_control_setpoint.z,manual_control_setpoint,Altitude,18,0.005087536271311559,0.012779844815918534,21
Altitude,channel,estimator_status.pos_test_ratio,0.0830715347547629,0.0030324590680148454,5,571,estimator_status.pos_test_ratio,estimator_status,Global Position,18,0.004615085264153494,0.01159305218533785,22
Altitude,channel,distance_sensor.current_distance,0.07391963535920885,0.003179277668691839,5,571,distance_sensor.current_distance,distance_sensor,Altitude,18,0.0041066464088449365,0.010315858407699876,23
Altitude,channel,vehicle_local_position.dist_bottom,0.06852961900331218,0.012477282568216804,5,571,vehicle_local_position.dist_bottom,vehicle_local_position,Altitude,18,0.003807201055739566,0.009563654405712878,24
Altitude,channel,vehicle_vision_position.y,0.06799017797148173,0.004273940279082627,5,571,vehicle_vision_position.y,vehicle_vision_position,External Position,18,0.003777232109526763,0.009488372685549829,25
Altitude,channel,vehicle_local_position.z,0.06483362861889472,0.00756637307380839,5,571,vehicle_local_position.z,vehicle_local_position,Altitude,18,0.003601868256605262,0.009047860282857792,26
Altitude,channel,vehicle_attitude_setpoint.yaw_body,0.06353779940964714,0.0058076174941751905,5,571,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,18,0.0035298777449803967,0.008867020772784447,27
Altitude,channel,sensor_preflight.accel_inconsistency_m_s_s,0.06313342071407817,0.0069010709783045975,5,571,sensor_preflight.accel_inconsistency_m_s_s,sensor_preflight,Mechanical/Electrical,18,0.0035074122618932316,0.008810587683709958,28
Altitude,channel,rate_ctrl_status.rollspeed_integ,0.06292942757828213,0.0048027376918758444,5,571,rate_ctrl_status.rollspeed_integ,rate_ctrl_status,Mechanical/Electrical,18,0.0034960793099045625,0.008782119411446593,29
Altitude,channel,rate_ctrl_status.pitchspeed_integ,0.06170934888109618,0.0025059954859443377,5,571,rate_ctrl_status.pitchspeed_integ,rate_ctrl_status,Mechanical/Electrical,18,0.003428297160060899,0.008611851267870677,30
Altitude,channel,vehicle_local_position.epv,0.059274797759510535,0.004829937893397256,5,571,vehicle_local_position.epv,vehicle_local_position,Global Position,18,0.0032930443199728075,0.00827209736439778,31
