seed,scope,level,rank,name,mean_abs_shap,scope_windows,channel,topic,subsystem,feature_count
0,all,channel,1,vehicle_local_position.eph,0.6856284354166224,3602,vehicle_local_position.eph,vehicle_local_position,Global Position,18
0,all,channel,2,actuator_controls_0.control[3],0.5136193140880569,3602,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,18
0,all,channel,3,estimator_status.pos_horiz_accuracy,0.3731377889942381,3602,estimator_status.pos_horiz_accuracy,estimator_status,Global Position,18
0,all,channel,4,manual_control_setpoint.x,0.2710177345936231,3602,manual_control_setpoint.x,manual_control_setpoint,Global Position,18
0,all,channel,5,actuator_controls_0.control[1],0.2649546154070679,3602,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,18
0,all,channel,6,cpuload.ram_usage,0.2616453507467981,3602,cpuload.ram_usage,cpuload,Mechanical/Electrical,18
0,all,channel,7,actuator_outputs.output[2],0.2613250801763257,3602,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,18
0,all,channel,8,vehicle_attitude.q[2],0.23197234484493515,3602,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,18
0,all,channel,9,ekf2_innovations.vel_pos_innov[5],0.16876618027833482,3602,ekf2_innovations.vel_pos_innov[5],ekf2_innovations,Shared,18
0,all,channel,10,estimator_status.pos_vert_accuracy,0.15476044622755125,3602,estimator_status.pos_vert_accuracy,estimator_status,Altitude,18
0,all,channel,11,manual_control_setpoint.z,0.1421484081756104,3602,manual_control_setpoint.z,manual_control_setpoint,Altitude,18
0,all,channel,12,estimator_status.mag_test_ratio,0.14181298495268652,3602,estimator_status.mag_test_ratio,estimator_status,Shared,18
0,all,channel,13,manual_control_setpoint.y,0.1352067778146525,3602,manual_control_setpoint.y,manual_control_setpoint,Global Position,18
0,all,channel,14,estimator_status.hgt_test_ratio,0.13149714254014336,3602,estimator_status.hgt_test_ratio,estimator_status,Altitude,18
0,all,channel,15,vehicle_vision_position.y,0.12679817272125452,3602,vehicle_vision_position.y,vehicle_vision_position,External Position,18
0,all,channel,16,ekf2_innovations.vel_pos_innov[3],0.12664407640196973,3602,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,18
0,all,channel,17,vehicle_attitude_setpoint.yaw_body,0.10391847902068344,3602,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,18
0,all,channel,18,sensor_combined.accelerometer_m_s2[0],0.10157093034365682,3602,sensor_combined.accelerometer_m_s2[0],sensor_combined,Mechanical/Electrical,18
0,all,channel,19,ekf2_innovations.output_tracking_error[0],0.09706344758467272,3602,ekf2_innovations.output_tracking_error[0],ekf2_innovations,Shared,18
