scope,level,name,mean_abs_shap,std_abs_shap,seeds,scope_windows,subsystem,feature_count,mean_abs_shap_per_feature,shap_share,rank
Altitude,subsystem,Mechanical/Electrical,2.170422509509222,0.12351117761768889,5,571,Mechanical/Electrical,774,0.0028041634489783234,0.30289342181113005,1
Altitude,subsystem,Global Position,1.9465018323103773,0.10164732122620863,5,571,Global Position,306,0.006361117099053521,0.2716441605111447,2
Altitude,subsystem,Altitude,1.5429067674613859,0.08257570910753884,5,571,Altitude,252,0.0061226459026245475,0.2153204310609565,3
Altitude,subsystem,Shared,1.3820574805919947,0.07547709833619445,5,571,Shared,180,0.0076780971143999704,0.19287310079125403,4
Altitude,subsystem,External Position,0.12374246454653356,0.007532310637233243,5,571,External Position,54,0.002291527121232103,0.017268885825514765,5
External Position,subsystem,Mechanical/Electrical,2.5247643583341843,0.15913936056274355,5,1707,Mechanical/Electrical,774,0.0032619694552121245,0.393485278041147,1
External Position,subsystem,Global Position,2.2542741629292626,0.10536057706488593,5,1707,Global Position,306,0.007366909029180597,0.35132930043675237,2
External Position,subsystem,Altitude,0.9385070310757563,0.06330446715475266,5,1707,Altitude,252,0.00372423425030062,0.1462666006225106,3
External Position,subsystem,External Position,0.3802422185344509,0.021216807113279283,5,1707,External Position,54,0.0070415225654527945,0.05926086313327422,4
External Position,subsystem,Shared,0.31862600425662574,0.023520485372464754,5,1707,Shared,180,0.0017701444680923652,0.0496579577663157,5
Global Position,subsystem,Global Position,3.636788822538614,0.10901233013932116,5,641,Global Position,306,0.01188493079260985,0.5043943792385909,1
Global Position,subsystem,Mechanical/Electrical,2.662259726302163,0.139980544695006,5,641,Mechanical/Electrical,774,0.0034396120494859985,0.3692347583390162,2
Global Position,subsystem,Shared,0.5766667231755962,0.050788803396659594,5,641,Shared,180,0.003203704017642201,0.07997919814895132,3
Global Position,subsystem,Altitude,0.28796539849934966,0.05600706604133274,5,641,Altitude,252,0.0011427198353148795,0.039938565450408615,4
Global Position,subsystem,External Position,0.046528190313640506,0.0057334304999241996,5,641,External Position,54,0.0008616331539563057,0.00645309882303306,5
Mechanical/Electrical,subsystem,Mechanical/Electrical,5.833845628922371,0.29611026842574617,5,683,Mechanical/Electrical,774,0.007537268254421668,0.778118702310515,1
Mechanical/Electrical,subsystem,Global Position,0.8003243581670011,0.026674055605854466,5,683,Global Position,306,0.0026154390789771276,0.10674731397022529,2
Mechanical/Electrical,subsystem,Altitude,0.5049401801790607,0.04593103395733367,5,683,Altitude,252,0.0020037308737264315,0.06734895345832892,3
Mechanical/Electrical,subsystem,Shared,0.3171261487353604,0.023468529739955023,5,683,Shared,180,0.0017618119374186688,0.042298305957792694,4
Mechanical/Electrical,subsystem,External Position,0.04113601497807302,0.006572359616634831,5,683,External Position,54,0.0007617780551495003,0.005486724303138056,5
all,subsystem,Mechanical/Electrical,3.1205188955357785,0.17332118498178856,5,3602,Mechanical/Electrical,774,0.004031678159606949,0.453470784467537,1
all,subsystem,Global Position,2.1758194653650142,0.08780785728652574,5,3602,Global Position,306,0.007110521128643838,0.316187977977106,2
all,subsystem,Altitude,0.8363384868870494,0.06122266986154283,5,3602,Altitude,252,0.0033188035193930533,0.12153589913255336,3
all,subsystem,Shared,0.5328400721337858,0.03219114962072177,5,3602,Shared,180,0.0029602226229654767,0.07743180336190868,4
all,subsystem,External Position,0.21589419281383854,0.01224798966566525,5,3602,External Position,54,0.003998040607663677,0.031373535060894985,5
