scope,level,name,mean_abs_shap,std_abs_shap,seeds,scope_windows,topic,feature_count,mean_abs_shap_per_feature,shap_share,rank
Altitude,topic,estimator_status,2.1752172877344873,0.10056722587482206,5,571,estimator_status,162,0.013427267208237576,0.3035625573260416,1
Altitude,topic,ekf2_innovations,1.3561380356054915,0.091742416191395,5,571,ekf2_innovations,144,0.009417625247260357,0.18925591135048356,2
Altitude,topic,vehicle_local_position,0.9778975144969779,0.06805289682325466,5,571,vehicle_local_position,234,0.004179049207252043,0.13647053651943808,3
Altitude,topic,actuator_controls_0,0.7185649998204934,0.043561848329602276,5,571,actuator_controls_0,72,0.009980069441951296,0.1002793744700695,4
Altitude,topic,manual_control_setpoint,0.27569088675263403,0.006130932743904939,5,571,manual_control_setpoint,72,0.0038290400937865837,0.03847405548218917,5
Altitude,topic,vehicle_rates_setpoint,0.25963025051396904,0.013338579196638105,5,571,vehicle_rates_setpoint,54,0.0048079676021105374,0.03623271258905216,6
Altitude,topic,sensor_preflight,0.235324813158039,0.018780315551487597,5,571,sensor_preflight,36,0.006536800365501083,0.032840766063848455,7
Altitude,topic,actuator_outputs,0.19625378410952324,0.004966913303505261,5,571,actuator_outputs,144,0.001362873500760578,0.027388206651873415,8
Altitude,topic,rate_ctrl_status,0.15479230987828912,0.008566324956920114,5,571,rate_ctrl_status,54,0.002866524257005354,0.0216020485429289,9
Altitude,topic,battery_status,0.15312313791874138,0.009707645305061512,5,571,battery_status,108,0.0014178068325809386,0.0213691071666745,10
Altitude,topic,sensor_combined,0.12659524736063882,0.016509898504295743,5,571,sensor_combined,108,0.0011721782163022112,0.01766700607374409,11
Altitude,topic,vehicle_vision_position,0.12374246454653356,0.007532310637233243,5,571,vehicle_vision_position,54,0.002291527121232103,0.017268885825514765,12
Altitude,topic,vehicle_attitude,0.11988271669951003,0.012033201871423644,5,571,vehicle_attitude,126,0.0009514501325357939,0.016730238521779673,13
Altitude,topic,vehicle_attitude_setpoint,0.09926863666304789,0.010546660234875025,5,571,vehicle_attitude_setpoint,54,0.0018383080863527386,0.013853439551820411,14
Altitude,topic,cpuload,0.08399164262163518,0.003587857664917793,5,571,cpuload,36,0.0023331011839343107,0.011721457884694194,15
Altitude,topic,distance_sensor,0.07391963535920885,0.003179277668691839,5,571,distance_sensor,18,0.0041066464088449365,0.010315858407699875,16
Altitude,topic,vehicle_status,0.027492912796614144,0.004730919366561457,5,571,vehicle_status,36,0.0007636920221281707,0.0038367748196660874,17
Altitude,topic,vehicle_land_detected,0.008104778383679057,0.0016488859825566097,5,571,vehicle_land_detected,54,0.0001500884885866492,0.001131062752481557,18
External Position,topic,vehicle_local_position,1.7131557714055918,0.06931009449198205,5,1707,vehicle_local_position,234,0.007321178510280307,0.26699583777556607,1
External Position,topic,estimator_status,0.7977669286788623,0.05304883889227176,5,1707,estimator_status,162,0.004924487214067051,0.12433221370027127,2
External Position,topic,actuator_outputs,0.650617402595285,0.028213352568699945,5,1707,actuator_outputs,144,0.004518176406911701,0.10139891618540058,3
External Position,topic,actuator_controls_0,0.5923629379680679,0.03533707272114342,5,1707,actuator_controls_0,72,0.008227263027334277,0.09231994050384328,4
External Position,topic,ekf2_innovations,0.48975863252861374,0.041200771401058045,5,1707,ekf2_innovations,144,0.0034011016147820396,0.07632902890815665,5
External Position,topic,vehicle_vision_position,0.3802422185344509,0.021216807113279283,5,1707,vehicle_vision_position,54,0.0070415225654527945,0.05926086313327422,6
External Position,topic,manual_control_setpoint,0.3630504474809252,0.013134545584343758,5,1707,manual_control_setpoint,72,0.005042367326123961,0.05658152048860872,7
External Position,topic,vehicle_attitude,0.24848302160945795,0.028258112940147403,5,1707,vehicle_attitude,126,0.001972087473090936,0.038726153006616644,8
External Position,topic,cpuload,0.2305731961540332,0.013786630046412951,5,1707,cpuload,36,0.0064048110042787005,0.03593490136931694,9
External Position,topic,vehicle_attitude_setpoint,0.21475550827323908,0.02234699493138981,5,1707,vehicle_attitude_setpoint,54,0.003976953856911835,0.0334697099968243,10
External Position,topic,battery_status,0.19566854912219356,0.017142061605430907,5,1707,battery_status,108,0.001811745825205496,0.03049500172208278,11
External Position,topic,sensor_combined,0.19451674390654689,0.022934044624611755,5,1707,sensor_combined,108,0.0018010809620976564,0.030315492535796972,12
External Position,topic,rate_ctrl_status,0.11961635877911361,0.005723838317486021,5,1707,rate_ctrl_status,54,0.002215117755168771,0.018642245181060644,13
External Position,topic,sensor_preflight,0.08383195318371335,0.0068523624416051265,5,1707,sensor_preflight,36,0.0023286653662142596,0.013065234899382905,14
External Position,topic,vehicle_rates_setpoint,0.067555667456461,0.011948463727720609,5,1707,vehicle_rates_setpoint,54,0.0012510308788233517,0.010528570915782208,15
External Position,topic,vehicle_status,0.03883667105781191,0.0021468461206035684,5,1707,vehicle_status,36,0.001078796418272553,0.0060527067640713935,16
External Position,topic,vehicle_land_detected,0.024040117583764075,0.004632435310883735,5,1707,vehicle_land_detected,54,0.0004451873626622977,0.003746659493336051,17
External Position,topic,distance_sensor,0.011581648812148534,0.0019210693575178477,5,1707,distance_sensor,18,0.0006434249340082519,0.0018050034206083254,18
Global Position,topic,manual_control_setpoint,1.580151468049861,0.045388836638271875,5,641,manual_control_setpoint,72,0.02194654816735918,0.21915474274736924,1
Global Position,topic,estimator_status,1.40501916754146,0.09594270046249537,5,641,estimator_status,162,0.00867295782433,0.19486525212528258,2
Global Position,topic,vehicle_local_position,0.9084235791279968,0.05888901974775659,5,641,vehicle_local_position,234,0.003882152047555542,0.12599129881842347,3
Global Position,topic,cpuload,0.8748967275771244,0.05508767693316432,5,641,cpuload,36,0.024302686877142345,0.12134138475934365,4
Global Position,topic,actuator_controls_0,0.4890458136403546,0.02885311137347151,5,641,actuator_controls_0,72,0.006792302967227147,0.06782685815069463,5
Global Position,topic,ekf2_innovations,0.4255340004703546,0.030134614171925835,5,641,ekf2_innovations,144,0.002955097225488574,0.059018262672269825,6
Global Position,topic,vehicle_attitude_setpoint,0.3113329907943486,0.00984999469772236,5,641,vehicle_attitude_setpoint,54,0.0057654257554509,0.04317946911159758,7
Global Position,topic,battery_status,0.24303387379990107,0.01395800535325651,5,641,battery_status,108,0.0022503136462953804,0.033706911754002346,8
Global Position,topic,actuator_outputs,0.24298469108625848,0.02278221428771476,5,641,actuator_outputs,144,0.0016873936880990171,0.03370009049339923,9
Global Position,topic,vehicle_attitude,0.18096838946723626,0.021239554857916766,5,641,vehicle_attitude,126,0.00143625705926378,0.025098910858238326,10
Global Position,topic,sensor_combined,0.1675974190767296,0.006932339654485344,5,641,sensor_combined,108,0.001551827954414163,0.02324446105677049,11
Global Position,topic,sensor_preflight,0.15543153325789855,0.015947382841985765,5,641,sensor_preflight,36,0.004317542590497182,0.02155714713096673,12
Global Position,topic,rate_ctrl_status,0.10077382240817061,0.021968257321896084,5,641,rate_ctrl_status,54,0.0018661818964476038,0.013976546914700471,13
Global Position,topic,vehicle_rates_setpoint,0.051340923151135906,0.009750917624064567,5,641,vehicle_rates_setpoint,54,0.0009507578361321464,0.007120587508921394,14
Global Position,topic,vehicle_vision_position,0.046528190313640506,0.0057334304999241996,5,641,vehicle_vision_position,54,0.0008616331539563057,0.006453098823033062,15
Global Position,topic,vehicle_status,0.018203508965578936,0.0010966192074488474,5,641,vehicle_status,36,0.0005056530268216371,0.0025246853894167302,16
Global Position,topic,distance_sensor,0.004811382473422497,0.0010217546238839373,5,641,distance_sensor,18,0.00026729902630124984,0.0006673014008735751,17
Global Position,topic,vehicle_land_detected,0.004131379627888998,0.0012437175397754293,5,641,vehicle_land_detected,54,7.650703014609255e-05,0.0005729902846966602,18
Mechanical/Electrical,topic,actuator_controls_0,2.1086316066430077,0.09059400463853212,5,683,actuator_controls_0,72,0.029286550092263997,0.28124941827010197,1
Mechanical/Electrical,topic,actuator_outputs,1.2120312735829586,0.05534788481185056,5,683,actuator_outputs,144,0.008416883844326102,0.16166080862416363,2
Mechanical/Electrical,topic,vehicle_attitude,0.9037722156047365,0.062418139637911124,5,683,vehicle_attitude,126,0.007172795361942354,0.12054519579746917,3
Mechanical/Electrical,topic,vehicle_local_position,0.553306746998994,0.027017958753132204,5,683,vehicle_local_position,234,0.0023645587478589485,0.07380008922759906,4
Mechanical/Electrical,topic,sensor_combined,0.540843378086963,0.044656853345734625,5,683,sensor_combined,108,0.005007809056360769,0.07213772428668133,5
