seed,scope,level,rank,name,mean_abs_shap,scope_windows,topic,feature_count
0,all,topic,1,vehicle_local_position,1.2387674435145848,3602,vehicle_local_position,234
0,all,topic,2,estimator_status,1.0400081653124866,3602,estimator_status,162
0,all,topic,3,actuator_controls_0,0.8856171678424468,3602,actuator_controls_0,72
0,all,topic,4,actuator_outputs,0.6229305723110675,3602,actuator_outputs,144
0,all,topic,5,ekf2_innovations,0.5926605019254052,3602,ekf2_innovations,144
0,all,topic,6,manual_control_setpoint,0.5510044742792243,3602,manual_control_setpoint,72
0,all,topic,7,vehicle_attitude,0.35524464835140557,3602,vehicle_attitude,126
0,all,topic,8,cpuload,0.31925583277118164,3602,cpuload,36
0,all,topic,9,sensor_combined,0.2550874511772642,3602,sensor_combined,108
0,all,topic,10,battery_status,0.24698195453544008,3602,battery_status,108
0,all,topic,11,vehicle_attitude_setpoint,0.23158430047297887,3602,vehicle_attitude_setpoint,54
0,all,topic,12,vehicle_vision_position,0.2111567779144312,3602,vehicle_vision_position,54
0,all,topic,13,sensor_preflight,0.12160961238084492,3602,sensor_preflight,36
0,all,topic,14,rate_ctrl_status,0.1186867137484245,3602,rate_ctrl_status,54
0,all,topic,15,vehicle_rates_setpoint,0.11033378312102769,3602,vehicle_rates_setpoint,54
0,all,topic,16,distance_sensor,0.02841732453411179,3602,distance_sensor,18
0,all,topic,17,vehicle_status,0.025901140064731456,3602,vehicle_status,36
0,all,topic,18,vehicle_land_detected,0.017707158790686576,3602,vehicle_land_detected,54
0,External Position,topic,1,vehicle_local_position,1.7188878531468599,1707,vehicle_local_position,234
0,External Position,topic,2,estimator_status,0.773867479311032,1707,estimator_status,162
0,External Position,topic,3,actuator_outputs,0.6566012438016944,1707,actuator_outputs,144
0,External Position,topic,4,actuator_controls_0,0.605424699066062,1707,actuator_controls_0,72
0,External Position,topic,5,ekf2_innovations,0.5259343027228656,1707,ekf2_innovations,144
0,External Position,topic,6,manual_control_setpoint,0.3772578837023415,1707,manual_control_setpoint,72
0,External Position,topic,7,vehicle_vision_position,0.3696531279792062,1707,vehicle_vision_position,54
0,External Position,topic,8,vehicle_attitude,0.26226746370026177,1707,vehicle_attitude,126
0,External Position,topic,9,cpuload,0.23934126673945147,1707,cpuload,36
0,External Position,topic,10,vehicle_attitude_setpoint,0.21585670486844738,1707,vehicle_attitude_setpoint,54
0,External Position,topic,11,sensor_combined,0.2082580010368684,1707,sensor_combined,108
0,External Position,topic,12,battery_status,0.2056741942254625,1707,battery_status,108
0,External Position,topic,13,rate_ctrl_status,0.12713181708368226,1707,rate_ctrl_status,54
0,External Position,topic,14,sensor_preflight,0.08587416235048184,1707,sensor_preflight,36
0,External Position,topic,15,vehicle_rates_setpoint,0.06622631870055089,1707,vehicle_rates_setpoint,54
0,External Position,topic,16,vehicle_status,0.036843670157089226,1707,vehicle_status,36
0,External Position,topic,17,vehicle_land_detected,0.023462831026566162,1707,vehicle_land_detected,54
0,External Position,topic,18,distance_sensor,0.012718260625644535,1707,distance_sensor,18
0,Global Position,topic,1,manual_control_setpoint,1.57284972316476,641,manual_control_setpoint,72
0,Global Position,topic,2,estimator_status,1.3868360227683678,641,estimator_status,162
0,Global Position,topic,3,cpuload,0.9088586762793972,641,cpuload,36
0,Global Position,topic,4,vehicle_local_position,0.8922806886724741,641,vehicle_local_position,234
0,Global Position,topic,5,actuator_controls_0,0.529824899481648,641,actuator_controls_0,72
0,Global Position,topic,6,ekf2_innovations,0.41618689390219066,641,ekf2_innovations,144
0,Global Position,topic,7,vehicle_attitude_setpoint,0.3101638959757585,641,vehicle_attitude_setpoint,54
0,Global Position,topic,8,actuator_outputs,0.2445601303096158,641,actuator_outputs,144
0,Global Position,topic,9,battery_status,0.23455756850828036,641,battery_status,108
0,Global Position,topic,10,vehicle_attitude,0.18814144485077644,641,vehicle_attitude,126
0,Global Position,topic,11,sensor_combined,0.17704069881799414,641,sensor_combined,108
0,Global Position,topic,12,sensor_preflight,0.17607251157504755,641,sensor_preflight,36
0,Global Position,topic,13,rate_ctrl_status,0.10436638727597555,641,rate_ctrl_status,54
0,Global Position,topic,14,vehicle_rates_setpoint,0.0674523784563928,641,vehicle_rates_setpoint,54
0,Global Position,topic,15,vehicle_vision_position,0.04968860497975688,641,vehicle_vision_position,54
0,Global Position,topic,16,vehicle_status,0.017781777896042104,641,vehicle_status,36
0,Global Position,topic,17,vehicle_land_detected,0.006334598804014774,641,vehicle_land_detected,54
0,Global Position,topic,18,distance_sensor,0.005217998990000996,641,distance_sensor,18
0,Altitude,topic,1,estimator_status,2.2210266964142624,571,estimator_status,162
0,Altitude,topic,2,ekf2_innovations,1.3686642372189428,571,ekf2_innovations,144
0,Altitude,topic,3,vehicle_local_position,1.0033276471393402,571,vehicle_local_position,234
0,Altitude,topic,4,actuator_controls_0,0.7290734382529247,571,actuator_controls_0,72
0,Altitude,topic,5,manual_control_setpoint,0.28459855619257757,571,manual_control_setpoint,72
0,Altitude,topic,6,vehicle_rates_setpoint,0.26332783062433085,571,vehicle_rates_setpoint,54
0,Altitude,topic,7,sensor_preflight,0.23799097673527805,571,sensor_preflight,36
0,Altitude,topic,8,actuator_outputs,0.19240091586597194,571,actuator_outputs,144
0,Altitude,topic,9,battery_status,0.15706938275802032,571,battery_status,108
0,Altitude,topic,10,rate_ctrl_status,0.15551879630378684,571,rate_ctrl_status,54
0,Altitude,topic,11,sensor_combined,0.12920903755540664,571,sensor_combined,108
0,Altitude,topic,12,vehicle_attitude,0.12516112011237884,571,vehicle_attitude,126
0,Altitude,topic,13,vehicle_vision_position,0.11313700845383706,571,vehicle_vision_position,54
0,Altitude,topic,14,vehicle_attitude_setpoint,0.09238461169286567,571,vehicle_attitude_setpoint,54
0,Altitude,topic,15,cpuload,0.08151203499730358,571,cpuload,36
0,Altitude,topic,16,distance_sensor,0.07178988571775932,571,distance_sensor,18
0,Altitude,topic,17,vehicle_status,0.028112187470109178,571,vehicle_status,36
0,Altitude,topic,18,vehicle_land_detected,0.007696968240246469,571,vehicle_land_detected,54
0,Mechanical/Electrical,topic,1,actuator_controls_0,2.0506799172072836,683,actuator_controls_0,72
0,Mechanical/Electrical,topic,2,actuator_outputs,1.2538120524261114,683,actuator_outputs,144
0,Mechanical/Electrical,topic,3,vehicle_attitude,0.936800874219477,683,vehicle_attitude,126
0,Mechanical/Electrical,topic,4,vehicle_local_position,0.5608298071189152,683,vehicle_local_position,234
0,Mechanical/Electrical,topic,5,sensor_combined,0.550610751074816,683,sensor_combined,108
0,Mechanical/Electrical,topic,6,battery_status,0.43704997324326994,683,battery_status,108
0,Mechanical/Electrical,topic,7,estimator_status,0.3923125769027445,683,estimator_status,162
0,Mechanical/Electrical,topic,8,vehicle_attitude_setpoint,0.3135176932593594,683,vehicle_attitude_setpoint,54
0,Mechanical/Electrical,topic,9,ekf2_innovations,0.2762960391567455,683,ekf2_innovations,144
0,Mechanical/Electrical,topic,10,manual_control_setpoint,0.24895528658754787,683,manual_control_setpoint,72
0,Mechanical/Electrical,topic,11,cpuload,0.16439558395168075,683,cpuload,36
0,Mechanical/Electrical,topic,12,vehicle_rates_setpoint,0.13290892372336877,683,vehicle_rates_setpoint,54
0,Mechanical/Electrical,topic,13,rate_ctrl_status,0.08022759037571929,683,rate_ctrl_status,54
0,Mechanical/Electrical,topic,14,sensor_preflight,0.06251142171022242,683,sensor_preflight,36
0,Mechanical/Electrical,topic,15,distance_sensor,0.05316598826715149,683,distance_sensor,18
0,Mechanical/Electrical,topic,16,vehicle_vision_position,0.048517125868389986,683,vehicle_vision_position,54
0,Mechanical/Electrical,topic,17,vehicle_land_detected,0.022364109375036377,683,vehicle_land_detected,54
0,Mechanical/Electrical,topic,18,vehicle_status,0.0043244258831859625,683,vehicle_status,36
1,all,topic,1,vehicle_local_position,1.2696304831053973,3602,vehicle_local_position,234
1,all,topic,2,estimator_status,1.1074627187181951,3602,estimator_status,162
1,all,topic,3,actuator_controls_0,0.9266254122488489,3602,actuator_controls_0,72
1,all,topic,4,actuator_outputs,0.6209788958342288,3602,actuator_outputs,144
1,all,topic,5,ekf2_innovations,0.5892319123107156,3602,ekf2_innovations,144
1,all,topic,6,manual_control_setpoint,0.5625675159680884,3602,manual_control_setpoint,72
1,all,topic,7,vehicle_attitude,0.36149343271556095,3602,vehicle_attitude,126
1,all,topic,8,cpuload,0.3275182308157936,3602,cpuload,36
1,all,topic,9,sensor_combined,0.26505558147271224,3602,sensor_combined,108
