seed,window_index,group,start,true_class,predicted_class,rank,channel,topic,subsystem,abs_shap
0,113,7,720.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.2369334369877079
0,113,7,720.0,External Position,External Position,2,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.3606265073554858
0,113,7,720.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.34906401057854175
0,113,7,720.0,External Position,External Position,4,estimator_status.pos_test_ratio,estimator_status,Global Position,0.26831581122351456
0,113,7,720.0,External Position,External Position,5,vehicle_vision_position.y,vehicle_vision_position,External Position,0.24311140655575642
0,113,7,720.0,External Position,External Position,6,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.2030123343775148
0,113,7,720.0,External Position,External Position,7,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.19536676048558632
0,113,7,720.0,External Position,External Position,8,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.18159911736727904
0,113,7,720.0,External Position,External Position,9,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.1778000933693296
0,113,7,720.0,External Position,External Position,10,manual_control_setpoint.z,manual_control_setpoint,Altitude,0.15589543334661815
0,114,7,728.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,0.963322592709032
0,114,7,728.0,External Position,External Position,2,estimator_status.vibe[2],estimator_status,Mechanical/Electrical,0.5564422432101364
0,114,7,728.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.3333154738586207
0,114,7,728.0,External Position,External Position,4,estimator_status.pos_test_ratio,estimator_status,Global Position,0.3045086243172139
0,114,7,728.0,External Position,External Position,5,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.29402536107743404
0,114,7,728.0,External Position,External Position,6,vehicle_vision_position.y,vehicle_vision_position,External Position,0.22339697814572426
0,114,7,728.0,External Position,External Position,7,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.2025102501361302
0,114,7,728.0,External Position,External Position,8,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.18887568390933102
0,114,7,728.0,External Position,External Position,9,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.18403092064426033
0,114,7,728.0,External Position,External Position,10,manual_control_setpoint.z,manual_control_setpoint,Altitude,0.15470004837497858
0,115,7,736.0,External Position,External Position,1,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.46000486321699224
0,115,7,736.0,External Position,External Position,2,vehicle_local_position.eph,vehicle_local_position,Global Position,0.3782428972575443
0,115,7,736.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.3200193180363538
0,115,7,736.0,External Position,External Position,4,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.31571273743056183
0,115,7,736.0,External Position,External Position,5,vehicle_vision_position.y,vehicle_vision_position,External Position,0.29751267732832526
0,115,7,736.0,External Position,External Position,6,estimator_status.vibe[2],estimator_status,Mechanical/Electrical,0.2949783454696127
0,115,7,736.0,External Position,External Position,7,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.2589777937923818
0,115,7,736.0,External Position,External Position,8,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.24091188908171005
0,115,7,736.0,External Position,External Position,9,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.2113815795402734
0,115,7,736.0,External Position,External Position,10,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.18459290059318964
0,116,7,744.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,0.9263019617771064
0,116,7,744.0,External Position,External Position,2,estimator_status.vibe[2],estimator_status,Mechanical/Electrical,0.7334331092129345
0,116,7,744.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.338961941838911
0,116,7,744.0,External Position,External Position,4,estimator_status.pos_test_ratio,estimator_status,Global Position,0.28085289953970693
0,116,7,744.0,External Position,External Position,5,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.2199647427018484
0,116,7,744.0,External Position,External Position,6,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.20535748716880958
0,116,7,744.0,External Position,External Position,7,vehicle_vision_position.y,vehicle_vision_position,External Position,0.2036369696053522
0,116,7,744.0,External Position,External Position,8,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.19882612111484232
0,116,7,744.0,External Position,External Position,9,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.1879455503214508
0,116,7,744.0,External Position,External Position,10,vehicle_local_position.z,vehicle_local_position,Altitude,0.14658661605372522
0,117,7,752.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,0.9191517008393542
0,117,7,752.0,External Position,External Position,2,estimator_status.vibe[2],estimator_status,Mechanical/Electrical,0.7312217283678591
0,117,7,752.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.3350678702018065
0,117,7,752.0,External Position,External Position,4,estimator_status.pos_test_ratio,estimator_status,Global Position,0.2943806700781516
0,117,7,752.0,External Position,External Position,5,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.2702241145464141
0,117,7,752.0,External Position,External Position,6,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.21286704119554803
0,117,7,752.0,External Position,External Position,7,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.19458090863829092
0,117,7,752.0,External Position,External Position,8,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.19376023325167427
0,117,7,752.0,External Position,External Position,9,vehicle_vision_position.y,vehicle_vision_position,External Position,0.18710027507029717
0,117,7,752.0,External Position,External Position,10,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.1802914295787973
0,118,7,760.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,0.907960154447224
0,118,7,760.0,External Position,External Position,2,estimator_status.vibe[2],estimator_status,Mechanical/Electrical,0.7267533480108949
0,118,7,760.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.3359974844582514
0,118,7,760.0,External Position,External Position,4,estimator_status.pos_test_ratio,estimator_status,Global Position,0.28229180369980467
0,118,7,760.0,External Position,External Position,5,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.27375757025680125
0,118,7,760.0,External Position,External Position,6,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.1999920405299223
0,118,7,760.0,External Position,External Position,7,vehicle_vision_position.y,vehicle_vision_position,External Position,0.19644069113139537
0,118,7,760.0,External Position,External Position,8,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.1933579221902824
0,118,7,760.0,External Position,External Position,9,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.1851108364236108
0,118,7,760.0,External Position,External Position,10,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.18103005160142122
0,119,7,768.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,0.9137574955464348
0,119,7,768.0,External Position,External Position,2,estimator_status.vibe[2],estimator_status,Mechanical/Electrical,0.7323483683557764
0,119,7,768.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.33704979726836126
0,119,7,768.0,External Position,External Position,4,estimator_status.pos_test_ratio,estimator_status,Global Position,0.28273292021627533
0,119,7,768.0,External Position,External Position,5,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.22707648945097542
0,119,7,768.0,External Position,External Position,6,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.19828643219986203
0,119,7,768.0,External Position,External Position,7,vehicle_vision_position.y,vehicle_vision_position,External Position,0.19157449599599718
0,119,7,768.0,External Position,External Position,8,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.18598360716370804
0,119,7,768.0,External Position,External Position,9,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.18049904320101706
0,119,7,768.0,External Position,External Position,10,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.17203111425248455
0,271,14,800.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.6444362583452765
0,271,14,800.0,External Position,External Position,2,estimator_status.pos_test_ratio,estimator_status,Global Position,0.45890643952453813
0,271,14,800.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.37601282582366374
0,271,14,800.0,External Position,External Position,4,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.2534382441568159
0,271,14,800.0,External Position,External Position,5,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint,Mechanical/Electrical,0.23547779033928112
0,271,14,800.0,External Position,External Position,6,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.20667787042981905
0,271,14,800.0,External Position,External Position,7,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.20418743474341133
0,271,14,800.0,External Position,External Position,8,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.19637764815023095
0,271,14,800.0,External Position,External Position,9,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.19371672020935274
0,271,14,800.0,External Position,External Position,10,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,0.15563084153589318
0,272,14,808.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.637135701919568
0,272,14,808.0,External Position,External Position,2,estimator_status.pos_test_ratio,estimator_status,Global Position,0.45639395369504393
0,272,14,808.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.3970914770958343
0,272,14,808.0,External Position,External Position,4,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.24992464441241893
0,272,14,808.0,External Position,External Position,5,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint,Mechanical/Electrical,0.23494330688122664
0,272,14,808.0,External Position,External Position,6,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.23372300008006675
0,272,14,808.0,External Position,External Position,7,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.20768746230911575
0,272,14,808.0,External Position,External Position,8,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.194494002917362
0,272,14,808.0,External Position,External Position,9,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.1782087583322829
0,272,14,808.0,External Position,External Position,10,vehicle_vision_position.y,vehicle_vision_position,External Position,0.14748263273750087
0,273,14,816.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.632548724930949
0,273,14,816.0,External Position,External Position,2,estimator_status.pos_test_ratio,estimator_status,Global Position,0.44272829097504773
0,273,14,816.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.3907987606619868
0,273,14,816.0,External Position,External Position,4,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint,Mechanical/Electrical,0.24132830182159548
0,273,14,816.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.23399971852813695
0,273,14,816.0,External Position,External Position,6,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.22303741938873767
0,273,14,816.0,External Position,External Position,7,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.20741850743136775
0,273,14,816.0,External Position,External Position,8,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.1863682132746903
0,273,14,816.0,External Position,External Position,9,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.1740211919027837
0,273,14,816.0,External Position,External Position,10,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,0.15671624301981907
0,274,14,824.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.6349974485649066
0,274,14,824.0,External Position,External Position,2,estimator_status.pos_test_ratio,estimator_status,Global Position,0.4564980908850486
0,274,14,824.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4097192508525911
0,274,14,824.0,External Position,External Position,4,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint,Mechanical/Electrical,0.2432027224839715
0,274,14,824.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.23551417894674642
0,274,14,824.0,External Position,External Position,6,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.2283993131738294
0,274,14,824.0,External Position,External Position,7,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.20502264606881318
0,274,14,824.0,External Position,External Position,8,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.19240525783252194
0,274,14,824.0,External Position,External Position,9,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.18639481416258508
0,274,14,824.0,External Position,External Position,10,vehicle_vision_position.y,vehicle_vision_position,External Position,0.15575479004375373
