group,sequence,failure_family,failure_onset_s,aligned_rows,windows,positive_windows,duration_s
0,carbonZ_2018-07-18-15-53-31_1_engine_failure,Engines,1531943927.129306,1321,152,20,131.99987411499023
1,carbonZ_2018-07-18-15-53-31_2_engine_failure,Engines,1531944104.7293046,886,98,19,88.499915599823
2,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,Engines,1531945946.8783965,1322,152,19,132.0998740196228
3,carbonZ_2018-07-18-16-37-39_1_no_failure,No Failure,,301,25,0,29.999971389770508
4,carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj,Engines,1531946797.8884451,1300,150,21,129.8998761177063
5,carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj,Engines,1532133322.170194,1419,164,23,141.79986476898193
6,carbonZ_2018-07-30-16-39-00_1_engine_failure,Engines,1532134821.3807697,1312,151,18,131.09987497329712
7,carbonZ_2018-07-30-16-39-00_2_engine_failure,Engines,1532135040.5754905,1059,119,18,105.79989910125732
8,carbonZ_2018-07-30-16-39-00_3_no_failure,No Failure,,786,85,0,78.49992513656616
9,carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,Engines,1532985393.3141792,1328,153,20,132.6998734474182
10,carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,Engines,1532985925.757112,1063,120,24,106.1998987197876
11,carbonZ_2018-07-30-17-36-35_engine_failure_with_emr_traj,Engines,1532986875.6348593,1565,183,29,156.3998508453369
12,carbonZ_2018-07-30-17-46-31_engine_failure_with_emr_traj,Engines,1532987387.5394068,1123,127,27,112.1998929977417
13,carbonZ_2018-09-11-11-56-30_engine_failure,Engines,1536681902.419301,1241,142,26,123.99988174438477
14,carbonZ_2018-09-11-14-16-55_no_failure,No Failure,,331,28,0,32.99996852874756
15,carbonZ_2018-09-11-14-22-07_1_engine_failure,Engines,1536690374.3248258,1139,129,11,113.7998914718628
16,carbonZ_2018-09-11-14-22-07_2_engine_failure,Engines,1536690500.325374,622,65,16,62.09994077682495
17,carbonZ_2018-09-11-14-41-38_no_failure,No Failure,,430,41,0,42.899959087371826
18,carbonZ_2018-09-11-14-41-51_elevator_failure,Elevator,1536691713.1932397,1283,147,13,128.19987773895264
19,carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,Aileron,1536692249.9850302,2331,278,160,232.99977779388428
20,carbonZ_2018-09-11-15-05-11_1_elevator_failure,Elevator,1536693128.6548352,756,82,16,75.49992799758911
21,carbonZ_2018-09-11-15-05-11_2_no_failure,No Failure,,668,71,0,66.6999363899231
22,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,Rudder,1536693475.0384421,699,74,18,69.79993343353271
23,carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,Rudder,1536693598.533612,689,73,21,68.79993438720703
24,carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,Rudder,1536693751.5350285,692,74,12,69.09993410110474
25,carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,Aileron,1536701775.2519124,1432,166,34,143.09986352920532
26,carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,Aileron,1536701903.7516885,1015,114,45,101.39990329742432
27,carbonZ_2018-09-11-17-55-30_1_right_aileron_failure,Aileron,1536703469.9159322,1330,153,26,132.89987325668335
28,carbonZ_2018-09-11-17-55-30_2_left_aileron_failure,Aileron,1536703578.909973,812,89,40,81.09992265701294
29,carbonZ_2018-10-05-14-34-20_1_no_failure,No Failure,,664,70,0,66.29993677139282
30,carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,Aileron,1538765890.4562209,1618,189,12,161.69984579086304
31,carbonZ_2018-10-05-14-37-22_1_no_failure,No Failure,,722,77,0,72.09993124008179
32,carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,Aileron,1538768472.1763432,1449,168,89,144.79986190795898
33,carbonZ_2018-10-05-14-37-22_3_left_aileron_failure,Aileron,1538768616.1754498,960,107,30,95.89990854263306
34,carbonZ_2018-10-05-15-52-12_1_no_failure,No Failure,,892,99,0,89.09991502761841
35,carbonZ_2018-10-05-15-52-12_2_no_failure,No Failure,,478,47,0,47.69995450973511
36,carbonZ_2018-10-05-15-52-12_3_engine_failure_with_emr_traj,Engines,1538770024.7432985,662,70,22,66.09993696212769
37,carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,Engines,1538769599.4791818,1127,128,16,112.59989261627197
38,carbonZ_2018-10-05-16-04-46_engine_failure_with_emr_traj,Engines,1538770170.477759,918,102,20,91.69991254806519
39,carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,Engines,1539875371.4190645,1161,132,15,115.9998893737793
40,carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,Engines,1539875367.628351,1223,140,14,122.19988346099854
41,carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,Engines,1539875379.2709858,1143,130,18,114.19989109039307
42,carbonZ_2018-10-18-11-04-08_2_engine_failure_with_emr_traj,Engines,1539875985.2688594,1175,134,24,117.39988803863525
43,carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,Engines,1539875317.8782327,1088,123,10,108.6998963356018
44,carbonZ_2018-10-18-11-06-06_engine_failure_with_emr_traj,Engines,1539875537.7346945,1164,133,18,116.299889087677
45,carbonZ_2018-10-18-11-08-24_no_failure,No Failure,,259,19,0,25.799975395202637
