scope,mode,topic,mapped,module_count,input_mean_abs_shap,allocated_mean_abs_shap,conservation_error
Altitude,producer_only,estimator_status,True,1,2.1752172877344877,2.1752172877344877,0.0
Altitude,producer_only,ekf2_innovations,True,1,1.3561380356054915,1.3561380356054915,0.0
Altitude,producer_only,vehicle_local_position,True,2,0.977897514496978,0.977897514496978,0.0
Altitude,producer_only,actuator_controls_0,True,4,0.7185649998204934,0.7185649998204934,0.0
Altitude,producer_only,manual_control_setpoint,True,2,0.275690886752634,0.275690886752634,0.0
Altitude,producer_only,vehicle_rates_setpoint,True,3,0.259630250513969,0.259630250513969,0.0
Altitude,producer_only,sensor_preflight,True,1,0.235324813158039,0.235324813158039,0.0
Altitude,producer_only,actuator_outputs,True,10,0.1962537841095232,0.1962537841095232,0.0
Altitude,producer_only,rate_ctrl_status,True,2,0.1547923098782891,0.1547923098782891,0.0
Altitude,producer_only,battery_status,True,7,0.1531231379187413,0.1531231379187413,0.0
Altitude,producer_only,sensor_combined,True,2,0.1265952473606388,0.1265952473606388,0.0
Altitude,producer_only,vehicle_vision_position,True,2,0.1237424645465335,0.1237424645465335,0.0
Altitude,producer_only,vehicle_attitude,True,4,0.11988271669951,0.11988271669951,0.0
Altitude,producer_only,vehicle_attitude_setpoint,True,4,0.0992686366630478,0.0992686366630478,0.0
Altitude,producer_only,cpuload,True,1,0.0839916426216351,0.0839916426216351,0.0
Altitude,producer_only,distance_sensor,True,8,0.0739196353592088,0.0739196353592088,0.0
Altitude,producer_only,vehicle_status,True,1,0.0274929127966141,0.0274929127966141,0.0
Altitude,producer_only,vehicle_land_detected,True,2,0.008104778383679,0.008104778383679,0.0
External Position,producer_only,vehicle_local_position,True,2,1.7131557714055918,1.7131557714055918,0.0
External Position,producer_only,estimator_status,True,1,0.7977669286788623,0.7977669286788623,0.0
External Position,producer_only,actuator_outputs,True,10,0.650617402595285,0.650617402595285,0.0
External Position,producer_only,actuator_controls_0,True,4,0.5923629379680679,0.5923629379680679,0.0
External Position,producer_only,ekf2_innovations,True,1,0.4897586325286137,0.4897586325286137,0.0
External Position,producer_only,vehicle_vision_position,True,2,0.3802422185344509,0.3802422185344509,0.0
External Position,producer_only,manual_control_setpoint,True,2,0.3630504474809252,0.3630504474809252,0.0
External Position,producer_only,vehicle_attitude,True,4,0.2484830216094579,0.2484830216094579,0.0
External Position,producer_only,cpuload,True,1,0.2305731961540332,0.2305731961540332,0.0
External Position,producer_only,vehicle_attitude_setpoint,True,4,0.214755508273239,0.214755508273239,0.0
External Position,producer_only,battery_status,True,7,0.1956685491221935,0.1956685491221935,0.0
External Position,producer_only,sensor_combined,True,2,0.1945167439065468,0.1945167439065468,0.0
External Position,producer_only,rate_ctrl_status,True,2,0.1196163587791136,0.1196163587791136,0.0
External Position,producer_only,sensor_preflight,True,1,0.0838319531837133,0.0838319531837133,0.0
External Position,producer_only,vehicle_rates_setpoint,True,3,0.067555667456461,0.067555667456461,0.0
External Position,producer_only,vehicle_status,True,1,0.0388366710578119,0.0388366710578119,0.0
External Position,producer_only,vehicle_land_detected,True,2,0.024040117583764,0.024040117583764,0.0
External Position,producer_only,distance_sensor,True,8,0.0115816488121485,0.0115816488121485,0.0
Global Position,producer_only,manual_control_setpoint,True,2,1.580151468049861,1.580151468049861,0.0
Global Position,producer_only,estimator_status,True,1,1.40501916754146,1.40501916754146,0.0
Global Position,producer_only,vehicle_local_position,True,2,0.9084235791279968,0.9084235791279968,0.0
Global Position,producer_only,cpuload,True,1,0.8748967275771244,0.8748967275771244,0.0
Global Position,producer_only,actuator_controls_0,True,4,0.4890458136403546,0.4890458136403546,0.0
Global Position,producer_only,ekf2_innovations,True,1,0.4255340004703546,0.4255340004703546,0.0
Global Position,producer_only,vehicle_attitude_setpoint,True,4,0.3113329907943486,0.3113329907943486,0.0
