scope,mode,module,mean_abs_shap,shap_share,rank
Altitude,producer_only,src/modules/ekf2,3.570565956934758,0.4982905106079326,1
Altitude,producer_only,src/modules/mavlink,1.0448050156319575,0.14580781618494826,2
Altitude,producer_only,src/modules/position_estimator_inav,0.488948757248489,0.06823526825971905,3
Altitude,producer_only,src/modules/sensors,0.458342614203067,0.06396402643705429,4
Altitude,producer_only,src/modules/vtol_att_control,0.29100182595887497,0.04061077436848986,5
Altitude,producer_only,src/examples/hwtest,0.17964124995512334,0.025069843617517375,6
Altitude,producer_only,src/examples/uuv_example_app,0.17964124995512334,0.025069843617517375,6
Altitude,producer_only,src/modules/simulator,0.09298592068155946,0.012976654808959074,7
Altitude,producer_only,src/examples/fixedwing_control,0.08654341683798966,0.012077570863017386,8
Altitude,producer_only,src/modules/load_mon,0.0839916426216351,0.011721457884694182,9
Altitude,producer_only,src/modules/fw_att_control,0.07739615493914455,0.010801024271464447,10
Altitude,producer_only,src/modules/mc_att_control,0.07739615493914455,0.010801024271464447,10
Altitude,producer_only,src/platforms/qurt/tests/muorb,0.0632976236803194,0.008833503036872043,11
Altitude,producer_only,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.04150011239934394,0.005791550260426554,12
Altitude,producer_only,src/examples/px4_simple_app,0.0299706791748775,0.0041825596304449165,13
Altitude,producer_only,src/modules/attitude_estimator_q,0.0299706791748775,0.0041825596304449165,13
Altitude,producer_only,src/modules/commander,0.0274929127966141,0.003836774819666081,14
Altitude,producer_only,src/modules/gnd_pos_control,0.02481715916576195,0.0034633598879550997,15
Altitude,producer_only,src/modules/navigator,0.02481715916576195,0.0034633598879550997,15
Altitude,producer_only,src/drivers/telemetry,0.021874733988391615,0.0030527295952392126,16
Altitude,producer_only,src/modules/syslink,0.021874733988391615,0.0030527295952392126,16
Altitude,producer_only,src/platforms/posix/drivers/df_ltc2946_wrapper,0.021874733988391615,0.0030527295952392126,16
Altitude,producer_only,src/drivers/linux_pwm_out,0.01962537841095232,0.002738820665187341,17
Altitude,producer_only,src/drivers/mkblctrl,0.01962537841095232,0.002738820665187341,17
Altitude,producer_only,src/drivers/pwm_out_sim,0.01962537841095232,0.002738820665187341,17
Altitude,producer_only,src/drivers/px4fmu,0.01962537841095232,0.002738820665187341,17
Altitude,producer_only,src/drivers/px4io,0.01962537841095232,0.002738820665187341,17
Altitude,producer_only,src/drivers/snapdragon_pwm_out,0.01962537841095232,0.002738820665187341,17
Altitude,producer_only,src/drivers/tap_esc,0.01962537841095232,0.002738820665187341,17
Altitude,producer_only,src/modules/uavcan,0.01962537841095232,0.002738820665187341,17
Altitude,producer_only,src/platforms/qurt/fc_addon/uart_esc,0.01962537841095232,0.002738820665187341,17
