topic,has_publisher,has_subscriber,publisher_modules,subscriber_modules,mapped_modules
actuator_controls_0,True,True,4,7,11
actuator_outputs,True,True,10,1,11
battery_status,True,True,7,10,16
cpuload,True,True,1,2,3
distance_sensor,True,True,8,2,9
ekf2_innovations,True,False,1,0,1
estimator_status,True,True,1,1,2
manual_control_setpoint,True,True,2,11,13
rate_ctrl_status,True,False,2,0,2
sensor_combined,True,True,2,9,11
sensor_preflight,True,True,1,1,2
vehicle_attitude,True,True,4,18,22
vehicle_attitude_setpoint,True,True,4,5,8
vehicle_land_detected,True,True,2,7,9
vehicle_local_position,True,True,2,9,11
vehicle_rates_setpoint,True,True,3,2,5
vehicle_status,True,True,1,15,16
vehicle_vision_position,True,True,2,2,4
