method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
paired_residual,normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,commander_nav_state_override,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,commander_nav_state_override,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,commander_nav_state_override,0.3374776883274057,True,True,False,47.2,17.200000000000003,,0.0,0.0,0.0,0.0
paired_residual,normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,ekf2_innovation_bias,0.3374776883274057,True,True,False,47.2,17.200000000000003,,0.0,0.0,0.0,0.0
paired_residual,normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,inav_local_z_freeze,0.3374776883274057,True,True,False,51.2,21.200000000000003,,0.0,0.0,0.0,0.0
paired_residual,normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,land_detector_state_inversion,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,land_detector_state_inversion,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,land_detector_state_inversion,0.3374776883274057,True,True,False,48.8,18.799999999999997,,0.0,0.0,0.0,0.0
paired_residual,fault:commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,3.0,True,True,False,32.8,2.799999999999997,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,3.0,True,True,False,32.8,2.799999999999997,2.0,0.0,1.0,1.0,0.5
original_stage1_original_shap,fault:commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,0.3374776883274057,True,True,False,45.6,15.600000000000001,2.0,0.0,1.0,1.0,0.5
paired_residual,fault:ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,fault:ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
