run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_controls_0,667,667,1.214897,68.814917,
commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs,666,666,1.197301,68.793244,
commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status,136,136,0.982618,68.771174,
commander_nav_state_override__2019-01-18__08_39_38__baseline,cpuload,68,68,1.097674,68.546529,
commander_nav_state_override__2019-01-18__08_39_38__baseline,distance_sensor,665,665,1.150519,68.75453,
commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations,333,333,1.095124,68.679631,
commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status,334,334,1.095124,68.691169,
commander_nav_state_override__2019-01-18__08_39_38__baseline,manual_control_setpoint,333,333,1.088498,68.684376,
commander_nav_state_override__2019-01-18__08_39_38__baseline,rate_ctrl_status,2127,2127,1.28694,68.811007,
commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_combined,16844,16844,1.302742,68.814742,
commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_preflight,6,5,67.815327,68.624025,
commander_nav_state_override__2019-01-18__08_39_38__baseline,system_power,136,136,0.989684,68.769684,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_attitude,2059,2059,1.31926,68.799167,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,664,664,1.299839,68.751724,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_land_detected,70,70,1.027629,67.816883,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_local_position,664,664,1.299257,68.751247,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,2123,2123,1.350872,68.794885,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_status,75,74,0.007658,69.500916,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_status_flags,146,144,0.007659,69.500918,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_vision_position,1306,1306,1.344589,68.775784,
commander_nav_state_override__2019-01-25__17_38_05__baseline,actuator_controls_0,917,917,1.225372,94.202237,
commander_nav_state_override__2019-01-25__17_38_05__baseline,actuator_outputs,917,917,1.151954,94.184654,
commander_nav_state_override__2019-01-25__17_38_05__baseline,battery_status,186,186,0.937694,93.717682,
commander_nav_state_override__2019-01-25__17_38_05__baseline,cpuload,94,94,0.859242,94.109476,
commander_nav_state_override__2019-01-25__17_38_05__baseline,distance_sensor,916,916,1.224513,94.176538,
commander_nav_state_override__2019-01-25__17_38_05__baseline,ekf2_innovations,459,459,1.254203,94.222629,
commander_nav_state_override__2019-01-25__17_38_05__baseline,estimator_status,459,459,1.254203,94.222629,
commander_nav_state_override__2019-01-25__17_38_05__baseline,manual_control_setpoint,458,458,1.246739,94.030696,
commander_nav_state_override__2019-01-25__17_38_05__baseline,rate_ctrl_status,2939,2939,1.297434,94.218211,
commander_nav_state_override__2019-01-25__17_38_05__baseline,sensor_combined,23218,23218,1.313265,94.246066,
commander_nav_state_override__2019-01-25__17_38_05__baseline,sensor_preflight,6,5,93.306361,94.11543,
commander_nav_state_override__2019-01-25__17_38_05__baseline,system_power,186,186,0.934605,93.724573,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_attitude,2936,2936,1.32571,94.222629,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,916,916,1.259237,94.223282,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_land_detected,94,94,1.319467,93.891467,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_local_position,915,915,1.25765,94.14657,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,2932,2932,1.361488,94.222211,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_status,97,97,4e-06,93.29258,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_status_flags,192,191,6e-06,93.300729,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_vision_position,1877,1877,1.366996,94.216886,
commander_nav_state_override__2019-03-06__08_02_26__baseline,actuator_controls_0,953,953,1.225273,97.846796,
commander_nav_state_override__2019-03-06__08_02_26__baseline,actuator_outputs,951,951,1.135315,97.760898,
commander_nav_state_override__2019-03-06__08_02_26__baseline,battery_status,194,194,0.833499,97.76308,
commander_nav_state_override__2019-03-06__08_02_26__baseline,cpuload,97,97,0.735621,97.02465,
commander_nav_state_override__2019-03-06__08_02_26__baseline,distance_sensor,951,951,1.234719,97.757376,
commander_nav_state_override__2019-03-06__08_02_26__baseline,ekf2_innovations,477,477,1.149585,97.763182,
commander_nav_state_override__2019-03-06__08_02_26__baseline,estimator_status,477,477,1.149585,97.763182,
commander_nav_state_override__2019-03-06__08_02_26__baseline,manual_control_setpoint,477,477,1.134525,97.784096,
commander_nav_state_override__2019-03-06__08_02_26__baseline,rate_ctrl_status,3055,3055,1.293296,97.842928,
commander_nav_state_override__2019-03-06__08_02_26__baseline,sensor_combined,24109,24109,1.313067,97.846657,
