run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_controls_0,666,666,1.226991,68.72295,
commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs,665,665,1.197301,68.685238,
commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status,135,135,0.982618,68.267222,
commander_nav_state_override__2019-01-18__08_39_38__baseline,cpuload,68,68,1.097674,68.546529,
commander_nav_state_override__2019-01-18__08_39_38__baseline,distance_sensor,664,664,1.251938,68.75453,
commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations,333,333,1.095124,68.679631,
commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status,333,333,1.095124,68.491288,
commander_nav_state_override__2019-01-18__08_39_38__baseline,manual_control_setpoint,333,333,1.088498,68.684376,
commander_nav_state_override__2019-01-18__08_39_38__baseline,rate_ctrl_status,2124,2124,1.28694,68.746943,
commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_combined,16823,16823,1.314742,68.766742,
commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_preflight,6,5,67.815327,68.624025,
commander_nav_state_override__2019-01-18__08_39_38__baseline,system_power,135,135,0.989684,68.269702,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_attitude,2055,2055,1.31926,68.739161,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,663,663,1.299839,68.66382,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_land_detected,70,70,1.027629,67.816883,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_local_position,664,664,1.299257,68.751247,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,2121,2121,1.350872,68.762875,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_status,73,72,0.010102,68.492369,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_status_flags,140,138,0.010104,68.492372,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_vision_position,1305,1305,1.344589,68.701926,
commander_nav_state_override__2019-01-18__08_39_38__fault,actuator_controls_0,667,667,1.226991,68.814917,
commander_nav_state_override__2019-01-18__08_39_38__fault,actuator_outputs,666,666,1.197301,68.793244,
commander_nav_state_override__2019-01-18__08_39_38__fault,battery_status,136,136,0.982618,68.771174,
commander_nav_state_override__2019-01-18__08_39_38__fault,cpuload,68,68,1.097674,68.546529,
commander_nav_state_override__2019-01-18__08_39_38__fault,distance_sensor,664,664,1.251938,68.75453,
commander_nav_state_override__2019-01-18__08_39_38__fault,ekf2_innovations,333,333,1.095124,68.679631,
commander_nav_state_override__2019-01-18__08_39_38__fault,estimator_status,334,334,1.095124,68.691169,
commander_nav_state_override__2019-01-18__08_39_38__fault,manual_control_setpoint,333,333,1.088498,68.684376,
commander_nav_state_override__2019-01-18__08_39_38__fault,rate_ctrl_status,2127,2127,1.28694,68.811007,
commander_nav_state_override__2019-01-18__08_39_38__fault,sensor_combined,16841,16841,1.314742,68.814742,
commander_nav_state_override__2019-01-18__08_39_38__fault,sensor_preflight,6,5,67.815327,68.624025,
commander_nav_state_override__2019-01-18__08_39_38__fault,system_power,136,136,0.989684,68.769684,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_attitude,2059,2059,1.31926,68.799167,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_attitude_setpoint,664,664,1.299839,68.751724,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_land_detected,70,70,1.027629,67.816883,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_local_position,664,664,1.299257,68.751247,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_rates_setpoint,2123,2123,1.350872,68.794885,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_status,4281,4280,0.010002,84.731561,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_status_flags,4339,4337,0.010004,84.731565,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_vision_position,1307,1307,1.344589,68.775784,
commander_nav_state_override__2019-01-25__17_38_05__baseline,actuator_controls_0,918,918,1.225372,94.302237,
commander_nav_state_override__2019-01-25__17_38_05__baseline,actuator_outputs,917,917,1.151954,94.184654,
commander_nav_state_override__2019-01-25__17_38_05__baseline,battery_status,187,187,0.937694,94.210463,
commander_nav_state_override__2019-01-25__17_38_05__baseline,cpuload,94,94,0.859242,94.109476,
commander_nav_state_override__2019-01-25__17_38_05__baseline,distance_sensor,916,916,1.224513,94.176538,
commander_nav_state_override__2019-01-25__17_38_05__baseline,ekf2_innovations,459,459,1.254203,94.222629,
commander_nav_state_override__2019-01-25__17_38_05__baseline,estimator_status,459,459,1.254203,94.222629,
commander_nav_state_override__2019-01-25__17_38_05__baseline,manual_control_setpoint,459,459,1.246739,94.231523,
commander_nav_state_override__2019-01-25__17_38_05__baseline,rate_ctrl_status,2941,2941,1.297434,94.278241,
commander_nav_state_override__2019-01-25__17_38_05__baseline,sensor_combined,23230,23230,1.313265,94.302066,
commander_nav_state_override__2019-01-25__17_38_05__baseline,sensor_preflight,6,5,93.306361,94.11543,
commander_nav_state_override__2019-01-25__17_38_05__baseline,system_power,187,187,0.934605,94.224606,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_attitude,2938,2938,1.32571,94.286649,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,916,916,1.259237,94.223282,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_land_detected,94,94,1.319467,93.891467,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_local_position,916,916,1.25765,94.250478,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,2934,2934,1.361488,94.286181,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_status,110,110,0.000508,106.307043,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_status_flags,193,192,0.00052,106.307047,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_vision_position,1882,1882,1.366996,94.28897,
commander_nav_state_override__2019-01-25__17_38_05__fault,actuator_controls_0,919,919,1.217369,94.302237,
commander_nav_state_override__2019-01-25__17_38_05__fault,actuator_outputs,917,917,1.151954,94.184654,
commander_nav_state_override__2019-01-25__17_38_05__fault,battery_status,187,187,0.937694,94.210463,
commander_nav_state_override__2019-01-25__17_38_05__fault,cpuload,94,94,0.859242,94.109476,
commander_nav_state_override__2019-01-25__17_38_05__fault,distance_sensor,916,916,1.224513,94.176538,
commander_nav_state_override__2019-01-25__17_38_05__fault,ekf2_innovations,459,459,1.049785,94.222629,
commander_nav_state_override__2019-01-25__17_38_05__fault,estimator_status,459,459,1.254203,94.222629,
commander_nav_state_override__2019-01-25__17_38_05__fault,manual_control_setpoint,459,459,1.246739,94.231523,
commander_nav_state_override__2019-01-25__17_38_05__fault,rate_ctrl_status,2941,2941,1.297434,94.278241,
commander_nav_state_override__2019-01-25__17_38_05__fault,sensor_combined,23229,23229,1.305241,94.302066,
commander_nav_state_override__2019-01-25__17_38_05__fault,sensor_preflight,6,5,93.306361,94.11543,
commander_nav_state_override__2019-01-25__17_38_05__fault,system_power,187,187,0.934605,94.224606,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_attitude,2939,2939,1.297739,94.286649,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_attitude_setpoint,916,916,1.259237,94.223282,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_land_detected,94,94,1.319467,93.891467,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_local_position,916,916,1.25765,94.250478,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_rates_setpoint,2935,2935,1.329431,94.286181,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_status,7944,7943,0.004057,109.719259,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_status_flags,8015,8013,0.004061,109.719263,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_vision_position,1884,1884,1.335517,94.28897,
commander_nav_state_override__2019-03-06__08_02_26__baseline,actuator_controls_0,952,952,1.225273,97.754882,
commander_nav_state_override__2019-03-06__08_02_26__baseline,actuator_outputs,951,951,1.135315,97.760898,
commander_nav_state_override__2019-03-06__08_02_26__baseline,battery_status,193,193,0.833499,97.259101,
commander_nav_state_override__2019-03-06__08_02_26__baseline,cpuload,97,97,0.735621,97.02465,
commander_nav_state_override__2019-03-06__08_02_26__baseline,distance_sensor,951,951,1.234719,97.757376,
commander_nav_state_override__2019-03-06__08_02_26__baseline,ekf2_innovations,476,476,1.149585,97.559259,
commander_nav_state_override__2019-03-06__08_02_26__baseline,estimator_status,476,476,1.149585,97.559259,
commander_nav_state_override__2019-03-06__08_02_26__baseline,manual_control_setpoint,476,476,1.134525,97.584097,
commander_nav_state_override__2019-03-06__08_02_26__baseline,rate_ctrl_status,3054,3054,1.293296,97.810842,
commander_nav_state_override__2019-03-06__08_02_26__baseline,sensor_combined,24100,24100,1.313067,97.810657,
commander_nav_state_override__2019-03-06__08_02_26__baseline,sensor_preflight,6,5,96.855565,97.65974,
commander_nav_state_override__2019-03-06__08_02_26__baseline,system_power,193,193,0.840369,97.280371,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_attitude,3053,3053,1.32555,97.803469,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,951,951,1.254309,97.79955,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_land_detected,97,97,1.02679,97.444314,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_local_position,950,950,1.353933,97.787037,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,3048,3048,1.35328,97.802817,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_status,106,105,0.008662,96.840251,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_status_flags,204,202,0.008664,96.848397,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_vision_position,959,959,1.339805,97.73116,
commander_nav_state_override__2019-03-06__08_02_26__fault,actuator_controls_0,953,953,1.225273,97.846796,
commander_nav_state_override__2019-03-06__08_02_26__fault,actuator_outputs,951,951,1.135315,97.760898,
commander_nav_state_override__2019-03-06__08_02_26__fault,battery_status,194,194,0.833499,97.76308,
commander_nav_state_override__2019-03-06__08_02_26__fault,cpuload,97,97,0.735621,97.02465,
commander_nav_state_override__2019-03-06__08_02_26__fault,distance_sensor,951,951,1.234719,97.757376,
commander_nav_state_override__2019-03-06__08_02_26__fault,ekf2_innovations,477,477,1.149585,97.763182,
commander_nav_state_override__2019-03-06__08_02_26__fault,estimator_status,477,477,1.149585,97.763182,
commander_nav_state_override__2019-03-06__08_02_26__fault,manual_control_setpoint,477,477,1.134525,97.784096,
commander_nav_state_override__2019-03-06__08_02_26__fault,rate_ctrl_status,3055,3055,1.293296,97.842928,
commander_nav_state_override__2019-03-06__08_02_26__fault,sensor_combined,24112,24112,1.313067,97.846657,
commander_nav_state_override__2019-03-06__08_02_26__fault,sensor_preflight,6,5,96.855565,97.65974,
commander_nav_state_override__2019-03-06__08_02_26__fault,system_power,194,194,0.840369,97.78037,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_attitude,3054,3054,1.32555,97.835227,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_attitude_setpoint,951,951,1.254309,97.79955,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_land_detected,97,97,1.02679,97.444314,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_local_position,950,950,1.353933,97.787037,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_rates_setpoint,3049,3049,1.35328,97.834821,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_status,8459,8458,0.010038,114.731657,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_status_flags,8537,8535,0.010042,114.73166,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_vision_position,960,960,1.339805,97.831005,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,actuator_controls_0,666,666,1.198922,68.698905,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,actuator_outputs,665,665,1.197301,68.685238,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,battery_status,135,135,0.982618,68.267222,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,cpuload,68,68,1.097674,68.546529,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,distance_sensor,665,665,1.150519,68.75453,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovations,333,333,1.23493,68.630889,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,estimator_status,333,333,1.242899,68.630881,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,manual_control_setpoint,333,333,1.088498,68.484413,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,rate_ctrl_status,2125,2125,1.254914,68.778886,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,sensor_combined,16827,16827,1.286748,68.778754,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,sensor_preflight,6,5,67.815327,68.624025,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,system_power,135,135,0.989684,68.269702,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_attitude,2058,2058,1.287281,68.751247,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,664,664,1.299839,68.751724,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_land_detected,70,70,1.027629,67.816883,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_local_position,663,663,1.299257,68.751247,
