collection,run_id,version,samples,valid_quaternion_fraction
reference,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,old_dedicated_flag,2141,0.16814572629612332
reference,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,correct_generic,2058,1.0
reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,old_dedicated_flag,2140,0.17897196261682244
reference,ekf2_innovation_bias__2019-01-18__08_39_38__fault,correct_generic,2055,1.0
reference,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,old_dedicated_flag,2950,0.18915254237288134
reference,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,correct_generic,2937,1.0
reference,ekf2_innovation_bias__2019-01-25__17_38_05__fault,old_dedicated_flag,2949,0.19125127161749747
reference,ekf2_innovation_bias__2019-01-25__17_38_05__fault,correct_generic,2936,1.0
reference,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,old_dedicated_flag,3066,0.13731245923026744
reference,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,correct_generic,3055,1.0
reference,ekf2_innovation_bias__2019-03-06__08_02_26__fault,old_dedicated_flag,3065,0.14551386623164764
reference,ekf2_innovation_bias__2019-03-06__08_02_26__fault,correct_generic,3054,1.0
normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,old_dedicated_flag,2141,0.16207379729098553
normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,correct_generic,2057,1.0
normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,old_dedicated_flag,2951,0.16638427651643511
normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,correct_generic,2938,1.0
normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,old_dedicated_flag,3066,0.1487279843444227
normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,correct_generic,3054,1.0
