run_id	condition	mutation_id	ground_truth_module	replay_log	replay_mode	output_ulog	exit_code
commander_nav_state_override__2019-01-18__08_39_38__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-native-20260906/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/commander_nav_state_override__2019-01-18__08_39_38__baseline.ulg	124
commander_nav_state_override__2019-01-18__08_39_38__fault	fault	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-native-20260906/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/commander_nav_state_override__2019-01-18__08_39_38__fault.ulg	124
commander_nav_state_override__2019-01-25__17_38_05__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-native-20260906/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/commander_nav_state_override__2019-01-25__17_38_05__baseline.ulg	124
commander_nav_state_override__2019-01-25__17_38_05__fault	fault	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-native-20260906/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/commander_nav_state_override__2019-01-25__17_38_05__fault.ulg	124
commander_nav_state_override__2019-03-06__08_02_26__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-native-20260906/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/commander_nav_state_override__2019-03-06__08_02_26__baseline.ulg	124
commander_nav_state_override__2019-03-06__08_02_26__fault	fault	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-native-20260906/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/commander_nav_state_override__2019-03-06__08_02_26__fault.ulg	124
ekf2_innovation_bias__2019-01-18__08_39_38__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-native-20260906/inputs/2019-01-18__08_39_38.ulg	generic	D:\UAV\reports\p9\paired_residual\ekf_generic_repair\reference\logs\ekf2_innovation_bias__2019-01-18__08_39_38__baseline.ulg	124
ekf2_innovation_bias__2019-01-18__08_39_38__fault	fault	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-native-20260906/inputs/2019-01-18__08_39_38.ulg	generic	D:\UAV\reports\p9\paired_residual\ekf_generic_repair\reference\logs\ekf2_innovation_bias__2019-01-18__08_39_38__fault.ulg	124
ekf2_innovation_bias__2019-01-25__17_38_05__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-native-20260906/inputs/2019-01-25__17_38_05.ulg	generic	D:\UAV\reports\p9\paired_residual\ekf_generic_repair\reference\logs\ekf2_innovation_bias__2019-01-25__17_38_05__baseline.ulg	124
ekf2_innovation_bias__2019-01-25__17_38_05__fault	fault	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-native-20260906/inputs/2019-01-25__17_38_05.ulg	generic	D:\UAV\reports\p9\paired_residual\ekf_generic_repair\reference\logs\ekf2_innovation_bias__2019-01-25__17_38_05__fault.ulg	124
ekf2_innovation_bias__2019-03-06__08_02_26__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-native-20260906/inputs/2019-03-06__08_02_26.ulg	generic	D:\UAV\reports\p9\paired_residual\ekf_generic_repair\reference\logs\ekf2_innovation_bias__2019-03-06__08_02_26__baseline.ulg	124
ekf2_innovation_bias__2019-03-06__08_02_26__fault	fault	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-native-20260906/inputs/2019-03-06__08_02_26.ulg	generic	D:\UAV\reports\p9\paired_residual\ekf_generic_repair\reference\logs\ekf2_innovation_bias__2019-03-06__08_02_26__fault.ulg	124
inav_local_z_freeze__2019-01-18__08_39_38__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-native-20260906/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/inav_local_z_freeze__2019-01-18__08_39_38__baseline.ulg	124
inav_local_z_freeze__2019-01-18__08_39_38__fault	fault	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-native-20260906/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/inav_local_z_freeze__2019-01-18__08_39_38__fault.ulg	124
inav_local_z_freeze__2019-01-25__17_38_05__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-native-20260906/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/inav_local_z_freeze__2019-01-25__17_38_05__baseline.ulg	124
inav_local_z_freeze__2019-01-25__17_38_05__fault	fault	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-native-20260906/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/inav_local_z_freeze__2019-01-25__17_38_05__fault.ulg	124
inav_local_z_freeze__2019-03-06__08_02_26__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-native-20260906/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/inav_local_z_freeze__2019-03-06__08_02_26__baseline.ulg	124
inav_local_z_freeze__2019-03-06__08_02_26__fault	fault	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-native-20260906/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/inav_local_z_freeze__2019-03-06__08_02_26__fault.ulg	124
land_detector_state_inversion__2019-01-18__08_39_38__baseline	baseline	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p9-native-20260906/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/land_detector_state_inversion__2019-01-18__08_39_38__baseline.ulg	124
land_detector_state_inversion__2019-01-18__08_39_38__fault	fault	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p9-native-20260906/inputs/2019-01-18__08_39_38.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/land_detector_state_inversion__2019-01-18__08_39_38__fault.ulg	124
land_detector_state_inversion__2019-01-25__17_38_05__baseline	baseline	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p9-native-20260906/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/land_detector_state_inversion__2019-01-25__17_38_05__baseline.ulg	124
land_detector_state_inversion__2019-01-25__17_38_05__fault	fault	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p9-native-20260906/inputs/2019-01-25__17_38_05.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/land_detector_state_inversion__2019-01-25__17_38_05__fault.ulg	124
land_detector_state_inversion__2019-03-06__08_02_26__baseline	baseline	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p9-native-20260906/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/land_detector_state_inversion__2019-03-06__08_02_26__baseline.ulg	124
land_detector_state_inversion__2019-03-06__08_02_26__fault	fault	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p9-native-20260906/inputs/2019-03-06__08_02_26.ulg	generic	/mnt/d/UAV/reports/p9/stage1_reassessment/native_replay/logs/land_detector_state_inversion__2019-03-06__08_02_26__fault.ulg	124
