calibration,mutation_id,fault_runs,detected_runs,detector_recall,normal_runs,normal_false_alarm_runs,normal_false_alarm_rate,normal_source_flights,normal_false_alarm_source_flights,fault_pre_onset_alarm_runs,clean_fault_only_detected_runs,top1,top3,top5,mrr,delay_detected_n,misses,delay_median_s,delay_min_s,delay_max_s
2019-01-18__08_39_38,commander_nav_state_override,3,3,1.0,3,3,1.0,3,3,2,0,1.0,1.0,1.0,1.0,3,0,2.024025999999999,2.0223159999999964,2.0249529999999965
2019-01-18__08_39_38,ekf2_innovation_bias,3,3,1.0,3,3,1.0,3,3,3,0,1.0,1.0,1.0,1.0,3,0,0.42259799999999714,0.41887599999999736,5.224724000000002
2019-01-18__08_39_38,inav_local_z_freeze,3,3,1.0,3,3,1.0,3,3,3,0,0.0,0.0,0.0,0.047619047619047616,3,0,17.223047,2.8214149999999947,54.818601
2019-01-18__08_39_38,land_detector_state_inversion,3,3,1.0,3,2,0.6666666666666666,3,2,2,1,0.0,1.0,1.0,0.5,3,0,1.2183010000000003,0.4241749999999982,1.2261229999999976
2019-01-25__17_38_05,commander_nav_state_override,3,3,1.0,3,3,1.0,3,3,1,0,1.0,1.0,1.0,1.0,3,0,2.024025999999999,2.0223159999999964,2.0249529999999965
2019-01-25__17_38_05,ekf2_innovation_bias,3,3,1.0,3,3,1.0,3,3,3,0,1.0,1.0,1.0,1.0,3,0,0.42259799999999714,0.41887599999999736,2.024723999999999
2019-01-25__17_38_05,inav_local_z_freeze,3,3,1.0,3,3,1.0,3,3,3,0,0.0,0.0,0.3333333333333333,0.16984126984126982,3,0,54.818601,2.8214149999999947,90.823047
2019-01-25__17_38_05,land_detector_state_inversion,3,3,1.0,3,2,0.6666666666666666,3,2,1,1,0.0,1.0,1.0,0.5,3,0,1.2183010000000003,0.4241749999999982,1.2261229999999976
2019-03-06__08_02_26,commander_nav_state_override,3,3,1.0,3,3,1.0,3,3,2,0,1.0,1.0,1.0,1.0,3,0,1.2240259999999985,0.4223159999999986,1.2249529999999993
2019-03-06__08_02_26,ekf2_innovation_bias,3,3,1.0,3,3,1.0,3,3,3,0,1.0,1.0,1.0,1.0,3,0,0.42259799999999714,0.41887599999999736,0.42472399999999766
2019-03-06__08_02_26,inav_local_z_freeze,3,3,1.0,3,3,1.0,3,3,3,0,0.0,0.0,1.0,0.20000000000000004,3,0,5.223047000000001,2.8214149999999947,14.818600999999994
2019-03-06__08_02_26,land_detector_state_inversion,3,3,1.0,3,2,0.6666666666666666,3,2,3,0,0.0,1.0,1.0,0.5,3,0,0.4261229999999969,0.4241749999999982,1.2183010000000003
