run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
commander_nav_state_override__2018-12-19__07_49_17__baseline,actuator_controls_0,840,840,2.423038,87.551821,
commander_nav_state_override__2018-12-19__07_49_17__baseline,actuator_outputs,840,840,2.409308,87.53781,
commander_nav_state_override__2018-12-19__07_49_17__baseline,battery_status,145,145,1.983306,87.191239,
commander_nav_state_override__2018-12-19__07_49_17__baseline,cpuload,79,78,0.676578,87.210877,
commander_nav_state_override__2018-12-19__07_49_17__baseline,distance_sensor,1389,1389,2.456221,87.504964,
commander_nav_state_override__2018-12-19__07_49_17__baseline,ekf2_innovations,355,355,2.291285,87.516131,
commander_nav_state_override__2018-12-19__07_49_17__baseline,estimator_status,342,342,2.291285,87.520152,
commander_nav_state_override__2018-12-19__07_49_17__baseline,manual_control_setpoint,426,426,0.423783,87.53705,
commander_nav_state_override__2018-12-19__07_49_17__baseline,rate_ctrl_status,2724,2724,0.454317,87.551845,
commander_nav_state_override__2018-12-19__07_49_17__baseline,sensor_combined,17838,17838,0.466037,87.551649,
commander_nav_state_override__2018-12-19__07_49_17__baseline,sensor_preflight,6,5,86.55574,87.364909,
commander_nav_state_override__2018-12-19__07_49_17__baseline,system_power,148,148,0.434171,87.184126,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_air_data,4817,4817,0.90775,87.530134,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_attitude,2723,2723,0.618446,87.552198,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_attitude_setpoint,851,851,0.623217,87.552919,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_land_detected,70,70,0.479364,86.557042,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_local_position,731,731,0.63846,87.552198,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_magnetometer,7058,7058,0.918837,87.544445,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_rates_setpoint,2722,2722,0.674213,87.551793,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_status,98,97,4.3e-05,90.560433,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_status_flags,169,167,4.7e-05,90.560438,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_vision_position,694,694,0.652496,87.452129,
commander_nav_state_override__2018-12-20__07_47_50__baseline,actuator_controls_0,1205,1205,1.225155,123.425958,
commander_nav_state_override__2018-12-20__07_47_50__baseline,actuator_outputs,1205,1205,1.211137,123.420237,
commander_nav_state_override__2018-12-20__07_47_50__baseline,battery_status,229,229,0.816465,123.142201,
commander_nav_state_override__2018-12-20__07_47_50__baseline,cpuload,118,118,0.579158,123.133089,
commander_nav_state_override__2018-12-20__07_47_50__baseline,distance_sensor,2206,2206,1.248342,123.41081,
commander_nav_state_override__2018-12-20__07_47_50__baseline,ekf2_innovations,565,565,1.129526,123.242251,
commander_nav_state_override__2018-12-20__07_47_50__baseline,estimator_status,561,561,1.129526,123.278305,
commander_nav_state_override__2018-12-20__07_47_50__baseline,manual_control_setpoint,603,603,1.270569,123.419407,
commander_nav_state_override__2018-12-20__07_47_50__baseline,rate_ctrl_status,3843,3843,1.301103,123.425976,
commander_nav_state_override__2018-12-20__07_47_50__baseline,sensor_combined,28379,28379,1.300941,123.425743,
commander_nav_state_override__2018-12-20__07_47_50__baseline,sensor_preflight,6,5,122.43401,123.242761,
commander_nav_state_override__2018-12-20__07_47_50__baseline,system_power,239,239,0.821454,123.181459,
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_air_data,7689,7689,1.42998,123.419434,
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_attitude,3843,3843,1.297388,123.426631,
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_attitude_setpoint,1204,1204,1.298131,123.42692,
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_land_detected,118,118,1.261999,122.463471,
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_local_position,1116,1116,1.34941,123.422261,
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_magnetometer,11263,11263,1.434587,123.418559,
