run_id	condition	mutation_id	ground_truth_module	replay_log	replay_mode	output_ulog	exit_code
commander_nav_state_override__2018-12-19__07_49_17__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-independent-20260906/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/commander_nav_state_override__2018-12-19__07_49_17__baseline.ulg	124
commander_nav_state_override__2018-12-19__07_49_17__fault	fault	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-independent-20260906/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/commander_nav_state_override__2018-12-19__07_49_17__fault.ulg	124
commander_nav_state_override__2018-12-20__07_47_50__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/commander_nav_state_override__2018-12-20__07_47_50__baseline.ulg	124
commander_nav_state_override__2018-12-20__07_47_50__fault	fault	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/commander_nav_state_override__2018-12-20__07_47_50__fault.ulg	124
commander_nav_state_override__2018-12-25__08_44_40__baseline	baseline	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/commander_nav_state_override__2018-12-25__08_44_40__baseline.ulg	124
commander_nav_state_override__2018-12-25__08_44_40__fault	fault	commander_nav_state_override	src/modules/commander	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/commander_nav_state_override__2018-12-25__08_44_40__fault.ulg	124
ekf2_innovation_bias__2018-12-19__07_49_17__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-independent-20260906/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/ekf2_innovation_bias__2018-12-19__07_49_17__baseline.ulg	124
ekf2_innovation_bias__2018-12-19__07_49_17__fault	fault	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-independent-20260906/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/ekf2_innovation_bias__2018-12-19__07_49_17__fault.ulg	124
ekf2_innovation_bias__2018-12-20__07_47_50__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/ekf2_innovation_bias__2018-12-20__07_47_50__baseline.ulg	124
ekf2_innovation_bias__2018-12-20__07_47_50__fault	fault	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/ekf2_innovation_bias__2018-12-20__07_47_50__fault.ulg	124
ekf2_innovation_bias__2018-12-25__08_44_40__baseline	baseline	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/ekf2_innovation_bias__2018-12-25__08_44_40__baseline.ulg	124
ekf2_innovation_bias__2018-12-25__08_44_40__fault	fault	ekf2_innovation_bias	src/modules/ekf2	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/ekf2_innovation_bias__2018-12-25__08_44_40__fault.ulg	124
inav_local_z_freeze__2018-12-19__07_49_17__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-independent-20260906/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/inav_local_z_freeze__2018-12-19__07_49_17__baseline.ulg	124
inav_local_z_freeze__2018-12-19__07_49_17__fault	fault	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-independent-20260906/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/inav_local_z_freeze__2018-12-19__07_49_17__fault.ulg	124
inav_local_z_freeze__2018-12-20__07_47_50__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/inav_local_z_freeze__2018-12-20__07_47_50__baseline.ulg	124
inav_local_z_freeze__2018-12-20__07_47_50__fault	fault	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-20__07_47_50.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/inav_local_z_freeze__2018-12-20__07_47_50__fault.ulg	124
inav_local_z_freeze__2018-12-25__08_44_40__baseline	baseline	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/inav_local_z_freeze__2018-12-25__08_44_40__baseline.ulg	124
inav_local_z_freeze__2018-12-25__08_44_40__fault	fault	inav_local_z_freeze	src/modules/position_estimator_inav	/root/hs-aerots-p9-independent-recovery-20260906/inputs/2018-12-25__08_44_40.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/inav_local_z_freeze__2018-12-25__08_44_40__fault.ulg	124
land_detector_state_inversion__2018-12-19__07_49_17__baseline	baseline	land_detector_state_inversion	src/modules/land_detector	/root/hs-aerots-p9-independent-20260906/inputs/2018-12-19__07_49_17.ulg	generic	/mnt/d/UAV/reports/p9/paired_residual/independent/reference/logs/land_detector_state_inversion__2018-12-19__07_49_17__baseline.ulg	124
