run_id,matched_prefix_samples,max_offset_deviation_us,origin_us,anchor_limit
commander_nav_state_override__2018-12-19__07_49_17__baseline,256,0,27293,256
commander_nav_state_override__2018-12-19__07_49_17__fault,256,0,26534,256
commander_nav_state_override__2018-12-20__07_47_50__baseline,256,0,21362,256
commander_nav_state_override__2018-12-20__07_47_50__fault,256,0,25015,256
commander_nav_state_override__2018-12-25__08_44_40__baseline,256,0,27882,256
commander_nav_state_override__2018-12-25__08_44_40__fault,256,0,27157,256
ekf2_innovation_bias__2018-12-19__07_49_17__baseline,256,0,25967,256
ekf2_innovation_bias__2018-12-19__07_49_17__fault,256,0,24816,256
ekf2_innovation_bias__2018-12-20__07_47_50__baseline,256,0,20916,256
ekf2_innovation_bias__2018-12-20__07_47_50__fault,256,0,20406,256
ekf2_innovation_bias__2018-12-25__08_44_40__baseline,256,0,17479,256
ekf2_innovation_bias__2018-12-25__08_44_40__fault,256,0,26843,256
inav_local_z_freeze__2018-12-19__07_49_17__baseline,256,0,27090,256
inav_local_z_freeze__2018-12-19__07_49_17__fault,256,0,24840,256
inav_local_z_freeze__2018-12-20__07_47_50__baseline,256,0,20169,256
inav_local_z_freeze__2018-12-20__07_47_50__fault,256,0,20363,256
inav_local_z_freeze__2018-12-25__08_44_40__baseline,256,0,26725,256
inav_local_z_freeze__2018-12-25__08_44_40__fault,256,0,26700,256
land_detector_state_inversion__2018-12-19__07_49_17__baseline,256,0,32040,256
land_detector_state_inversion__2018-12-19__07_49_17__fault,256,0,31017,256
land_detector_state_inversion__2018-12-20__07_47_50__baseline,256,0,24315,256
land_detector_state_inversion__2018-12-20__07_47_50__fault,256,0,22686,256
land_detector_state_inversion__2018-12-25__08_44_40__baseline,256,0,29798,256
land_detector_state_inversion__2018-12-25__08_44_40__fault,256,0,28840,256
